squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Atlanta Utd,32,24.6,57.1,34,374,3060,34.0,48,37,85,47,1,3,69,3,55.8,54.1,43.5,97.6,725,1521,1.41,1.09,2.5,1.38,2.47,1.64,1.28,2.92,1.59,2.87
Austin,26,27.6,55.2,34,374,3060,34.0,64,47,111,60,4,4,73,4,50.9,47.9,36.2,84.1,478,1351,1.88,1.38,3.26,1.76,3.15,1.5,1.07,2.56,1.41,2.47
CF Montréal,25,25.8,54.9,34,374,3060,34.0,61,47,108,56,5,7,79,3,55.3,50.0,40.0,90.0,591,1546,1.79,1.38,3.18,1.65,3.03,1.63,1.18,2.8,1.47,2.65
Charlotte,32,26.3,53.4,34,374,3060,34.0,42,31,73,38,4,4,62,2,41.8,38.8,30.1,68.8,468,1220,1.24,0.91,2.15,1.12,2.03,1.23,0.89,2.12,1.14,2.02
Chicago Fire,28,25.3,49.0,34,374,3060,34.0,39,29,68,35,4,5,86,5,47.0,43.1,32.7,75.8,459,1275,1.15,0.85,2.0,1.03,1.88,1.38,0.96,2.34,1.27,2.23
Colorado Rapids,28,28.1,48.2,34,374,3060,34.0,46,29,75,41,5,5,94,6,50.8,47.0,36.4,83.4,493,1203,1.35,0.85,2.21,1.21,2.06,1.49,1.07,2.57,1.38,2.45
Columbus Crew,26,28.3,52.5,34,374,3060,34.0,46,34,80,45,1,2,65,1,40.3,38.8,30.3,69.1,660,1379,1.35,1.0,2.35,1.32,2.32,1.19,0.89,2.08,1.14,2.03
D.C. United,38,26.7,46.9,34,374,3060,34.0,36,25,61,34,2,4,73,5,36.9,33.7,26.1,59.8,471,1130,1.06,0.74,1.79,1.0,1.74,1.09,0.77,1.85,0.99,1.76
FC Cincinnati,28,26.6,45.2,34,374,3060,34.0,60,47,107,56,4,5,77,4,55.7,51.8,42.8,94.6,443,1194,1.76,1.38,3.15,1.65,3.03,1.64,1.26,2.9,1.52,2.78
FC Dallas,24,25.1,49.5,34,374,3060,34.0,46,34,80,45,1,1,78,3,42.4,41.7,32.7,74.4,539,1207,1.35,1.0,2.35,1.32,2.32,1.25,0.96,2.21,1.23,2.19
