rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Norwich City,46,29,10,7,75,36,39,97,2.11,76.9,52.0,25.0,0.54,174.0,Teemu Pukki - 26,Tim Krul,Promoted
2,Watford,46,27,10,9,63,30,33,91,1.98,66.6,45.7,20.8,0.45,172.0,Ismaila Sarr - 13,"Ben Foster, Daniel Bachmann",Promoted
3,Brentford,46,24,15,7,79,42,37,87,1.89,74.9,39.4,35.5,0.77,856.0,Ivan Toney - 31,David Raya,"Promoted, → Promotion play-offs — Semi-finals"
4,Swansea City,46,23,11,12,56,39,17,80,1.74,50.4,47.3,3.2,0.07,130.0,André Ayew - 16,Freddie Woodman,→ Promotion play-offs — Semi-finals
5,Barnsley,46,23,9,14,58,50,8,78,1.7,58.0,47.6,10.4,0.23,165.0,Cauley Woodrow - 12,Jack Walton,→ Promotion play-offs — Semi-finals
6,Bournemouth,46,22,11,13,73,46,27,77,1.67,64.4,50.0,14.4,0.31,261.0,"Arnaut Danjuma, Dominic Solanke - 15",Asmir Begović,→ Promotion play-offs — Semi-finals
7,Reading,46,19,13,14,62,54,8,70,1.52,55.8,47.8,8.0,0.17,87.0,Lucas João - 19,Rafael Cabral,
8,Cardiff City,46,18,14,14,66,49,17,68,1.48,58.1,54.0,4.1,0.09,,Kieffer Moore - 20,Alex Smithies,
9,QPR,46,19,11,16,57,55,2,68,1.48,61.0,62.7,-1.7,-0.04,174.0,Lyndon Dykes - 12,Seny Dieng,
10,Middlesbrough,46,18,10,18,55,53,2,64,1.39,58.2,47.2,11.0,0.24,43.0,Duncan Watmore - 9,Marcus Bettinelli,
11,Millwall,46,15,17,14,47,52,-5,62,1.35,49.6,52.8,-3.1,-0.07,174.0,Jed Wallace - 11,Bartosz Białkowski,
12,Luton Town,46,17,11,18,41,52,-11,62,1.35,52.8,57.0,-4.2,-0.09,130.0,James Collins - 10,Simon Sluga,
13,Preston,46,18,7,21,49,56,-7,61,1.33,50.6,60.8,-10.2,-0.22,,Scott Sinclair - 9,Daniel Iversen,
14,Stoke City,46,15,15,16,50,52,-2,60,1.3,50.2,44.8,5.4,0.12,,Nick Powell - 12,Adam Davies,
15,Blackburn,46,15,12,19,65,54,11,57,1.24,68.9,52.4,16.5,0.36,,Adam Armstrong - 28,Thomas Kaminski,
16,Coventry City,46,14,13,19,49,61,-12,55,1.2,48.7,62.0,-13.4,-0.29,,Tyler Walker - 7,Ben Wilson,
17,Nott'ham Forest,46,12,16,18,37,45,-8,52,1.13,49.8,52.2,-2.4,-0.05,,Lewis Grabban - 6,Brice Samba,
18,Birmingham City,46,13,13,20,37,61,-24,52,1.13,45.6,61.0,-15.5,-0.34,,Lukas Jutkiewicz - 8,Neil Etheridge,
19,Bristol City,46,15,6,25,46,68,-22,51,1.11,39.8,71.2,-31.4,-0.68,,Nahki Wells - 10,Daniel Bentley,
20,Huddersfield,46,12,13,21,50,71,-21,49,1.07,46.0,68.4,-22.3,-0.49,,Josh Koroma - 8,Ryan Schofield,
21,Derby County,46,11,11,24,36,58,-22,44,0.96,47.4,54.3,-6.9,-0.15,,Colin Kazim-Richards - 8,David Marshall,
22,Wycombe,46,11,10,25,39,69,-30,43,0.93,47.2,74.2,-27.0,-0.59,87.0,Uche Ikpeazu - 6,Ryan Allsop,Relegated
23,Rotherham Utd,46,11,9,26,44,60,-16,42,0.91,57.2,62.0,-4.7,-0.1,,Michael Smith - 10,Jamal Blackman,Relegated
24,Sheffield Weds,46,12,11,23,40,61,-21,41,0.89,48.2,59.5,-11.4,-0.25,,Josh Windass - 9,Keiren Westwood,"6-point deduction 1, Relegated"
