rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Ryan Allsop,eng ENG,GK,Wycombe,28,1992,29.0,51,5,1,7,3,43.8,0.28,-4.2,-0.15,345,974,35.4,796,39,89.9,56.4,263,98.1,68.3,497,12,2.4,35,1.21,15.6,Matches
2,Jordan Archer,sct SCO,GK,Middlesbrough,27,1993,5.0,8,1,0,3,0,7.6,0.32,-0.4,-0.07,27,117,23.1,121,12,66.9,47.7,40,90.0,62.4,74,3,4.1,3,0.60,11.3,Matches
3,Daniel Bachmann,at AUT,GK,Watford,26,1994,23.0,13,2,0,1,2,12.9,0.21,+1.9,+0.08,124,348,35.6,678,110,37.5,35.4,177,53.1,43.4,343,14,4.1,16,0.70,14.1,Matches
4,Daniel Barden,wls WAL,GK,Norwich City,19,2001,1.5,2,1,0,0,0,2.0,0.16,0.0,-0.01,6,12,50.0,45,12,22.2,27.6,11,18.2,21.8,20,0,0.0,0,0.00,12.0,Matches
5,Asmir Begović,ba BIH,GK,Bournemouth,33,1987,45.0,44,4,1,7,0,49.5,0.28,+5.5,+0.12,156,472,33.1,1067,257,29.9,32.6,337,45.4,39.5,561,36,6.4,19,0.42,11.1,Matches
6,Steven Benda,de GER,GK,Swansea City,21,1998,1.0,1,0,0,0,0,0.2,0.05,-0.8,-0.77,3,14,21.4,40,5,25.0,28.5,4,100.0,52.8,12,2,16.7,4,4.00,18.8,Matches
7,Daniel Bentley,eng ENG,GK,Bristol City,27,1993,43.0,62,4,1,13,0,59.8,0.31,-2.2,-0.05,337,966,34.9,1112,211,57.6,42.4,424,76.9,57.0,769,17,2.2,26,0.60,11.8,Matches
8,Marcus Bettinelli,eng ENG,GK,Middlesbrough,28,1992,41.0,45,4,1,5,2,32.1,0.24,-10.9,-0.27,320,1140,28.1,1063,54,82.8,52.2,272,95.6,63.3,408,12,2.9,29,0.71,16.4,Matches
9,Bartosz Białkowski,pl POL,GK,Millwall,33,1987,46.0,52,2,0,6,1,47.8,0.27,-3.2,-0.07,247,750,32.9,766,181,58.1,42.0,361,84.5,56.0,582,14,2.4,15,0.33,10.2,Matches
10,Jamal Blackman,eng ENG,GK,Rotherham Utd,26,1993,25.9,37,6,0,7,4,30.5,0.25,-2.5,-0.10,272,721,37.7,627,44,84.8,54.4,192,98.4,65.1,353,20,5.7,51,1.97,17.1,Matches
11,Josef Bursik,eng ENG,GK,Stoke City,20,2000,15.0,16,1,0,3,1,12.1,0.33,-2.9,-0.19,120,318,37.7,433,68,55.2,42.4,105,75.2,57.6,199,11,5.5,26,1.73,16.4,Matches
12,Rafael Cabral,br BRA,GK,Reading,30,1990,45.0,52,3,3,4,1,45.5,0.27,-5.5,-0.12,232,680,34.1,1224,152,39.9,34.8,351,54.7,41.8,629,23,3.7,29,0.64,14.4,Matches
13,Joel Castro Pereira,pt POR,GK,Huddersfield,24,1996,2.0,11,1,0,1,1,6.9,0.33,-3.1,-1.54,5,15,33.3,68,16,16.2,26.6,14,28.6,32.8,25,1,4.0,0,0.00,5.2,Matches
