rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
32,Leandro Bacuna,cw CUW,"DF,MF",Cardiff City,28,1991,32.4,2,38,15,39.5,1.17,0.46,0.05,0.13,21.1,3,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
33,Joel Bagan,ie IRL,DF,Cardiff City,20,2000,5.2,0,1,0,0.0,0.19,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
34,Amadou Bakayoko,sl SLE,"FW,MF",Coventry City,24,1996,3.5,0,6,2,33.3,1.71,0.57,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
35,Nathan Baker,eng ENG,DF,Bristol City,29,1991,2.2,0,2,0,0.0,0.90,0.00,0.00,,17.1,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
36,Tyreeq Bakinson,eng ENG,MF,Bristol City,21,1998,22.9,4,22,7,31.8,0.96,0.31,0.18,0.57,21.3,0,0,0,1.2,1.2,0.06,+2.8,+2.8,Matches
37,Sam Baldock,eng ENG,FW,Reading,31,1989,5.7,0,8,2,25.0,1.40,0.35,0.00,0.00,15.3,1,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches
38,Dominic Ball,eng ENG,MF,QPR,24,1995,24.3,1,24,8,33.3,0.99,0.33,0.04,0.13,20.3,1,0,0,2.1,2.1,0.09,-1.1,-1.1,Matches
39,Sol Bamba,ci CIV,DF,Cardiff City,35,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,Beni Baningime,cd COD,MF,Derby County,21,1998,1.0,0,1,0,0.0,0.96,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
41,Barry Bannan,sct SCO,MF,Sheffield Weds,30,1989,44.6,2,39,10,25.6,0.87,0.22,0.00,0.00,24.9,4,2,3,4.3,2.0,0.05,-2.3,-2.0,Matches
42,Will Bapaga,eng ENG,"MF,FW",Coventry City,17,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
43,Shandon Baptiste,gd GRN,MF,Brentford,22,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
44,Yoann Barbet,fr FRA,DF,QPR,27,1993,46.0,2,39,9,23.1,0.85,0.20,0.05,0.22,17.5,3,0,0,2.9,2.9,0.07,-0.9,-0.9,Matches
45,Daniel Barden,wls WAL,GK,Norwich City,19,2001,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
46,Tom Barkhuizen,eng ENG,"FW,DF",Preston,27,1993,29.8,4,39,20,51.3,1.31,0.67,0.10,0.20,17.6,0,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,23,1997,26.6,3,16,5,31.3,0.60,0.19,0.00,0.00,29.2,7,3,3,3.2,0.8,0.05,-0.2,-0.8,Matches
48,Danny Batth,eng ENG,DF,Stoke City,29,1990,26.0,1,20,7,35.0,0.77,0.27,0.05,0.14,10.3,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
49,Patrick Bauer,de GER,DF,Preston,27,1992,11.5,1,9,4,44.4,0.78,0.35,0.11,0.25,11.7,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches
50,Tom Bayliss,eng ENG,"MF,FW",Preston,21,1999,2.9,1,4,2,50.0,1.40,0.70,0.25,0.50,10.7,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches
