rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
34,Amadou Bakayoko,sl SLE,"FW,MF",Coventry City,24,1996,3.5,117,2,8,58,54,14,117,1,1,100.0,0,0.0,49,109,30,0,1,0,11,3,89,22,Matches
35,Nathan Baker,eng ENG,DF,Bristol City,29,1991,2.2,96,11,58,35,4,2,96,0,0,,0,,23,113,24,0,0,0,0,1,43,0,Matches
36,Tyreeq Bakinson,eng ENG,MF,Bristol City,21,1998,22.9,1255,71,318,789,161,13,1255,37,20,54.1,17,45.9,608,2925,1405,13,15,1,44,24,733,28,Matches
37,Sam Baldock,eng ENG,FW,Reading,31,1989,5.7,161,2,14,69,80,25,161,5,3,60.0,2,40.0,88,349,166,6,4,4,15,5,107,32,Matches
38,Dominic Ball,eng ENG,MF,QPR,24,1995,24.3,1380,49,312,827,262,24,1380,39,23,59.0,16,41.0,674,3525,1640,29,22,1,60,20,848,38,Matches
39,Sol Bamba,ci CIV,DF,Cardiff City,35,1985,0.3,14,3,8,6,0,0,14,0,0,,0,,0,0,0,0,0,0,0,0,2,0,Matches
40,Beni Baningime,cd COD,MF,Derby County,21,1998,1.0,53,2,11,37,9,0,53,2,2,100.0,0,0.0,33,160,75,2,0,0,1,0,31,1,Matches
41,Barry Bannan,sct SCO,MF,Sheffield Weds,30,1989,44.6,3054,65,581,1755,762,33,3051,91,69,75.8,22,24.2,1699,8031,3231,60,49,12,53,31,1898,69,Matches
42,Will Bapaga,eng ENG,"MF,FW",Coventry City,17,2002,0.3,11,0,0,7,4,0,11,0,0,,0,,7,19,3,0,0,0,2,1,9,2,Matches
43,Shandon Baptiste,gd GRN,MF,Brentford,22,1998,0.1,7,0,0,0,7,2,7,1,0,0.0,1,100.0,7,47,29,1,1,1,0,1,6,0,Matches
44,Yoann Barbet,fr FRA,DF,QPR,27,1993,46.0,3196,319,1667,1341,213,41,3196,20,17,85.0,3,15.0,1569,7383,4609,37,29,5,26,4,1831,21,Matches
45,Daniel Barden,wls WAL,GK,Norwich City,19,2001,1.5,58,53,58,0,0,0,58,0,0,,0,,37,145,64,0,0,0,0,0,29,0,Matches
46,Tom Barkhuizen,eng ENG,"FW,DF",Preston,27,1993,29.8,1414,60,246,517,671,75,1414,51,27,52.9,24,47.1,674,4031,1973,63,37,19,80,24,782,183,Matches
47,Daniel Barlaser,tr TUR,MF,Rotherham Utd,23,1997,26.6,1376,53,251,782,357,8,1373,24,14,58.3,10,41.7,573,1915,662,8,11,1,28,12,629,24,Matches
48,Danny Batth,eng ENG,DF,Stoke City,29,1990,26.0,1346,182,793,496,61,42,1346,5,2,40.0,3,60.0,589,2236,958,1,1,0,13,2,661,2,Matches
49,Patrick Bauer,de GER,DF,Preston,27,1992,11.5,528,68,245,256,29,20,528,0,0,,0,,245,1304,773,4,2,0,1,1,262,4,Matches
50,Tom Bayliss,eng ENG,"MF,FW",Preston,21,1999,2.9,143,7,30,78,38,5,143,2,0,0.0,2,100.0,67,312,138,2,0,0,6,0,82,6,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Mads Bech Sørensen,dk DEN,DF,Brentford,21,1999,29.8,1995,176,1088,748,164,15,1995,5,2,40.0,3,60.0,1095,6063,3785,22,4,0,12,3,1209,13,Matches
52,Asmir Begović,ba BIH,GK,Bournemouth,33,1987,45.0,1514,1348,1506,8,0,0,1514,0,0,,0,,827,3540,2299,0,0,0,1,0,646,0,Matches
53,Jérémie Bela,ao ANG,"FW,MF",Birmingham City,27,1993,25.0,1125,11,126,381,641,64,1123,86,42,48.8,44,51.2,620,4058,1793,73,35,16,79,34,731,164,Matches
54,Amari'i Bell,jm JAM,DF,Blackburn,26,1994,17.0,1055,39,323,444,293,29,1055,26,13,50.0,13,50.0,500,2964,1661,52,34,11,31,11,555,66,Matches
55,Sam Bell,eng ENG,"MF,FW",Bristol City,18,2002,0.4,18,0,3,10,5,1,18,2,0,0.0,2,100.0,11,21,2,0,0,0,2,1,14,4,Matches
56,Steven Benda,de GER,GK,Swansea City,21,1998,1.0,48,43,48,0,0,0,48,0,0,,0,,33,118,59,0,0,0,0,0,27,0,Matches
57,Filip Benković,hr CRO,DF,Cardiff City,23,1997,0.8,47,4,32,15,1,0,47,0,0,,0,,23,128,66,0,1,0,1,0,23,0,Matches
58,Elliott Bennett,eng ENG,"DF,FW",Blackburn,31,1988,2.8,167,4,45,86,37,2,167,1,1,100.0,0,0.0,75,219,69,1,2,1,2,0,83,8,Matches
59,Joe Bennett,eng ENG,DF,Cardiff City,30,1990,26.5,1417,59,444,688,300,18,1417,28,16,57.1,12,42.9,678,2958,1249,28,15,3,10,15,731,64,Matches
60,Mason Bennett,eng ENG,"FW,MF",Millwall,24,1996,25.5,938,17,90,412,451,90,938,55,18,32.7,37,67.3,519,3375,1581,65,32,23,90,46,679,149,Matches
61,Ryan Bennett,eng ENG,DF,Swansea City,30,1990,26.9,1471,170,861,587,26,14,1471,4,4,100.0,0,0.0,663,3316,1834,8,3,0,4,2,769,1,Matches
62,Saïd Benrahma,dz ALG,"MF,FW",Brentford,24,1995,0.5,24,0,0,12,12,1,24,5,2,40.0,3,60.0,18,98,58,3,1,0,2,1,20,3,Matches
63,Daniel Bentley,eng ENG,GK,Bristol City,27,1993,43.0,1652,1380,1610,42,0,0,1652,1,1,100.0,0,0.0,673,4268,2691,0,0,0,1,0,537,0,Matches
64,Luke Berry,eng ENG,MF,Luton Town,28,1992,20.8,934,21,120,427,397,52,934,15,10,66.7,5,33.3,403,1860,690,23,8,4,29,18,542,85,Matches
65,Faysal Bettache,eng ENG,MF,QPR,20,2000,0.8,70,2,15,41,14,1,70,1,1,100.0,0,0.0,48,237,64,0,3,0,2,3,55,5,Matches
66,Marcus Bettinelli,eng ENG,GK,Middlesbrough,28,1992,41.0,1400,1050,1376,25,0,0,1400,0,0,,0,,641,3983,2546,0,0,0,1,0,541,0,Matches
67,Maxime Biamou,fr FRA,FW,Coventry City,29,1990,22.4,752,20,41,312,405,99,752,36,13,36.1,23,63.9,368,1818,574,26,19,12,90,35,554,168,Matches
68,Bartosz Białkowski,pl POL,GK,Millwall,33,1987,46.0,1209,1089,1207,2,0,0,1209,0,0,,0,,504,3470,2347,0,2,2,0,0,324,0,Matches
69,Mads Bidstrup,dk DEN,"MF,FW",Brentford,19,2001,1.3,95,1,21,65,10,1,95,4,2,50.0,2,50.0,53,281,90,3,1,0,1,0,65,2,Matches
70,Jake Bidwell,eng ENG,DF,Swansea City,27,1993,34.9,1787,92,420,688,685,95,1787,15,6,40.0,9,60.0,750,2604,1322,29,34,4,21,9,974,204,Matches
71,Krystian Bielik,pl POL,MF,Derby County,22,1998,12.1,822,47,215,522,100,19,822,17,16,94.1,1,5.9,362,2189,1178,21,12,1,17,9,483,8,Matches
72,Philip Billing,dk DEN,MF,Bournemouth,24,1996,23.0,1275,53,241,605,448,66,1275,38,24,63.2,14,36.8,688,3814,1494,40,39,3,60,34,877,111,Matches
73,Max Bird,eng ENG,MF,Derby County,19,2000,23.0,1453,47,307,908,248,16,1453,20,15,75.0,5,25.0,777,3710,1641,16,34,2,27,16,941,28,Matches
74,Tyler Blackett,eng ENG,DF,Nott'ham Forest,26,1994,9.4,576,25,180,268,136,11,576,10,8,80.0,2,20.0,292,1646,936,22,13,1,11,9,326,32,Matches
75,Jamal Blackman,eng ENG,GK,Rotherham Utd,26,1993,25.9,893,599,853,42,0,0,893,1,1,100.0,0,0.0,367,2517,1206,0,0,0,0,0,173,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Matt Bloomfield,eng ENG,"MF,FW",Wycombe,36,1984,7.7,227,12,44,101,84,8,227,4,1,25.0,3,75.0,80,285,67,2,1,1,12,10,79,16,Matches
77,Billy Bodin,wls WAL,"FW,MF",Preston,28,1992,1.0,53,0,2,28,23,1,53,5,4,80.0,1,20.0,28,97,17,0,1,0,5,1,34,3,Matches
78,Marc Bola,eng ENG,"DF,FW",Middlesbrough,22,1997,40.1,2264,99,591,999,695,27,2264,50,31,62.0,19,38.0,891,4563,2363,66,60,9,34,13,930,90,Matches
79,Yannick Bolasie,cd COD,"FW,MF",Middlesbrough,31,1989,10.3,398,17,40,145,223,37,398,31,14,45.2,17,54.8,227,1602,781,28,10,10,33,14,288,53,Matches
80,Gaëtan Bong,cm CMR,DF,Nott'ham Forest,32,1988,8.7,503,30,192,216,97,3,503,9,6,66.7,3,33.3,206,1061,577,14,6,0,14,5,230,16,Matches
81,Macauley Bonne,zw ZIM,FW,QPR,24,1995,12.2,390,8,30,135,226,55,390,11,5,45.5,6,54.5,190,879,273,16,4,4,33,13,293,77,Matches
82,Julian Börner,de GER,DF,Sheffield Weds,29,1991,23.3,1392,160,815,497,86,35,1392,6,5,83.3,1,16.7,679,3527,2014,13,11,0,6,8,722,9,Matches
83,Caolan Boyd-Munce,nir NIR,DF,Birmingham City,20,2000,1.0,38,3,14,19,5,0,38,2,1,50.0,1,50.0,10,18,11,0,1,0,1,0,13,0,Matches
84,Sonny Bradley,eng ENG,DF,Luton Town,28,1991,36.5,2227,300,1255,878,114,60,2227,3,3,100.0,0,0.0,1013,5404,3536,28,11,1,14,4,1142,7,Matches
85,Tom Bradshaw,wls WAL,"FW,MF",Millwall,28,1992,11.7,372,12,39,153,183,53,372,8,8,100.0,0,0.0,171,776,287,13,8,5,32,9,251,80,Matches
86,Jarrad Branthwaite,eng ENG,DF,Blackburn,18,2002,10.0,535,37,305,226,10,4,535,5,2,40.0,3,60.0,257,1067,600,4,1,0,5,2,259,0,Matches
