rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Osama Aashor,sa KSA,DF,Abha,29,1990,7.4,0,0,0,,0.00,0.00,,,,0,0,Matches
2,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,21,1998,1.6,0,4,0,0.0,2.50,0.00,0.00,,,0,0,Matches
3,Saleh Al Abbas,sa KSA,FW,Abha,25,1993,13.4,4,29,12,41.4,2.16,0.90,0.14,0.33,,0,0,Matches
4,Faris Abdi,sa KSA,DF,Al-Wehda,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,22,1996,1.1,0,3,3,100.0,2.62,2.62,0.00,0.00,,0,0,Matches
6,Hussein Abdulghani,sa KSA,"DF,MF",Al-Ahli,42,1977,9.5,0,0,0,,0.00,0.00,,,,0,0,Matches
7,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,20,1999,23.3,1,9,2,22.2,0.39,0.09,0.11,0.50,,0,0,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Hilal,29,1990,6.4,2,13,5,38.5,2.02,0.78,0.15,0.40,,0,0,Matches
9,Mazen Abo Shararah,sa KSA,FW,Al-Ahli,28,1991,2.2,0,2,2,100.0,0.92,0.92,0.00,0.00,,0,0,Matches
10,Mazen Abo Shararah,sa KSA,FW,Damac,28,1991,3.2,1,11,5,45.5,3.45,1.57,0.09,0.20,,0,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,FW",Al-Ittihad,24,1995,11.9,0,14,3,21.4,1.17,0.25,0.00,0.00,,0,0,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,29,1990,4.9,0,2,0,0.0,0.41,0.00,0.00,,,0,0,Matches
13,Mohammed Abousaban,sa KSA,MF,Damac,29,1990,9.3,2,9,3,33.3,0.97,0.32,0.22,0.67,,0,0,Matches
14,Talal Al-Absi,sa KSA,DF,Al-Taawoun,26,1993,19.4,2,7,4,57.1,0.36,0.21,0.29,0.50,,0,0,Matches
15,Abdulfattah Adam,sa KSA,FW,Al-Nassr,24,1995,3.1,2,13,2,15.4,4.24,0.65,0.15,1.00,,0,0,Matches
16,Imran Adam,ng NGA,"DF,MF",Al-Shabab,23,1996,4.7,0,1,0,0.0,0.21,0.00,0.00,,,0,0,Matches
17,Imran Adam,ng NGA,"DF,MF",Damac,23,1996,8.5,0,1,0,0.0,0.12,0.00,0.00,,,0,0,Matches
18,Khaled Adénon,bj BEN,DF,Al-Wehda,34,1985,1.0,0,1,0,0.0,1.00,0.00,0.00,,,0,0,Matches
19,Muath Adnan Afaneh,jo JOR,FW,Abha,,,0.3,0,1,0,0.0,3.10,0.00,0.00,,,0,0,Matches
20,Matías Aguirregaray,uy URU,"DF,MF",Al-Fateh,30,1989,21.1,2,11,4,36.4,0.52,0.19,0.18,0.50,,0,0,Matches
21,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,34,1985,25.5,0,10,2,20.0,0.39,0.08,0.00,0.00,,0,0,Matches
22,Mohamed Ahmed,SUD,FW,Damac,26,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,Matches
23,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,1.0,0,2,0,0.0,2.09,0.00,0.00,,,0,0,Matches
24,Qasim Alawjami,sa KSA,DF,Al-Fateh,23,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
25,Danijel Aleksić,rs SRB,FW,Al-Ahli,28,1991,1.0,1,5,1,20.0,5.00,1.00,0.20,1.00,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
26,Alemão,br BRA,DF,Al-Hazem,28,1990,29.0,6,28,10,35.7,0.97,0.34,0.11,0.30,,3,3,Matches
27,Abdelaziz Ali Guechi,dz ALG,DF,Al-Adalah,28,1990,10.6,0,0,0,,0.00,0.00,,,,0,0,Matches
28,Mashel Ali,,MF,Al-Faisaly,,,1.2,0,1,0,0.0,0.84,0.00,0.00,,,0,0,Matches
29,Mukhtar Ali,sa KSA,MF,Al-Nassr,21,1997,11.8,0,4,1,25.0,0.34,0.09,0.00,0.00,,0,0,Matches
30,Mohammed Alkhaibari,sa KSA,DF,Al-Shabab,,,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
31,André Almeida Pinto,pt POR,DF,Al-Fateh,29,1989,11.1,0,6,2,33.3,0.54,0.18,0.00,0.00,,0,0,Matches
32,Haider Al-Amer,sa KSA,DF,Al-Adalah,29,1989,0.4,0,1,0,0.0,2.81,0.00,0.00,,,0,0,Matches
33,Cédric Amissi,bi BDI,MF,Al-Taawoun,29,1990,24.1,6,49,18,36.7,2.04,0.75,0.12,0.33,,0,0,Matches
34,Abdullah Al-Ammar,sa KSA,DF,Al-Ittihad,25,1994,2.2,0,0,0,,0.00,0.00,,,,0,0,Matches
35,Turki Al Ammar,sa KSA,MF,Al-Shabab,19,1999,4.8,1,13,4,30.8,2.71,0.84,0.08,0.25,,0,0,Matches
36,Najib Ammari,dz ALG,MF,Damac,27,1992,1.8,0,5,2,40.0,2.80,1.12,0.00,0.00,,0,0,Matches
37,Sari Amr,sa KSA,DF,Al-Wehda,29,1989,2.0,0,0,0,,0.00,0.00,,,,0,0,Matches
38,Sari Amr,sa KSA,DF,Abha,29,1989,4.6,0,3,0,0.0,0.66,0.00,0.00,,,0,0,Matches
39,Nordin Amrabat,ma MAR,MF,Al-Nassr,32,1987,27.1,4,53,20,37.7,1.95,0.74,0.08,0.20,,0,0,Matches
40,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,22,1997,9.2,1,8,3,37.5,0.87,0.32,0.13,0.33,,0,0,Matches
41,Mohammed Al-Amri,sa KSA,DF,Al-Raed,27,1991,27.8,1,14,4,28.6,0.50,0.14,0.07,0.25,,0,0,Matches
42,Saleh Al-Amri,sa KSA,MF,Al-Ettifaq,25,1993,8.0,3,14,5,35.7,1.76,0.63,0.21,0.60,,0,0,Matches
43,Rakan Al Anaze,sa KSA,MF,Al-Wehda,21,1998,3.1,1,3,1,33.3,0.97,0.32,0.33,1.00,,0,0,Matches
44,Carolus Andriamatsinoro,mg MAD,"FW,MF",Al-Adalah,30,1989,29.0,10,106,36,34.0,3.66,1.24,0.08,0.22,,2,4,Matches
45,Ghalab Al Anzi,sa KSA,MF,Al-Hazem,20,1999,0.2,0,2,1,50.0,9.00,4.50,0.00,0.00,,0,0,Matches
46,Karim Aouadhi,tn TUN,MF,Abha,33,1986,27.0,4,43,9,20.9,1.59,0.33,0.07,0.33,,1,1,Matches
47,Ahmed Al-Aoufi,sa KSA,MF,Al-Ittihad,27,1992,0.2,0,1,0,0.0,4.29,0.00,0.00,,,0,0,Matches
48,Abdulaziz Al-Aryani,sa KSA,FW,Al-Ittihad,23,1996,1.4,0,2,0,0.0,1.40,0.00,0.00,,,0,0,Matches
49,Ernest Asante,gh GHA,MF,Al-Hazem,30,1988,5.8,0,10,1,10.0,1.72,0.17,0.00,0.00,,0,0,Matches
50,Abdulfattah Asiri,sa KSA,MF,Al-Ahli,25,1994,16.3,3,35,11,31.4,2.15,0.68,0.09,0.27,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
51,Jaber Asiri,sa KSA,FW,Al-Wehda,21,1997,0.4,0,2,1,50.0,5.29,2.65,0.00,0.00,,0,0,Matches
52,Ali Al Asmari,sa KSA,MF,Al-Ahli,22,1997,12.8,2,14,6,42.9,1.10,0.47,0.14,0.33,,0,0,Matches
53,Malik Asselah,dz ALG,GK,Al-Hazem,33,1986,29.0,0,0,0,,0.00,0.00,,,,0,0,Matches
54,Ahmed Assiri,sa KSA,DF,Al-Taawoun,27,1991,21.4,0,13,3,23.1,0.61,0.14,0.00,0.00,,0,0,Matches
55,Muhannad Assiri,sa KSA,"FW,MF",Al-Ahli,32,1986,0.3,0,1,1,100.0,3.21,3.21,0.00,0.00,,0,0,Matches
56,Rafael Assis,br BRA,MF,Al-Fayha,28,1990,8.0,0,2,0,0.0,0.25,0.00,0.00,,,0,0,Matches
57,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,22,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
58,Amine Atouchi,ma MAR,DF,Abha,27,1992,29.0,3,18,7,38.9,0.62,0.24,0.17,0.43,,0,0,Matches
59,Mohammed Attiah,sa KSA,MF,Al-Shabab,27,1991,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
60,Ghazi Ayadi,tn TUN,"MF,FW",Damac,23,1996,6.7,0,4,1,25.0,0.59,0.15,0.00,0.00,,0,0,Matches
61,Fares Al-Ayyaf,sa KSA,"MF,DF",Al-Hazem,27,1992,7.5,0,1,0,0.0,0.13,0.00,0.00,,,0,0,Matches
62,Walid Azaro,ma MAR,FW,Al-Ettifaq,23,1995,5.5,3,15,7,46.7,2.71,1.27,0.20,0.43,,0,0,Matches
63,Bander Ba Ajaj,sa KSA,DF,Damac,24,1995,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
64,Anice Badri,tn TUN,"MF,FW",Al-Ittihad,28,1990,4.8,0,6,0,0.0,1.26,0.00,0.00,,,0,0,Matches
65,Hattan Bahebri,sa KSA,MF,Al-Hilal,27,1992,5.8,0,14,2,14.3,2.42,0.35,0.00,0.00,,0,0,Matches
66,Masood Bakheet,sa KSA,DF,Al-Hazem,27,1992,1.7,0,0,0,,0.00,0.00,,,,0,0,Matches
67,Yazeid Al Bakr,sa KSA,DF,Al-Ahli,23,1995,2.8,0,0,0,,0.00,0.00,,,,0,0,Matches
68,Waleed Bakshween,sa KSA,MF,Al-Wehda,29,1989,25.5,0,9,4,44.4,0.35,0.16,0.00,0.00,,0,0,Matches
69,Ageel Balghaith,sa KSA,DF,Al-Faisaly,32,1987,2.8,0,2,0,0.0,0.72,0.00,0.00,,,0,0,Matches
70,Ahmed Bamasud,sa KSA,"MF,DF",Al-Fayha,23,1995,9.8,1,17,6,35.3,1.73,0.61,0.06,0.17,,0,0,Matches
