rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jaber Asiri,sa KSA,FW,Al-Wehda,21,1997,0.4,,0,,,,,,,,,,0,,,,Matches
52,Ali Al Asmari,sa KSA,MF,Al-Ahli,22,1997,12.8,,23,,,,,,,,,,24,,,,Matches
53,Malik Asselah,dz ALG,GK,Al-Hazem,33,1986,29.0,,1,,,,,,,,,,2,,,,Matches
54,Ahmed Assiri,sa KSA,DF,Al-Taawoun,27,1991,21.4,,19,,,,,,,,,,22,,,,Matches
55,Muhannad Assiri,sa KSA,"FW,MF",Al-Ahli,32,1986,0.3,,1,,,,,,,,,,0,,,,Matches
56,Rafael Assis,br BRA,MF,Al-Fayha,28,1990,8.0,,8,,,,,,,,,,16,,,,Matches
57,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,22,1997,1.0,,0,,,,,,,,,,0,,,,Matches
58,Amine Atouchi,ma MAR,DF,Abha,27,1992,29.0,,28,,,,,,,,,,38,,,,Matches
59,Mohammed Attiah,sa KSA,MF,Al-Shabab,27,1991,0.0,,0,,,,,,,,,,0,,,,Matches
60,Ghazi Ayadi,tn TUN,"MF,FW",Damac,23,1996,6.7,,2,,,,,,,,,,6,,,,Matches
61,Fares Al-Ayyaf,sa KSA,"MF,DF",Al-Hazem,27,1992,7.5,,14,,,,,,,,,,9,,,,Matches
62,Walid Azaro,ma MAR,FW,Al-Ettifaq,23,1995,5.5,,1,,,,,,,,,,2,,,,Matches
63,Bander Ba Ajaj,sa KSA,DF,Damac,24,1995,1.1,,0,,,,,,,,,,0,,,,Matches
64,Anice Badri,tn TUN,"MF,FW",Al-Ittihad,28,1990,4.8,,4,,,,,,,,,,4,,,,Matches
65,Hattan Bahebri,sa KSA,MF,Al-Hilal,27,1992,5.8,,10,,,,,,,,,,5,,,,Matches
66,Masood Bakheet,sa KSA,DF,Al-Hazem,27,1992,1.7,,3,,,,,,,,,,2,,,,Matches
67,Yazeid Al Bakr,sa KSA,DF,Al-Ahli,23,1995,2.8,,10,,,,,,,,,,4,,,,Matches
68,Waleed Bakshween,sa KSA,MF,Al-Wehda,29,1989,25.5,,41,,,,,,,,,,36,,,,Matches
69,Ageel Balghaith,sa KSA,DF,Al-Faisaly,32,1987,2.8,,8,,,,,,,,,,3,,,,Matches
70,Ahmed Bamasud,sa KSA,"MF,DF",Al-Fayha,23,1995,9.8,,16,,,,,,,,,,8,,,,Matches
71,Mohammed Al Baqawi,sa KSA,DF,Al-Shabab,24,1995,3.3,,1,,,,,,,,,,5,,,,Matches
72,Mohammed Al Baqawi,sa KSA,DF,Al-Fayha,24,1995,10.8,,11,,,,,,,,,,8,,,,Matches
73,Basim Al Baqi,sa KSA,GK,Al-Ahli,29,1989,1.0,,0,,,,,,,,,,0,,,,Matches
74,Abdulrahman Al-Barakah,sa KSA,MF,Al-Fayha,28,1990,21.5,,25,,,,,,,,,,28,,,,Matches
75,Khaled Al-Barakah,sa KSA,DF,Al-Ettifaq,28,1990,0.2,,0,,,,,,,,,,1,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Karam Barnawi,sa KSA,DF,Abha,32,1987,20.9,,39,,,,,,,,,,30,,,,Matches
