wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
1,Thu,2019-08-22,19:00 (18:00),Al-Nassr,2–0,Damac,,King Fahd International Stadium,Matt Conger,Match Report,
1,Thu,2019-08-22,20:50 (19:50),Al-Ahli,1–1,Al-Adalah,,King Abdullah Sports City,Bakary Papa Gassama,Match Report,
1,Fri,2019-08-23,19:00 (18:00),Al-Hilal,4–2,Abha,,King Saud University Stadium,Dennis Higler,Match Report,
1,Fri,2019-08-23,19:10 (18:10),Al-Taawoun,1–1,Al-Hazem,,Prince Abdullah bin Abdul Aziz Stadium,Luís Godinho,Match Report,
1,Fri,2019-08-23,20:50 (19:50),Al-Ittihad,3–1,Al-Raed,,King Abdullah Sports City,Svein Oddvar Moen,Match Report,
1,Sat,2019-08-24,18:50 (17:50),Al-Fateh,1–2,Al-Shabab,,Prince Abdullah bin Jalawi Stadium,Martin van den Kerkhof,Match Report,
1,Sat,2019-08-24,19:05 (18:05),Al-Faisaly,0–0,Al-Fayha,,Al Majma'ah Sport City,Matt Conger,Match Report,
1,Sat,2019-08-24,20:50 (19:50),Al-Wehda,0–2,Al-Ettifaq,,King Abdul Aziz Stadium,Bakary Papa Gassama,Match Report,
2,Thu,2019-08-29,18:45 (17:45),Al-Adalah,4–0,Damac,11922,Prince Abdullah bin Jalawi Stadium,Danny Makkelie,Match Report,
2,Thu,2019-08-29,20:20 (19:20),Al-Fayha,2–1,Al-Hazem,,Al Majma'ah Sport City,Damir Skomina,Match Report,
2,Fri,2019-08-30,18:55 (17:55),Al-Shabab,0–0,Al-Faisaly,3976,King Fahd International Stadium,Viktor Kassai,Match Report,
2,Fri,2019-08-30,20:40 (19:40),Al-Fateh,0–1,Al-Nassr,12663,Prince Abdullah bin Jalawi Stadium,Ovidiu Hațegan,Match Report,
2,Fri,2019-08-30,20:40 (19:40),Al-Wehda,1–2,Abha,,King Abdul Aziz Stadium,Jorge de Sousa,Match Report,
2,Sat,2019-08-31,18:40 (17:40),Al-Ettifaq,1–2,Al-Ahli,,Prince Mohamed bin Fahd Stadium,Danny Makkelie,Match Report,
2,Sat,2019-08-31,19:05 (18:05),Al-Raed,0–5,Al-Hilal,,Prince Abdullah bin Abdul Aziz Stadium,Damir Skomina,Match Report,
3,Fri,2019-09-13,18:50 (17:50),Al-Taawoun,3–2,Al-Adalah,,Prince Abdullah bin Abdul Aziz Stadium,Bas Nijhuis,Match Report,
3,Fri,2019-09-13,18:50 (17:50),Damac,2–1,Al-Ittihad,,Prince Sultan bin Abdul Aziz Stadium,Fábio Costa,Match Report,
3,Fri,2019-09-13,20:35 (19:35),Al-Nassr,0–0,Al-Shabab,12224,King Fahd International Stadium,Daniel Stefański,Match Report,
3,Sat,2019-09-14,18:40 (17:40),Al-Hilal,1–1,Al-Fayha,,King Saud University Stadium,Krzysztof Jakubik,Match Report,
3,Sat,2019-09-14,18:50 (17:50),Abha,1–1,Al-Raed,1222,Prince Sultan bin Abdul Aziz Stadium,André Narciso,Match Report,
3,Sat,2019-09-14,20:35 (19:35),Al-Ahli,1–2,Al-Wehda,12688,King Abdullah Sports City,Matej Jug,Match Report,
3,Sun,2019-09-15,18:50 (17:50),Al-Hazem,0–6,Al-Ettifaq,,Ar-Rass Stadium,Bas Nijhuis,Match Report,
3,Sun,2019-09-15,20:10 (19:10),Al-Faisaly,3–2,Al-Fateh,4450,Al Majma'ah Sport City,Daniel Stefański,Match Report,
4,Thu,2019-09-19,18:50 (17:50),Damac,1–1,Al-Shabab,,Prince Sultan bin Abdul Aziz Stadium,Serdar Gözübüyük,Match Report,
4,Fri,2019-09-20,18:20 (17:20),Al-Adalah,2–1,Abha,12640,Prince Abdullah bin Jalawi Stadium,Damir Skomina,Match Report,
4,Fri,2019-09-20,18:35 (17:35),Al-Fayha,0–1,Al-Wehda,4237,Al Majma'ah Sport City,Richard Martens,Match Report,
4,Fri,2019-09-20,20:20 (19:20),Al-Nassr,0–1,Al-Hazem,,King Fahd International Stadium,Svein Oddvar Moen,Match Report,
4,Sat,2019-09-21,18:15 (17:15),Al-Ettifaq,0–1,Al-Faisaly,,Prince Mohamed bin Fahd Stadium,Bakary Papa Gassama,Match Report,
4,Sat,2019-09-21,18:20 (17:20),Al-Fateh,0–2,Al-Ahli,14000,Prince Abdullah bin Jalawi Stadium,Serdar Gözübüyük,Match Report,
4,Sat,2019-09-21,20:20 (19:20),Al-Ittihad,1–3,Al-Hilal,43783,King Abdullah Sports City,Cüneyt Çakιr,Match Report,
