rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Al-Hilal,30,22,6,2,74,26,48,72,2.4,10683,Bafétimbi Gomis - 27,Abdullah Al-Mayouf,
2,Al-Nassr,30,19,7,4,60,26,34,64,2.13,8923,Abderrazak Hamdallah - 29,Brad Jones,
3,Al-Ahli,30,15,5,10,49,36,13,50,1.67,10244,Omar Al Somah - 19,Yasser Al Mosailem,
4,Al-Wehda,30,16,1,13,45,40,5,49,1.63,6703,Youssouf Niakaté - 16,Abdullah Al Jadani,
5,Al-Faisaly,30,14,6,10,41,36,5,48,1.6,2459,Youssef El Jebli - 9,Mustafa Malayekah,
6,Al-Raed,30,13,7,10,41,50,-9,46,1.53,3616,Mohamed Fouzair - 10,Azzedine Doukha,
7,Al-Shabab,30,12,7,11,38,37,1,43,1.43,6482,Cristian Guanca - 11,Farouk Ben Mustapha,
8,Al-Ettifaq,30,13,3,14,46,38,8,42,1.4,4393,Filip Kiss - 7,Raïs M'Bolhi,
9,Abha,30,11,5,14,41,52,-11,38,1.27,2143,Saad Bguir - 12,Abdelali Mhamdi,
10,Damac,30,9,8,13,37,52,-15,35,1.17,3705,Emilio Zelaya - 13,Moustapha Zeghba,
11,Al-Ittihad,30,9,8,13,42,41,1,35,1.17,13822,Romarinho - 15,Marcelo Grohe,
12,Al-Taawoun,30,10,5,15,33,40,-7,35,1.17,3828,Héldon Ramos - 7,Cássio,
13,Al-Fateh,30,8,9,13,42,49,-7,33,1.1,7305,Mitchell te Vrede - 12,Maksym Koval,
14,Al-Fayha,30,8,8,14,34,44,-10,32,1.07,3199,"Ronnie Fernández, Samuel Owusu - 7",Amer Shafi,Relegated
15,Al-Hazem,30,7,6,17,40,61,-21,27,0.9,1277,Carlos Strandberg - 13,Malik Asselah,Relegated
16,Al-Adalah,30,4,9,17,27,62,-35,21,0.7,6420,Carolus Andriamatsinoro - 10,Ali Al-Mazidi,Relegated
