wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
1,Sat,2020-08-08,19:00 (00:00),Fortaleza,0.5,0–2,2.6,Ath Paranaense,,Estádio Castelão,Braulio da Silva Machado,Match Report,
1,Sat,2020-08-08,19:30 (00:30),Coritiba,0.1,0–1,1.1,Internacional,,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Match Report,
1,Sun,2020-08-09,16:00 (21:00),Flamengo,2.2,0–1,0.7,Atlético Mineiro,,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
1,Sun,2020-08-09,16:00 (21:00),Santos,1.6,1–1,1.1,RB Bragantino,,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Match Report,
1,Sun,2020-08-09,19:00 (00:00),Grêmio,1.2,1–0,0.5,Fluminense,,Arena do Grêmio,Wilton Sampaio,Match Report,
1,Sat,2020-08-08,21:00 (02:00),Sport Recife,1.7,3–2,2.3,Ceará,,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,Match Report,
2,Wed,2020-08-12,19:15 (00:15),Atlético Mineiro,2.3,3–2,1.0,Corinthians,,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Match Report,
2,Wed,2020-08-12,19:15 (00:15),RB Bragantino,1.8,1–1,0.7,Botafogo (RJ),,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro,Match Report,
2,Wed,2020-08-12,19:15 (00:15),Ath Paranaense,2.4,2–1,1.7,Goiás,,Estádio Joaquim Américo Guimarães,Diego Pombo Lopez,Match Report,
2,Wed,2020-08-12,20:30 (01:30),Atl Goianiense,1.8,3–0,1.0,Flamengo,,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira,Match Report,
2,Wed,2020-08-12,20:30 (01:30),Bahia,2.3,1–0,0.9,Coritiba,,Estádio Governador Roberto Santos,Flavio Rodrigues De Souza,Match Report,
2,Thu,2020-08-13,19:15 (00:15),São Paulo,1.4,1–0,0.7,Fortaleza,,Estádio do Morumbi,Leandro Pedro Vuaden,Match Report,
2,Thu,2020-08-13,19:30 (00:30),Internacional,2.6,2–0,0.3,Santos,,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
2,Thu,2020-08-13,20:00 (01:00),Vasco da Gama,0.8,2–0,0.6,Sport Recife,,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques,Match Report,
2,Wed,2020-08-12,21:30 (02:30),Ceará,1.3,1–1,1.6,Grêmio,,Estádio Castelão,Caio Max Augusto Vieira,Match Report,
2,Wed,2020-08-12,21:30 (02:30),Fluminense,0.4,1–1,0.6,Palmeiras,,Estadio Jornalista Mário Filho,Rafael Traci,Match Report,
3,Sat,2020-08-15,19:00 (00:00),Grêmio,3.1,0–0,0.3,Corinthians,,Arena do Grêmio,Bruno Arleu de Araujo,Match Report,
3,Sat,2020-08-15,19:30 (00:30),Coritiba,0.4,0–1,1.4,Flamengo,,Estádio Major Antônio Couto Pereira,Rodrigo D'Alonso Ferreira,Match Report,
3,Sun,2020-08-16,11:00 (16:00),Atlético Mineiro,2.1,2–0,1.0,Ceará,,Estádio Raimundo Sampaio,Savio Pereira,Match Report,
3,Sun,2020-08-16,16:00 (21:00),Bahia,1.2,2–1,1.5,RB Bragantino,,Estádio Governador Roberto Santos,Felipe Fernandes de Lima,Match Report,
3,Sun,2020-08-16,16:00 (21:00),Vasco da Gama,1.4,2–1,1.7,São Paulo,,Estádio Club de Regatas Vasco da Gama,Wilton Sampaio,Match Report,
3,Sun,2020-08-16,18:00 (23:00),Fluminense,2.0,2–1,1.0,Internacional,,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
3,Sun,2020-08-16,19:00 (00:00),Atl Goianiense,1.1,1–1,1.5,Sport Recife,,Estádio Olímpico Pedro Ludovico Teixeira,Grazianni Maciel Rocha,Match Report,
3,Sun,2020-08-16,19:30 (00:30),Fortaleza,1.0,0–0,1.1,Botafogo (RJ),,Estádio Castelão,Marielson Alves Silva,Match Report,
3,Sun,2020-08-16,19:45 (00:45),Santos,1.8,3–1,1.4,Ath Paranaense,,Estádio Urbano Caldeira,Anderson Daronco,Match Report,
3,Sat,2020-08-15,21:30 (02:30),Palmeiras,0.5,1–1,0.5,Goiás,,Allianz Parque,Paulo Roberto Alves Júnior,Match Report,
4,Wed,2020-08-19,19:15 (00:15),RB Bragantino,1.3,2–1,1.4,Fluminense,,Estádio Nabi Abi Chedid,Jean Pierre Goncalves Lima,Match Report,
4,Wed,2020-08-19,19:15 (00:15),Flamengo,1.1,1–1,1.7,Grêmio,,Estadio Jornalista Mário Filho,Rafael Traci,Match Report,
4,Wed,2020-08-19,19:30 (00:30),Ath Paranaense,0.8,0–1,0.5,Palmeiras,,Estádio Joaquim Américo Guimarães,Caio Max Augusto Vieira,Match Report,
4,Wed,2020-08-19,20:30 (01:30),Goiás,1.0,1–3,2.0,Fortaleza,,Estádio de Hailé Pinheiro,Dyorgines José Padovani Andrade,Match Report,
4,Wed,2020-08-19,20:30 (01:30),Internacional,1.4,3–0,0.4,Atl Goianiense,,Estádio José Pinheiro Borba,Wagner Reway,Match Report,
4,Thu,2020-08-20,19:15 (00:15),Sport Recife,0.6,0–1,1.2,Santos,,Estádio Adelmar da Costa Carvalho,Jose Mendonca da Silva Junior,Match Report,
