rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
34,Michel Araujo,uy URU,"MF,FW",Fluminense,23,1996,20.6,988,35,163,552,289,49,988,80,45,56.3,35,43.8,617,3702,1940,50,43,8,62,27,720,90,Matches
35,Robert Arboleda,ec ECU,DF,São Paulo,28,1991,19.2,1363,144,590,705,74,28,1363,7,4,57.1,3,42.9,815,3471,1913,14,14,0,8,3,924,5,Matches
36,Arnaldo,br BRA,"DF,FW",Atl Goianiense,27,1992,4.9,282,13,64,127,93,7,282,10,8,80.0,2,20.0,150,962,554,15,10,3,10,4,159,34,Matches
37,Arthur,br BRA,"MF,FW",Santos,21,1998,13.6,569,11,87,241,254,34,568,51,28,54.9,23,45.1,360,2577,1189,39,28,10,42,19,372,92,Matches
38,Arthur,br BRA,GK,Coritiba,23,1997,4.0,139,128,139,0,0,0,139,0,0,,0,,58,235,178,0,0,0,0,0,49,0,Matches
39,Artur,br BRA,"FW,MF",RB Bragantino,21,1998,31.0,1515,12,150,531,870,134,1514,109,65,59.6,44,40.4,1049,7778,4253,150,87,55,81,34,1118,323,Matches
40,Otavio Ataide,br BRA,DF,Flamengo,17,2002,1.0,29,11,22,6,1,1,29,0,0,,0,,17,76,45,0,0,0,0,1,14,0,Matches
41,Giovanni Augusto,br BRA,"MF,FW",Coritiba,30,1989,14.2,810,7,59,391,370,32,810,43,29,67.4,14,32.6,493,3365,1844,61,33,9,31,24,595,99,Matches
42,Danilo Avelar,br BRA,DF,Corinthians,30,1989,12.9,947,119,461,459,32,13,947,3,1,33.3,2,66.7,631,3093,2108,15,11,1,5,0,725,3,Matches
43,Gui Azevedo,br BRA,"FW,MF",Grêmio,18,2001,1.2,74,0,5,36,33,8,74,9,4,44.4,5,55.6,62,608,239,9,5,2,3,3,63,15,Matches
44,Márcio Azevedo,br BRA,DF,Ath Paranaense,33,1986,4.2,342,5,60,186,97,3,342,18,9,50.0,9,50.0,206,974,592,11,5,0,6,3,237,21,Matches
45,Matheus Babi,br BRA,"FW,MF",Botafogo (RJ),22,1997,24.7,730,29,72,339,331,84,729,37,20,54.1,17,45.9,466,2371,817,27,22,4,63,35,550,143,Matches
46,Douglas Baggio,br BRA,"FW,MF",Goiás,24,1995,11.6,462,6,79,202,190,25,462,34,15,44.1,19,55.9,301,2159,923,34,18,8,31,19,314,70,Matches
47,Matheus Bahia,br BRA,DF,Bahia,20,1999,11.5,610,42,211,231,179,12,610,25,15,60.0,10,40.0,339,2017,1221,31,19,5,17,3,322,70,Matches
48,Guilherme Bala,br BRA,FW,Flamengo,18,2001,0.8,29,0,3,13,13,1,29,5,3,60.0,2,40.0,27,147,71,2,3,0,0,1,23,6,Matches
49,Gabriel Baralhas,br BRA,MF,Atl Goianiense,21,1998,1.7,130,3,29,88,15,0,130,0,0,,0,,75,322,118,1,0,0,1,1,87,3,Matches
50,Diogo Barbosa,br BRA,DF,Palmeiras,27,1992,3.6,224,2,61,101,63,1,224,0,0,,0,,110,689,288,6,6,0,10,4,109,17,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Diogo Barbosa,br BRA,DF,Grêmio,27,1992,17.9,1172,53,271,583,336,12,1172,25,18,72.0,7,28.0,639,3815,2191,61,48,5,20,13,739,93,Matches
52,Gabriel Barbosa,br BRA,FW,Flamengo,23,1996,19.5,639,0,13,231,404,112,633,39,19,48.7,20,51.3,469,2606,1184,40,30,23,35,8,512,169,Matches
53,Danilo Barcelos,br BRA,DF,Fluminense,28,1991,17.0,1189,57,367,568,264,8,1189,13,8,61.5,5,38.5,486,1786,958,15,13,0,10,8,649,68,Matches
54,Danilo Barcelos,br BRA,DF,Botafogo (RJ),28,1991,2.3,145,13,46,63,37,0,145,2,2,100.0,0,0.0,52,351,208,4,0,0,2,2,66,4,Matches
55,Leandro Barcia,uy URU,"FW,MF",Sport Recife,27,1992,11.4,396,9,55,151,194,34,396,14,6,42.9,8,57.1,217,1215,590,33,10,9,15,10,272,90,Matches
56,Federico Barrandeguy,uy URU,DF,Botafogo (RJ),23,1996,6.1,396,26,124,177,103,3,396,12,7,58.3,5,41.7,219,1004,440,8,5,1,8,5,220,33,Matches
57,Barreto,br BRA,"MF,DF",RB Bragantino,24,1995,1.2,70,3,13,48,9,1,70,1,1,100.0,0,0.0,30,144,78,0,1,0,1,0,51,2,Matches
58,Fellipe Bastos,br BRA,MF,Vasco da Gama,29,1990,8.8,527,19,97,332,102,8,527,6,3,50.0,3,50.0,305,1062,473,2,8,0,8,6,359,14,Matches
59,Gabriel Batista,br BRA,GK,Flamengo,21,1998,3.0,92,77,92,0,0,0,92,0,0,,0,,58,207,87,0,0,0,0,0,48,0,Matches
60,Muriel Becker,br BRA,GK,Fluminense,32,1987,19.0,475,436,474,1,0,0,475,2,2,100.0,0,0.0,208,1181,751,0,0,0,0,0,138,0,Matches
61,Ramiro Benetti,br BRA,"MF,FW",Corinthians,26,1993,20.0,1357,41,274,704,387,52,1357,16,7,43.8,9,56.3,732,2502,1017,14,23,2,31,14,920,117,Matches
62,Martín Benítez,ar ARG,"MF,FW",Vasco da Gama,25,1994,19.1,995,14,133,454,426,34,995,73,39,53.4,34,46.6,634,3818,1909,52,48,11,32,48,690,96,Matches
63,Bento,br BRA,GK,Ath Paranaense,20,1999,1.0,44,35,44,0,0,0,44,1,1,100.0,0,0.0,25,113,66,0,0,0,0,0,18,0,Matches
64,Daniel Bessa,it ITA,MF,Goiás,27,1993,12.0,686,16,139,368,187,10,685,14,9,64.3,5,35.7,418,2262,1122,23,23,4,13,16,495,36,Matches
65,Éber Bessa,br BRA,"FW,MF",Botafogo (RJ),27,1992,2.1,109,2,10,53,48,6,109,4,2,50.0,2,50.0,54,306,162,5,2,2,3,5,64,13,Matches
66,Betinho,br BRA,MF,Sport Recife,27,1992,17.2,957,41,200,665,102,1,957,9,9,100.0,0,0.0,520,2068,1037,10,11,0,15,7,637,13,Matches
67,Fabrício Biato,br BRA,FW,Palmeiras,18,2001,1.2,24,0,3,9,12,4,24,0,0,,0,,17,60,19,0,1,1,4,2,18,5,Matches
68,Guilherme Biro,br BRA,DF,Coritiba,19,2000,7.2,386,27,125,182,81,8,386,4,4,100.0,0,0.0,193,1013,612,10,15,0,2,2,232,23,Matches
69,Guilherme Bissoli,br BRA,FW,Ath Paranaense,22,1998,6.0,166,4,9,74,83,13,166,11,6,54.5,5,45.5,91,388,120,1,2,0,11,10,114,36,Matches
70,Gustavo Blanco,br BRA,"FW,MF",Goiás,25,1994,1.8,95,4,20,49,29,2,95,2,1,50.0,1,50.0,71,365,130,2,2,0,4,3,65,3,Matches
71,Paulinho Bóia,br BRA,"FW,DF",São Paulo,21,1998,5.6,265,4,39,105,124,15,265,25,13,52.0,12,48.0,185,1349,729,29,16,7,18,13,204,64,Matches
72,Dani Bolt,br BRA,DF,Fluminense,20,1999,0.0,8,0,0,8,1,0,8,0,0,,0,,5,25,18,0,0,0,0,0,5,0,Matches
73,Leonardo Borges,br BRA,DF,Internacional,19,2001,0.6,65,3,12,33,21,0,65,1,1,100.0,0,0.0,41,216,185,3,2,0,1,0,45,10,Matches
74,Marllon Borges,br BRA,DF,Corinthians,27,1992,6.7,246,42,145,93,10,5,246,2,2,100.0,0,0.0,117,510,276,2,2,0,1,1,115,0,Matches
75,Neto Borges,br BRA,"DF,MF",Vasco da Gama,23,1996,11.2,713,42,222,321,182,14,713,38,27,71.1,11,28.9,344,2205,1285,31,22,5,11,6,379,51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Dylan Borrero,co COL,MF,Atlético Mineiro,18,2002,1.6,114,2,22,72,21,4,114,4,3,75.0,1,25.0,64,279,114,0,2,0,3,4,71,9,Matches
77,Gabriel Boschilia,br BRA,"MF,FW",Internacional,23,1996,9.5,563,10,66,300,202,6,563,17,11,64.7,6,35.3,344,1739,696,14,21,1,18,13,365,37,Matches
78,Mauro Boselli,ar ARG,"FW,MF",Corinthians,34,1985,2.2,50,1,3,27,20,10,50,0,0,,0,,26,97,29,2,0,2,2,1,36,6,Matches
79,Lucas Braga,br BRA,"FW,MF",Santos,23,1996,22.9,703,12,105,261,354,61,703,69,41,59.4,28,40.6,476,4204,2156,88,54,21,59,33,513,152,Matches
80,Júnior Brandão,br BRA,FW,Atl Goianiense,25,1995,1.9,67,6,11,25,32,9,67,3,0,0.0,3,100.0,33,234,135,5,4,2,12,3,41,7,Matches
81,David Braz,br BRA,DF,Grêmio,32,1987,16.0,1034,108,512,490,38,13,1034,7,6,85.7,1,14.3,610,2495,1239,8,9,0,7,1,703,6,Matches
82,Brenner,br BRA,FW,São Paulo,20,2000,21.2,592,7,71,254,275,85,592,31,16,51.6,15,48.4,340,1554,683,20,12,9,45,14,417,91,Matches
