rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
422,Dinis Pinto,pt POR,DF,Moreirense,23,2000,24.1,1535,71,482,698,369,42,1535,33,12,36.4,16,48.5,651,3423,2067,54,32,4,30,20,766,96,Matches
423,Jaime Pinto,pt POR,"MF,FW",Farense,26,1997,2.6,58,3,8,24,30,10,58,11,4,36.4,7,63.6,35,310,128,9,5,3,8,6,35,8,Matches
424,João Pinto,pt POR,MF,Gil Vicente FC,21,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
425,Ole Pohlmann,de GER,"MF,FW",Rio Ave,23,2001,17.7,617,20,105,243,283,34,617,55,26,47.3,24,43.6,325,1999,1051,38,19,10,33,29,389,76,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
426,Carlos Ponck,cv CPV,DF,Moreirense,29,1995,5.4,363,50,262,98,6,2,363,2,2,100.0,0,0.0,195,624,283,0,0,0,3,1,233,0,Matches
427,Boris Popović,rs SRB,DF,Arouca,24,2000,10.0,690,126,451,223,16,5,690,2,1,50.0,1,50.0,419,1630,856,2,0,0,4,2,484,1,Matches
428,Darío Poveda,es ESP,"FW,MF",Farense,27,1997,11.0,292,11,24,149,122,29,292,24,11,45.8,13,54.2,146,675,303,11,4,4,27,13,193,53,Matches
429,Gianluca Prestianni,ar ARG,"MF,FW",Benfica,18,2006,3.2,182,0,9,51,125,8,182,19,6,31.6,13,68.4,120,667,277,7,8,2,13,15,148,38,Matches
430,Diogo Prioste,pt POR,MF,Benfica,20,2004,0.1,21,1,6,14,1,0,21,0,0,,0,,18,80,39,1,0,0,0,0,19,0,Matches
431,Miguel Puche García,es ESP,"FW,MF",Arouca,23,2001,5.8,296,4,48,120,133,25,296,26,15,57.7,10,38.5,157,996,398,18,13,11,14,10,169,43,Matches
432,Quaresma,br BRA,DF,Arouca,27,1996,0.9,76,3,14,44,19,1,76,3,3,100.0,0,0.0,31,261,152,5,4,0,3,2,46,5,Matches
433,Eduardo Quaresma,pt POR,DF,Sporting CP,22,2002,15.5,1239,58,362,777,123,9,1239,39,27,69.2,11,28.2,870,3931,2370,32,23,2,17,9,907,16,Matches
434,Geovany Quenda,pt POR,"MF,DF",Sporting CP,17,2007,25.0,1437,21,196,510,750,86,1437,83,38,45.8,39,47.0,820,4796,2681,97,44,40,41,15,892,222,Matches
435,Uroš Račić,rs SRB,MF,Braga,26,1998,8.0,522,18,93,339,94,12,522,4,2,50.0,2,50.0,263,1302,459,6,6,3,6,2,355,17,Matches
436,Rafinha,pt POR,MF,Farense,18,2006,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
437,Jesús Ramírez,ve VEN,FW,Vitória,26,1998,8.1,232,6,13,98,125,51,232,8,3,37.5,4,50.0,120,446,136,5,4,1,24,15,179,46,Matches
438,Cláudio Ramos,pt POR,GK,Porto,32,1991,2.0,56,41,54,2,0,0,56,0,0,,0,,31,129,68,0,0,0,0,0,32,0,Matches
439,Guilherme Ramos,pt POR,DF,Santa Clara,26,1997,3.7,186,17,92,87,8,3,186,1,1,100.0,0,0.0,105,485,230,3,2,0,0,1,103,0,Matches
440,Leonardo Realpe,ec ECU,DF,Famalicão,23,2001,5.0,239,41,143,90,8,6,239,4,3,75.0,1,25.0,113,637,421,2,0,1,1,0,131,0,Matches
441,João Rêgo,pt POR,FW,Benfica,19,2005,0.2,22,0,2,8,13,0,22,1,1,100.0,0,0.0,13,159,61,2,1,0,1,2,11,3,Matches
442,Francisco Reis Ferreira,pt POR,DF,Estrela,27,1997,15.7,955,122,547,361,58,16,955,6,3,50.0,3,50.0,425,1995,1150,6,3,0,7,1,533,4,Matches
443,Matheus Reis,br BRA,DF,Sporting CP,29,1995,14.7,1113,54,277,625,220,20,1113,12,8,66.7,2,16.7,675,3131,1898,35,21,4,13,7,788,55,Matches
444,Tiago Reis,br BRA,FW,Nacional,24,1999,2.6,58,0,3,26,29,15,58,1,0,0.0,1,100.0,24,79,26,0,0,0,5,3,40,8,Matches
445,Miguel Reisinho,pt POR,"MF,FW",Boavista,25,1999,24.1,1139,46,189,644,323,61,1134,51,21,41.2,24,47.1,535,2210,822,10,23,1,29,20,694,75,Matches
446,Filipe Relvas,pt POR,DF,Vitória,24,1999,9.4,679,84,351,311,22,14,679,1,1,100.0,0,0.0,355,1603,859,5,3,0,3,0,415,2,Matches
