rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,30,1994,28.9,904,1286,70.3,21266,11349,216,246,476,578,207,440,0,1.7,1.5,-1.7,17,84,15,6,66,Matches
2,Nelson Abbey,eng ENG,DF,Rio Ave,20,2003,7.1,279,366,76.2,4917,1600,115,130,146,169,15,49,0,0.1,0.1,-0.1,2,9,3,2,14,Matches
3,Bilal Abdelrahman Zeeni,eg EGY,MF,Estrela,21,2003,0.1,2,3,66.7,30,12,1,1,1,2,0,0,0,0.1,0.1,-0.1,2,0,1,0,1,Matches
4,Giorgi Aburjania,ge GEO,MF,AVS Futebol,29,1995,3.4,115,138,83.3,1907,572,58,63,49,58,8,13,0,0.6,0.2,-0.6,9,17,1,0,22,Matches
5,Adriano,br BRA,MF,Santa Clara,24,1999,29.2,1004,1193,84.2,17150,4413,445,495,461,525,73,123,2,2.7,1.5,-0.7,19,106,10,2,99,Matches
6,Lucas Áfrico,br BRA,DF,Farense,29,1995,19.5,564,714,79.0,12679,4963,121,137,334,370,101,175,0,0.1,0.1,-0.1,3,35,1,0,31,Matches
7,Salvador Agra,pt POR,"MF,DF",Boavista,32,1991,30.3,688,1014,67.9,11971,3935,319,385,276,373,76,189,2,4.1,3.8,-2.1,53,54,28,17,73,Matches
8,Brandon Aguilera,cr CRC,"MF,FW",Rio Ave,21,2003,15.3,495,683,72.5,9460,2776,191,234,211,258,77,141,1,2.2,1.6,-1.2,24,74,13,4,72,Matches
9,Jorge Aguirre,cu CUB,FW,Gil Vicente FC,24,2000,15.0,209,297,70.4,3131,503,120,162,57,80,19,23,2,2.1,1.0,-0.1,12,24,6,1,23,Matches
10,Babatunde Akinsola,ng NGA,"MF,FW",AVS Futebol,21,2003,13.0,209,309,67.6,3066,915,113,142,73,98,10,34,1,0.8,1.2,+0.2,11,19,11,2,33,Matches
11,Kerem Aktürkoğlu,tr TUR,"FW,MF",Benfica,25,1998,22.3,468,671,69.7,7139,1836,264,325,144,200,34,64,9,7.4,4.9,+1.6,41,29,30,7,68,Matches
12,Léo Alaba,br BRA,DF,AVS Futebol,25,1999,3.7,126,189,66.7,2430,1012,37,45,71,102,15,31,0,0.0,0.1,0.0,0,6,1,0,12,Matches
13,Alan,br BRA,MF,Moreirense,24,2000,27.9,995,1237,80.4,15454,4933,507,560,352,410,74,148,6,4.1,3.9,+1.9,66,109,29,2,164,Matches
14,Gonçalo Almeida,pt POR,"DF,MF",Boavista,21,2003,9.0,217,304,71.4,3834,1123,97,129,92,117,22,38,0,0.9,0.9,-0.9,11,8,6,3,18,Matches
15,Pedro Álvaro,pt POR,DF,Estoril,24,2000,29.1,1131,1328,85.2,21502,8679,402,438,604,663,114,198,1,0.3,0.7,+0.7,1,58,0,0,57,Matches
16,Pedro Amaral,pt POR,"DF,MF",Estoril,26,1997,26.6,960,1248,76.9,16705,5859,437,497,425,514,80,170,2,2.1,2.8,-0.1,19,62,27,15,100,Matches
17,Zeki Amdouni,ch SUI,"MF,FW",Benfica,23,2000,9.5,249,295,84.4,3588,708,143,159,86,97,8,12,2,3.4,2.6,-1.4,16,24,6,1,33,Matches
18,Artur Jorge Marques Amorim,pt POR,DF,Farense,29,1994,14.2,374,466,80.3,8390,3097,75,87,231,256,66,117,1,0.3,0.4,+0.7,3,19,3,1,22,Matches
19,Andrew,br BRA,GK,Gil Vicente FC,23,2001,33.0,975,1250,78.0,26358,15989,153,155,499,509,323,581,0,0.0,0.0,0.0,0,9,1,0,0,Matches
20,Jeremy Antonisse,cw CUW,"FW,MF",Moreirense,22,2002,9.3,183,258,70.9,2588,758,96,115,54,73,12,34,0,1.1,1.5,-1.1,9,9,4,2,12,Matches
21,Arvin Appiah,eng ENG,"DF,FW",Nacional,23,2001,15.4,399,521,76.6,6291,2026,205,238,164,208,23,45,0,0.8,0.7,-0.8,7,28,8,4,36,Matches
22,Óscar Aranda,es ESP,FW,Famalicão,22,2002,28.9,603,806,74.8,10077,2712,301,353,205,257,64,119,3,2.4,2.6,+0.6,18,70,32,2,126,Matches
23,Brian Araújo,fr FRA,GK,Gil Vicente FC,24,2000,1.0,26,31,83.9,777,571,2,2,15,15,9,14,0,0.0,0.0,0.0,0,0,0,0,0,Matches
24,Henrique Araújo,pt POR,FW,Arouca,22,2002,12.3,154,217,71.0,2222,482,92,111,45,63,11,15,2,1.1,0.6,+0.9,8,10,6,1,25,Matches
25,Maximiliano Araújo,uy URU,"DF,MF",Sporting CP,24,2000,19.7,791,966,81.9,12248,3551,461,507,264,335,49,82,4,4.3,5.4,-0.3,41,41,32,10,89,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Tomás Araújo,pt POR,DF,Benfica,22,2002,25.7,1357,1593,85.2,25702,9097,546,604,646,718,152,220,2,0.9,1.0,+1.1,11,157,19,5,136,Matches
27,Telmo Arcanjo,cv CPV,FW,Vitória,23,2001,14.7,416,566,73.5,6766,1658,215,256,151,196,34,78,2,2.3,2.3,-0.3,20,26,22,11,53,Matches
28,Gboly Ariyibi,us USA,"FW,MF",Boavista,29,1995,3.8,24,51,47.1,384,143,13,16,11,23,0,5,0,0.1,0.2,-0.1,2,3,4,1,9,Matches
29,Henrique Arreiol,pt POR,MF,Sporting CP,19,2005,0.3,11,13,84.6,136,17,8,9,3,3,0,1,0,0.0,0.0,0.0,0,1,0,0,1,Matches
30,Bright Arrey-Mbi,de GER,DF,Braga,21,2003,12.6,822,882,93.2,15668,4338,243,257,525,542,49,72,0,0.2,0.1,-0.2,3,29,0,0,41,Matches
31,Afonso Assis,pt POR,MF,Moreirense,18,2006,0.2,3,4,75.0,52,13,1,2,2,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
32,Gustavo Assuncao,pt POR,MF,AVS Futebol,24,2000,17.5,623,775,80.4,10512,3045,293,348,261,288,46,94,0,0.5,1.2,-0.5,9,62,3,1,59,Matches
33,Otavio Ataide,br BRA,DF,Porto,22,2002,18.1,1238,1407,88.0,23217,7178,465,504,632,682,123,184,0,0.2,0.5,-0.2,6,123,5,1,121,Matches
34,João Aurélio,pt POR,"DF,FW",Nacional,35,1988,4.5,95,147,64.6,1634,645,36,45,47,62,7,25,1,0.6,0.7,+0.4,3,8,6,4,11,Matches
35,Fredrik Aursnes,no NOR,"MF,FW",Benfica,28,1995,26.1,1065,1300,81.9,18007,5407,509,565,434,493,91,151,5,4.6,4.4,+0.4,29,128,40,4,165,Matches
36,Daniel Azevedo,pt POR,GK,Casa Pia,26,1998,1.0,19,28,67.9,449,269,3,3,11,11,4,13,0,0.0,0.0,0.0,0,0,0,0,0,Matches
37,Ibrahima Ba,sn SEN,DF,Famalicão,19,2005,1.1,30,38,78.9,659,275,5,6,15,18,7,11,0,0.0,0.0,0.0,0,4,0,0,3,Matches
38,Felix Bacher,at AUT,DF,Estoril,23,2000,23.0,838,986,85.0,14433,5750,367,396,387,428,68,131,0,0.0,0.1,0.0,1,36,0,0,33,Matches
39,Miguel Baeza,es ESP,"MF,FW",Nacional,24,2000,2.3,39,61,63.9,723,209,16,20,15,20,5,14,0,0.0,0.0,0.0,1,5,0,0,6,Matches
40,Alexander Bah,dk DEN,DF,Benfica,26,1997,15.7,770,990,77.8,12735,4244,396,443,304,386,56,111,1,1.2,1.4,-0.2,12,60,19,6,76,Matches
41,Ney Bahia,br BRA,MF,Santa Clara,20,2004,0.7,9,12,75.0,144,95,5,6,4,5,0,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
42,Adrian Bajrami,ch SUI,DF,Benfica,22,2002,0.1,8,12,66.7,174,4,2,2,5,6,1,3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
43,Theofanis Bakoulas,gr GRE,MF,Rio Ave,19,2005,4.3,106,136,77.9,1815,429,47,58,45,54,8,13,0,0.4,0.1,-0.4,2,8,0,0,10,Matches
44,Elves Baldé,gw GNB,"MF,FW",Farense,24,1999,11.6,166,267,62.2,3081,977,74,105,62,83,24,51,2,2.7,1.9,-0.7,18,11,10,6,26,Matches
45,Mohamed Bamba,ci CIV,MF,Gil Vicente FC,19,2004,10.6,426,519,82.1,8325,2081,152,167,213,242,58,95,0,0.1,0.2,-0.1,6,31,1,0,34,Matches
46,Robson Bambu,br BRA,DF,Braga,26,1997,11.4,672,766,87.7,13003,4151,223,231,392,418,53,100,0,0.1,0.1,-0.1,3,37,1,0,45,Matches
47,Chico Banza,ao ANG,FW,Estrela,25,1998,7.6,89,145,61.4,1342,341,49,68,25,39,7,18,0,0.3,0.6,-0.3,6,8,5,4,11,Matches
48,Simon Banza,cd COD,FW,Braga,27,1996,0.2,3,3,100.0,24,12,3,3,0,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
49,Rafael Barbosa,pt POR,"MF,FW",Farense,28,1996,4.0,107,157,68.2,2189,779,34,40,53,65,18,39,0,0.6,0.6,-0.6,11,16,5,4,28,Matches
50,Leandro Barreiro Martins,lu LUX,MF,Benfica,24,2000,13.5,508,589,86.2,8039,1692,257,282,228,252,15,24,1,1.6,1.6,-0.6,12,28,9,0,50,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Gil Bastião Dias,pt POR,"FW,MF",Famalicão,27,1996,15.6,351,515,68.2,4979,1609,188,232,113,155,20,50,2,1.1,1.3,+0.9,14,30,22,5,61,Matches
52,Gabriel Batista,br BRA,GK,Santa Clara,26,1998,34.0,630,1025,61.5,19296,14335,106,106,277,283,244,629,0,0.0,0.1,0.0,0,19,1,0,1,Matches
53,Gilberto Batista,gw GNB,DF,Moreirense,20,2003,3.5,112,143,78.3,2034,701,44,50,53,71,11,15,0,0.0,0.3,0.0,0,4,0,0,2,Matches
54,Ricardo Batista,pt POR,GK,Casa Pia,37,1986,1.0,31,35,88.6,703,457,9,9,18,19,4,6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
55,Yanis Begraoui,ma MAR,"FW,MF",Estoril,23,2001,21.3,380,503,75.5,6068,1177,191,239,146,173,27,40,3,3.4,2.2,-0.4,18,31,16,0,46,Matches
56,Gui Beleza,pt POR,MF,Gil Vicente FC,17,2006,0.0,0,0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
57,Bachir Belloumi,dz ALG,FW,Farense,22,2002,3.0,42,73,57.5,593,184,29,33,12,23,1,13,0,0.1,0.1,-0.1,2,6,2,0,14,Matches
58,Andrea Belotti,it ITA,FW,Benfica,30,1993,5.1,72,98,73.5,972,200,36,49,21,25,4,4,0,1.1,0.4,-1.1,7,5,0,0,8,Matches
59,Fahem Benaissa Yahia,fr FRA,"MF,DF",Casa Pia,22,2002,4.3,124,163,76.1,1666,589,79,94,39,54,2,7,0,0.0,0.1,0.0,0,6,1,0,10,Matches
60,Beni,ao ANG,MF,Vitória,22,2002,2.0,123,138,89.1,2056,528,63,69,46,50,12,14,0,0.0,0.0,0.0,0,13,0,0,9,Matches
61,Beni,ao ANG,MF,Casa Pia,22,2002,8.3,325,376,86.4,5415,1395,150,171,142,159,23,30,1,0.2,0.2,+0.8,4,23,3,0,35,Matches
62,Álex Bermejo,es ESP,"MF,FW",Farense,25,1998,6.6,132,197,67.0,2470,735,61,76,43,59,22,42,0,0.4,0.7,-0.4,8,14,7,2,18,Matches
63,Sergio Bermejo,es ESP,"MF,FW",Gil Vicente FC,26,1997,5.3,130,158,82.3,1768,490,75,83,45,56,3,7,0,0.3,0.2,-0.3,6,17,2,0,20,Matches
64,Simão Bertelli,br BRA,GK,AVS Futebol,31,1993,11.0,269,379,71.0,8087,5787,38,38,127,132,103,206,0,0.0,0.0,0.0,0,6,0,0,0,Matches
65,Jan-Niklas Beste,de GER,"FW,DF",Benfica,25,1999,5.6,238,302,78.8,4043,984,113,127,98,126,21,32,1,1.5,1.0,-0.5,15,9,5,2,21,Matches
66,José Bica,pt POR,"FW,MF",Vitória,21,2003,0.3,2,3,66.7,20,4,2,2,0,0,0,0,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
67,Biel,br BRA,"MF,FW",Sporting CP,23,2001,0.2,5,9,55.6,64,0,4,4,0,2,1,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
68,Raúl Blanco,es ESP,FW,Casa Pia,23,2001,2.8,60,69,87.0,1219,266,24,29,28,30,8,9,0,0.0,0.1,0.0,0,9,0,0,11,Matches
69,Paulinho Bóia,br BRA,"FW,MF",Nacional,26,1998,12.0,214,282,75.9,3047,765,121,146,65,80,13,24,2,2.6,2.0,-0.6,22,14,7,1,26,Matches
70,Kévin Boma,tg TOG,DF,Estoril,21,2002,27.4,1025,1195,85.8,17909,6340,386,420,575,635,52,116,0,0.2,0.4,-0.2,6,49,1,0,56,Matches
71,Pedro Bondo,ao ANG,DF,Famalicão,19,2004,2.0,60,99,60.6,1009,360,29,36,22,30,6,27,1,0.8,0.5,+0.2,4,8,0,0,4,Matches
72,Kiko Bondoso,pt POR,"FW,MF",Rio Ave,28,1995,21.7,431,561,76.8,6102,1414,267,310,126,163,22,35,1,2.3,1.6,-1.3,22,22,13,4,55,Matches
73,Toni Borevkovic,hr CRO,DF,Vitória,27,1997,26.9,1359,1513,89.8,25947,9620,471,503,757,808,120,177,0,0.8,0.3,-0.8,5,68,0,0,83,Matches
74,Daniel Borges,br BRA,"MF,FW",Santa Clara,21,2003,2.2,46,86,53.5,736,289,25,39,15,24,3,9,0,0.2,0.3,-0.2,2,9,2,0,7,Matches
75,Gonçalo Borges,pt POR,"FW,MF",Porto,23,2001,8.5,195,268,72.8,2831,577,115,125,64,94,10,30,3,2.1,1.7,+0.9,13,7,13,7,16,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Róbert Boženík,sk SVK,FW,Boavista,24,1999,30.6,328,461,71.1,5070,625,169,222,115,145,23,37,1,0.6,0.6,+0.4,9,23,10,1,39,Matches
77,Daniel Bragança,pt POR,MF,Sporting CP,25,1999,12.0,613,685,89.5,9917,2510,320,343,239,261,42,53,4,1.7,1.7,+2.3,21,77,15,1,87,Matches
78,Bruno Brigido,br BRA,GK,Estrela,33,1991,17.5,367,557,65.9,10426,7601,50,50,206,210,110,295,0,0.0,0.0,0.0,0,7,0,0,0,Matches
79,Alexandre Brito,pt POR,"MF,DF",Sporting CP,19,2005,1.0,40,44,90.9,602,56,23,24,15,18,1,1,0,0.0,0.0,0.0,0,1,0,0,3,Matches
80,Rafael Brito,pt POR,MF,Casa Pia,22,2002,11.2,313,432,72.5,5569,1611,130,164,149,193,28,57,1,0.4,0.3,+0.6,8,35,5,4,33,Matches
81,Tiago Brito,pt POR,MF,Estoril,20,2004,1.1,60,73,82.2,850,165,36,41,23,27,1,3,0,0.1,0.0,-0.1,2,2,0,0,2,Matches
