round,wk,day,date,time,home,xg,score,xg_1,away,attendance,venue,referee,match_report,notes
Primeira Liga,1,Fri,2023-08-11,20:15 (21:15),Braga,1.1,1–2,0.7,Famalicão,19184,Estádio Municipal de Braga,Fábio Veríssimo,Match Report,
Primeira Liga,1,Sat,2023-08-12,15:30 (16:30),Gil Vicente FC,1.5,5–0,1.0,Portimonense,3606,Estádio Cidade de Barcelos,Cláudio Ruivo Pereira,Match Report,
Primeira Liga,1,Sat,2023-08-12,18:00 (19:00),Farense,0.3,0–3,1.6,Casa Pia,3953,Estádio de São Lúis,Bruno Vieira,Match Report,
Primeira Liga,1,Sat,2023-08-12,20:30 (21:30),Sporting CP,2.1,3–2,1.4,Vizela,37152,Estádio José Alvalade,Fábio Oliveira Melo,Match Report,
Primeira Liga,1,Sun,2023-08-13,15:30 (16:30),Rio Ave,3.2,2–0,0.3,Chaves,3044,Estádio do Rio Ave Futebol Clube,Ricardo Baixinho,Match Report,
Primeira Liga,1,Sun,2023-08-13,18:00 (19:00),Estrela,0.4,0–1,0.7,Vitória,4300,Estádio José Gomes,Manuel Oliveira,Match Report,
Primeira Liga,1,Sun,2023-08-13,20:30 (21:30),Arouca,0.5,4–3,0.6,Estoril,1752,Estádio Municipal de Arouca,Hélder Carvalho,Match Report,
Primeira Liga,1,Mon,2023-08-14,18:45 (19:45),Moreirense,0.5,1–2,0.8,Porto,5674,P.D. Comendador Joaquim de Almeida Freit...,Hélder Malheiro,Match Report,
Primeira Liga,1,Mon,2023-08-14,20:45 (21:45),Boavista,2.1,3–2,2.0,Benfica,21320,Estádio do Bessa Século XXI,António Nobre,Match Report,
Primeira Liga,2,Fri,2023-08-18,20:15 (21:15),Casa Pia,0.8,1–2,1.2,Sporting CP,6981,Estádio Nacional,Nuno Almeida,Match Report,
Primeira Liga,2,Sat,2023-08-19,15:30 (16:30),Vitória,0.9,2–1,1.1,Gil Vicente FC,15127,Estádio Dom Afonso Henriques,André Narciso,Match Report,
Primeira Liga,2,Sat,2023-08-19,18:00 (19:00),Chaves,1.4,2–4,1.3,Braga,5443,Estádio Municipal Eng. Manuel Branco Tei...,João António Gonçalves,Match Report,
Primeira Liga,2,Sat,2023-08-19,20:30 (21:30),Portimonense,1.2,1–4,1.8,Boavista,2034,Estádio do Portimonense SC,João Pinheiro,Match Report,
Primeira Liga,2,Sat,2023-08-19,20:30 (21:30),Benfica,3.3,2–0,0.4,Estrela,58479,Estádio do Sport Lisboa e Benfica,Gustavo Correia,Match Report,
Primeira Liga,2,Sun,2023-08-20,15:30 (16:30),Estoril,2.3,2–0,0.6,Rio Ave,2353,Estádio António Coimbra da Mota,Iancu Vasilica,Match Report,
