rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,29,1994,27.5,1928,264,1103,718,118,19,1928,10,8,80.0,2,20.0,1060,4679,2625,17,14,1,18,1,1258,19,Matches
2,Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,623,521,612,12,0,0,623,1,1,100.0,0,0.0,370,1933,1233,0,0,0,1,0,300,0,Matches
3,Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,0.1,4,0,1,2,1,0,4,0,0,,0,,2,10,0,0,0,0,0,0,2,0,Matches
4,Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,13.4,811,45,285,342,192,6,811,15,8,53.3,6,40.0,391,1564,916,18,20,2,11,4,473,66,Matches
5,Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,27.3,1332,27,253,570,516,28,1332,53,21,39.6,30,56.6,714,3853,1743,60,38,12,42,27,882,174,Matches
6,Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,5.3,171,5,21,92,59,15,171,10,6,60.0,4,40.0,95,386,166,5,3,3,13,6,122,28,Matches
7,Alan,br BRA,MF,Moreirense,23,2000,27.3,1400,11,120,796,506,48,1399,49,24,49.0,22,44.9,797,4210,2307,63,48,6,58,33,968,95,Matches
8,Rafael Alcobia,pt POR,DF,Portimonense,20,2003,2.3,156,14,106,49,2,0,156,0,0,,0,,80,386,282,2,0,0,1,1,119,0,Matches
9,Alemão,br BRA,DF,Portimonense,20,2002,26.3,1441,278,879,536,33,17,1441,5,2,40.0,3,60.0,784,4811,2494,9,8,1,10,4,854,3,Matches
10,Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,8.9,235,4,14,93,128,36,234,12,6,50.0,5,41.7,118,607,204,8,7,2,16,21,175,43,Matches
11,Almeida,br BRA,DF,Estrela,23,2000,5.4,291,36,172,113,6,2,291,4,2,50.0,2,50.0,165,774,340,2,0,0,3,1,190,1,Matches
12,Pedro Álvaro,pt POR,DF,Estoril,23,2000,19.9,1128,196,702,398,35,24,1128,1,0,0.0,1,100.0,645,3208,1648,2,3,0,4,3,748,4,Matches
13,Pedro Amador,pt POR,DF,Moreirense,24,1998,12.6,757,40,255,327,184,6,757,19,5,26.3,14,73.7,310,1767,983,30,18,1,14,3,364,46,Matches
14,Artur Jorge Marques Amorim,pt POR,DF,Farense,28,1994,5.5,252,54,150,95,9,6,252,0,0,,0,,113,666,265,2,1,0,2,1,132,0,Matches
15,André André,pt POR,MF,Vitória,33,1989,7.3,453,8,67,277,114,16,453,23,12,52.2,8,34.8,277,1450,685,17,10,0,13,10,336,27,Matches
16,Andrew,br BRA,GK,Gil Vicente FC,22,2001,32.0,1218,1071,1215,3,0,0,1218,0,0,,0,,585,2671,1481,0,0,0,1,0,490,0,Matches
17,Jeremy Antonisse,cw CUW,FW,Moreirense,21,2002,6.1,294,11,55,115,136,21,294,34,18,52.9,12,35.3,181,1346,712,21,13,6,18,8,196,51,Matches
18,Pedro Aparício,pt POR,"MF,FW",Moreirense,27,1995,3.7,163,3,20,81,65,13,163,11,7,63.6,4,36.4,104,499,229,7,2,3,11,6,107,16,Matches
19,Óscar Aranda,es ESP,"FW,MF",Famalicão,21,2002,8.0,367,3,47,179,153,12,367,68,32,47.1,30,44.1,249,1876,840,27,23,6,28,11,251,24,Matches
