rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Rodrigo Abascal,uy URU,DF,Boavista,29,1994,27.5,1285,1625,79.1,29048,12863,331,368,710,784,239,438,0,0.6,0.8,-0.6,9,90,7,6,83,Matches
2,Antonio Adán,es ESP,GK,Sporting CP,36,1987,22.0,478,601,79.5,12116,8466,90,90,281,284,107,227,0,0.0,0.0,0.0,0,8,0,0,0,Matches
3,Dennis Adeniran,eng ENG,MF,Portimonense,24,1999,0.1,2,2,100.0,31,0,1,1,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,Martin Agirregabiria,es ESP,DF,Famalicão,27,1996,13.4,516,694,74.4,9276,3944,229,269,230,280,49,113,0,0.6,0.8,-0.6,9,41,18,10,52,Matches
5,Salvador Agra,pt POR,"FW,DF",Boavista,31,1991,27.3,840,1129,74.4,14919,4682,367,419,367,446,91,203,1,3.6,4.8,-2.6,45,41,41,21,89,Matches
6,Matheus Aiás,br BRA,"FW,MF",Moreirense,26,1996,5.3,71,110,64.5,1107,362,29,42,25,33,6,15,0,0.2,0.2,-0.2,5,10,1,0,14,Matches
7,Alan,br BRA,MF,Moreirense,23,2000,27.3,902,1161,77.7,14941,4547,463,518,337,390,78,187,4,4.0,3.4,0.0,70,116,22,2,164,Matches
8,Rafael Alcobia,pt POR,DF,Portimonense,20,2003,2.3,100,139,71.9,2214,985,25,28,53,60,21,45,0,0.1,0.0,-0.1,2,10,1,0,4,Matches
9,Alemão,br BRA,DF,Portimonense,20,2002,26.3,912,1127,80.9,18895,7493,272,303,510,561,116,232,0,0.4,0.3,-0.4,5,42,2,0,43,Matches
10,Ali Alipour,ir IRN,FW,Gil Vicente FC,27,1995,8.9,103,158,65.2,1244,240,65,83,29,40,1,5,0,1.0,1.0,-1.0,6,3,5,0,11,Matches
11,Almeida,br BRA,DF,Estrela,23,2000,5.4,191,248,77.0,3983,1425,48,60,111,122,30,61,1,0.1,0.0,+0.9,1,6,1,0,10,Matches
12,Pedro Álvaro,pt POR,DF,Estoril,23,2000,19.9,804,933,86.2,16441,6851,244,266,468,493,87,160,1,1.1,0.9,-0.1,5,35,3,1,31,Matches
13,Pedro Amador,pt POR,DF,Moreirense,24,1998,12.6,446,618,72.2,8372,3549,188,227,189,249,63,113,1,0.7,1.1,+0.3,10,21,14,10,27,Matches
14,Artur Jorge Marques Amorim,pt POR,DF,Farense,28,1994,5.5,143,184,77.7,3238,1019,29,32,93,102,21,45,0,0.1,0.0,-0.1,1,6,1,0,6,Matches
15,André André,pt POR,MF,Vitória,33,1989,7.3,329,377,87.3,5087,1559,179,196,122,133,17,29,3,2.5,2.0,+0.5,6,38,9,2,46,Matches
16,Andrew,br BRA,GK,Gil Vicente FC,22,2001,32.0,814,1130,72.0,21091,14648,172,172,412,418,225,529,0,0.0,0.0,0.0,0,4,0,0,0,Matches
17,Jeremy Antonisse,cw CUW,FW,Moreirense,21,2002,6.1,146,200,73.0,2012,685,89,112,40,54,7,18,1,1.5,1.1,-0.5,12,9,7,3,23,Matches
