squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Ath Paranaense,31,26.2,46.9,38,418,3420,38.0,39,35,74,38,1,2,92,6,47.0,45.5,37.8,83.2,582,1496,1.03,0.92,1.95,1.0,1.92,1.24,0.99,2.23,1.2,2.19
Atl Goianiense,40,26.5,47.4,38,418,3420,38.0,28,16,44,25,3,5,109,11,40.6,36.5,27.5,64.0,598,1432,0.74,0.42,1.16,0.66,1.08,1.07,0.72,1.79,0.96,1.68
Atlético Mineiro,36,28.1,57.2,38,418,3420,38.0,47,23,70,36,11,13,113,12,46.0,35.9,26.0,61.9,604,1546,1.24,0.61,1.84,0.95,1.55,1.21,0.68,1.89,0.94,1.63
Bahia,30,27.7,55.8,38,418,3420,38.0,49,40,89,47,2,2,83,1,51.3,49.9,40.5,90.3,736,1746,1.29,1.05,2.34,1.24,2.29,1.35,1.07,2.42,1.31,2.38
Botafogo (RJ),38,27.9,53.8,38,418,3420,38.0,58,41,99,54,4,6,96,4,57.3,52.8,41.1,93.9,629,1703,1.53,1.08,2.61,1.42,2.5,1.51,1.08,2.59,1.39,2.47
Corinthians,43,26.3,50.8,38,418,3420,38.0,54,36,90,49,5,6,111,7,49.1,44.4,34.0,78.4,620,1436,1.42,0.95,2.37,1.29,2.24,1.29,0.89,2.19,1.17,2.06
Criciúma,34,30.0,42.9,38,418,3420,38.0,42,27,69,42,0,0,99,6,37.4,37.4,26.9,64.3,485,1310,1.11,0.71,1.82,1.11,1.82,0.98,0.71,1.69,0.98,1.69
Cruzeiro,39,26.9,53.1,38,418,3420,38.0,43,30,73,39,4,5,97,6,40.0,36.1,25.8,62.0,642,1452,1.13,0.79,1.92,1.03,1.82,1.05,0.68,1.73,0.95,1.63
Cuiabá,32,27.8,42.6,38,418,3420,38.0,28,16,44,24,4,5,107,1,31.9,28.0,20.9,48.9,486,1123,0.74,0.42,1.16,0.63,1.05,0.84,0.55,1.39,0.74,1.29
Flamengo,38,27.3,55.8,38,418,3420,38.0,60,42,102,51,9,11,75,4,56.4,47.7,38.9,86.6,729,1774,1.58,1.11,2.68,1.34,2.45,1.48,1.02,2.51,1.26,2.28
Fluminense,39,30.4,55.5,38,418,3420,38.0,31,26,57,30,1,4,115,5,37.6,34.4,27.4,61.9,629,1390,0.82,0.68,1.5,0.79,1.47,0.99,0.72,1.71,0.91,1.63
Fortaleza,28,29.8,42.7,38,418,3420,38.0,51,38,89,48,3,5,99,10,43.6,39.7,31.6,71.2,544,1169,1.34,1.0,2.34,1.26,2.26,1.15,0.83,1.98,1.04,1.87
Grêmio,38,28.5,46.0,38,418,3420,38.0,42,28,70,39,3,3,88,7,43.4,41.1,29.9,70.9,596,1354,1.11,0.74,1.84,1.03,1.76,1.14,0.79,1.93,1.08,1.87
Internacional,37,27.5,52.7,38,418,3420,38.0,52,33,85,48,4,8,99,1,58.6,52.2,40.3,92.5,646,1568,1.37,0.87,2.24,1.26,2.13,1.54,1.06,2.6,1.37,2.43
Juventude,36,28.1,47.1,38,418,3420,38.0,48,40,88,48,0,1,113,13,42.9,42.1,33.6,75.7,488,1230,1.26,1.05,2.32,1.26,2.32,1.13,0.88,2.01,1.11,1.99
Palmeiras,32,26.6,53.7,38,418,3420,38.0,58,35,93,50,8,9,90,5,67.0,60.4,47.4,107.8,698,1707,1.53,0.92,2.45,1.32,2.24,1.76,1.25,3.01,1.59,2.84
RB Bragantino,38,24.8,47.3,38,418,3420,38.0,44,32,76,41,3,3,101,4,39.4,37.0,28.6,65.6,563,1272,1.16,0.84,2.0,1.08,1.92,1.04,0.75,1.79,0.97,1.73
São Paulo,38,28.5,57.5,38,418,3420,38.0,51,36,87,48,3,4,95,3,40.3,37.0,27.8,64.8,622,1546,1.34,0.95,2.29,1.26,2.21,1.06,0.73,1.79,0.97,1.71
Vasco da Gama,40,27.5,48.9,38,418,3420,38.0,42,32,74,41,1,3,94,7,36.8,34.4,27.0,61.4,549,1330,1.11,0.84,1.95,1.08,1.92,0.97,0.71,1.68,0.91,1.62
Vitória,41,27.0,42.4,38,418,3420,38.0,44,27,71,37,7,7,103,6,42.5,37.2,26.7,63.8,530,1167,1.16,0.71,1.87,0.97,1.68,1.12,0.7,1.82,0.98,1.68
