rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Abner,br BRA,DF,Juventude,19,2004,1.2,19,28,67.9,415,166,7,8,10,11,2,8,0,0.0,0.0,0.0,0,3,1,0,2,Matches
2,Nicolás Acevedo,uy URU,"MF,DF",Bahia,24,1999,3.0,185,211,87.7,3432,1160,70,82,95,101,19,23,0,0.2,0.3,-0.2,2,18,4,0,19,Matches
3,Luiz Adriano,br BRA,FW,Vitória,36,1987,2.2,32,45,71.1,426,67,13,18,13,16,0,1,1,0.1,0.1,+0.9,2,3,1,0,4,Matches
4,Adriel,br BRA,GK,Bahia,23,2001,3.7,109,133,82.0,2244,1596,32,33,50,50,20,43,0,0.0,0.0,0.0,0,1,0,0,1,Matches
5,Adryelson,br BRA,DF,Botafogo (RJ),25,1998,6.4,370,404,91.6,6905,2695,125,135,217,225,25,34,0,0.3,0.1,-0.3,1,16,0,0,22,Matches
6,Adson,br BRA,FW,Vasco da Gama,23,2000,13.6,528,622,84.9,7363,1834,321,350,159,184,22,33,1,2.6,3.2,-1.6,21,49,19,3,72,Matches
7,Braian Aguirre,ar ARG,DF,Internacional,23,2000,1.0,32,46,69.6,541,218,12,15,18,26,2,5,0,0.3,0.2,-0.3,1,5,3,0,7,Matches
8,Lucas Alario,ar ARG,"FW,MF",Internacional,31,1992,7.1,82,113,72.6,957,188,51,63,22,31,1,1,0,0.1,0.2,-0.1,3,4,1,0,7,Matches
9,Carlos Alberto,br BRA,FW,Botafogo (RJ),21,2002,2.4,17,23,73.9,220,60,9,11,7,8,0,0,0,0.1,0.1,-0.1,2,1,3,0,4,Matches
10,Yuri Alberto,br BRA,FW,Corinthians,22,2001,24.4,297,412,72.1,3809,706,175,224,81,98,11,20,4,1.9,1.3,+2.1,22,19,13,0,31,Matches
11,Carlos Alcaraz,ar ARG,"MF,FW",Flamengo,21,2002,8.3,335,426,78.6,5703,1671,176,203,113,142,37,65,1,0.6,0.8,+0.4,17,42,8,1,39,Matches
