rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,River Plate,25,16,6,3,53,19,34,54,2.16,43.6,22.6,21.0,0.84,,Julián Álvarez - 18,Franco Armani,
2,Defensa y Just,25,13,8,4,43,24,19,47,1.88,38.9,30.1,8.8,0.35,,"Walter Bou, Miguel Merentiel - 10",Ezequiel Unsain,
3,Talleres,25,14,4,7,38,28,10,46,1.84,32.1,30.2,1.9,0.08,,Michael Santos - 7,Guido Herrera,
4,Boca Juniors,25,11,8,6,35,19,16,41,1.64,34.8,22.7,12.1,0.49,,Luis Vázquez - 7,Agustín Rossi,
5,Vélez Sarsfield,25,10,9,6,34,21,13,39,1.56,31.4,28.7,2.6,0.1,,Juan Martín Lucero - 9,Lucas Hoyos,
6,Estudiantes–LP,25,10,9,6,43,31,12,39,1.56,37.8,27.3,10.5,0.42,,Leandro Díaz - 10,Mariano Andújar,
7,Colón,25,11,6,8,26,31,-5,39,1.56,30.4,34.2,-3.8,-0.15,,"Eric Meza, Rodrigo Aliendro - 4",Leonardo Burián,
8,Huracán,25,10,8,7,28,25,3,38,1.52,31.8,27.8,4.0,0.16,,Matías Cóccaro - 7,Marcos Guillermo Díaz,
9,Independiente,25,10,8,7,27,24,3,38,1.52,24.9,25.6,-0.7,-0.03,,Silvio Romero - 10,Sebastián Sosa,
10,Lanús,25,10,7,8,44,43,1,37,1.48,40.3,37.0,3.3,0.13,,José Sand - 15,Lucas Acosta,
11,Gimnasia–LP,25,9,9,7,27,28,-1,36,1.44,29.0,33.9,-4.9,-0.19,,Luis Miguel Rodríguez - 8,Rodrigo Rey,
12,Unión,25,10,4,11,32,32,0,34,1.36,28.9,26.7,2.3,0.09,,Juan Manuel García - 7,Sebastián Moyano,
13,Aldosivi,25,10,3,12,29,39,-10,33,1.32,25.8,49.7,-23.9,-0.96,,Martín Cauteruccio - 10,José Devecchi,
14,Arg Juniors,25,8,8,9,26,25,1,32,1.28,33.8,26.8,7.0,0.28,,Nicolás Reniero - 5,Federico Lanzillota,
15,Racing Club,25,8,8,9,24,23,1,32,1.28,26.4,29.3,-2.9,-0.12,,"Javier Marcelo Correa, Enzo Copetti - 4",Gabriel Arias,
16,Rosario Central,25,9,5,11,39,41,-2,32,1.28,35.2,38.5,-3.3,-0.13,,Marco Ruben - 15,Jorge Broun,
17,Godoy Cruz,25,8,7,10,35,33,2,31,1.24,34.9,33.5,1.4,0.06,,Martín Ojeda - 12,Juan Espínola,
18,Platense,25,7,10,8,36,36,0,31,1.24,27.8,32.9,-5.1,-0.2,,Matías Tissera - 14,Luis Ojeda,
19,Newell's OB,25,7,7,11,24,32,-8,28,1.12,28.5,35.0,-6.5,-0.26,,"Ignacio Scocco, Nicolás Castro - 5",Alan Aguerre,
20,Banfield,25,5,12,8,20,25,-5,27,1.08,34.5,28.6,5.9,0.24,,Juan Cruz - 7,Facundo Altamirano,
21,San Lorenzo,25,7,6,12,23,33,-10,27,1.08,26.4,31.3,-4.9,-0.2,,Franco Di Santo - 6,Sebastián Torrico,
22,Cen. Córdoba–SdE,25,6,8,11,30,36,-6,26,1.04,33.0,25.8,7.1,0.28,,Milton Giménez - 11,César Rigamonti,
23,Patronato,25,5,10,10,23,35,-12,25,1.0,28.1,30.6,-2.5,-0.1,,Sebastián Sosa - 8,Matías Ibáñez,
24,Sarmiento,25,6,6,13,23,33,-10,24,0.96,27.9,33.1,-5.1,-0.21,,Jonathan Torres - 8,Manuel Vicentini,
25,Atlé Tucumán,25,5,7,13,22,46,-24,22,0.88,29.2,40.7,-11.5,-0.46,,Ramiro Carrera - 6,Cristian Lucchetti,
26,Arsenal,25,4,9,12,12,34,-22,21,0.84,22.2,35.0,-12.8,-0.51,,Bruno Sepúlveda - 5,Alejandro Medina,
