squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Aldosivi,29,28.1,50.0,25,275,2250,25.0,27,19,46,24,3,4,65,4,25.8,22.6,17.0,39.6,370,948,1.08,0.76,1.84,0.96,1.72,1.03,0.68,1.71,0.9,1.58
Arg Juniors,31,26.7,59.4,25,275,2250,25.0,26,15,41,24,2,4,62,3,33.8,30.7,21.6,52.3,342,1150,1.04,0.6,1.64,0.96,1.56,1.35,0.86,2.21,1.23,2.09
Arsenal,35,28.2,44.3,25,275,2250,25.0,12,9,21,11,1,2,50,2,22.2,20.7,14.7,35.4,225,795,0.48,0.36,0.84,0.44,0.8,0.89,0.59,1.48,0.83,1.42
Atlé Tucumán,29,28.6,47.5,25,275,2250,25.0,20,13,33,20,0,1,63,4,29.2,28.4,22.4,50.8,273,874,0.8,0.52,1.32,0.8,1.32,1.17,0.89,2.06,1.14,2.03
Banfield,28,25.4,51.8,25,275,2250,25.0,20,13,33,19,1,2,61,3,34.5,32.9,24.8,57.7,402,915,0.8,0.52,1.32,0.76,1.28,1.38,0.99,2.37,1.32,2.31
Boca Juniors,45,25.5,58.9,25,275,2250,25.0,33,24,57,30,3,3,39,3,34.8,32.4,25.4,57.9,450,1091,1.32,0.96,2.28,1.2,2.16,1.39,1.02,2.41,1.3,2.32
Cen. Córdoba–SdE,29,27.2,43.4,25,275,2250,25.0,29,21,50,25,4,4,54,3,33.0,29.8,24.9,54.7,356,842,1.16,0.84,2.0,1.0,1.84,1.32,0.99,2.31,1.19,2.19
Colón,23,27.3,50.4,25,275,2250,25.0,26,13,39,23,3,3,48,7,30.4,28.2,19.6,47.8,339,999,1.04,0.52,1.56,0.92,1.44,1.22,0.78,2.0,1.13,1.91
Defensa y Just,23,25.8,50.6,25,275,2250,25.0,43,36,79,42,1,2,44,1,38.9,37.4,29.7,67.1,311,837,1.72,1.44,3.16,1.68,3.12,1.56,1.19,2.75,1.49,2.68
Estudiantes–LP,27,27.4,45.2,25,275,2250,25.0,42,24,66,38,4,5,57,0,37.8,33.7,24.5,58.3,287,803,1.68,0.96,2.64,1.52,2.48,1.51,0.98,2.49,1.35,2.33
Gimnasia–LP,30,26.9,44.7,25,275,2250,25.0,27,14,41,23,4,7,50,4,29.0,23.5,17.3,40.8,323,767,1.08,0.56,1.64,0.92,1.48,1.16,0.69,1.85,0.94,1.63
Godoy Cruz,29,24.4,52.4,25,275,2250,25.0,34,29,63,33,1,1,50,2,34.9,34.1,26.8,60.9,404,954,1.36,1.16,2.52,1.32,2.48,1.4,1.07,2.47,1.37,2.44
Huracán,29,27.3,47.6,25,275,2250,25.0,27,19,46,26,1,2,67,2,31.8,30.4,22.5,53.0,362,877,1.08,0.76,1.84,1.04,1.8,1.27,0.9,2.17,1.22,2.12
Independiente,30,26.4,53.8,25,275,2250,25.0,26,20,46,25,1,2,59,5,24.9,23.4,18.2,41.6,425,962,1.04,0.8,1.84,1.0,1.8,1.0,0.73,1.73,0.93,1.66
Lanús,26,26.2,48.4,25,275,2250,25.0,44,32,76,41,3,4,66,1,40.3,37.2,28.0,65.2,403,874,1.76,1.28,3.04,1.64,2.92,1.61,1.12,2.73,1.49,2.61
Newell's OB,36,26.2,49.2,25,275,2250,25.0,24,16,40,23,1,2,57,5,28.5,26.9,22.3,49.3,290,934,0.96,0.64,1.6,0.92,1.56,1.14,0.89,2.03,1.08,1.97
Patronato,29,28.1,41.5,25,275,2250,25.0,22,16,38,20,2,4,60,3,28.1,25.3,19.2,44.5,309,741,0.88,0.64,1.52,0.8,1.44,1.13,0.77,1.89,1.01,1.78
Platense,32,27.1,39.6,25,275,2250,25.0,35,22,57,31,4,5,39,2,27.8,23.9,15.5,39.4,335,714,1.4,0.88,2.28,1.24,2.12,1.11,0.62,1.73,0.96,1.58
Racing Club,29,27.4,56.0,25,275,2250,25.0,22,14,36,20,2,3,55,1,26.4,24.1,18.2,42.3,442,1013,0.88,0.56,1.44,0.8,1.36,1.06,0.73,1.79,0.96,1.69
River Plate,30,26.5,62.0,25,275,2250,25.0,51,39,90,50,1,2,53,1,43.6,42.3,32.2,74.4,495,1386,2.04,1.56,3.6,2.0,3.56,1.74,1.29,3.03,1.69,2.98
Rosario Central,33,25.6,51.8,25,275,2250,25.0,39,32,71,39,0,0,68,5,35.2,35.2,27.0,62.3,359,906,1.56,1.28,2.84,1.56,2.84,1.41,1.08,2.49,1.41,2.49
San Lorenzo,31,27.8,48.4,25,275,2250,25.0,22,10,32,18,4,4,77,11,26.4,23.2,15.0,38.3,280,841,0.88,0.4,1.28,0.72,1.12,1.06,0.6,1.66,0.93,1.53
Sarmiento,31,26.3,45.5,25,275,2250,25.0,23,18,41,21,2,2,53,1,27.9,26.3,18.8,45.2,332,860,0.92,0.72,1.64,0.84,1.56,1.12,0.75,1.87,1.05,1.81
Talleres,25,25.2,53.3,25,275,2250,25.0,36,28,64,33,3,3,75,2,32.1,29.8,25.3,55.1,357,826,1.44,1.12,2.56,1.32,2.44,1.28,1.01,2.29,1.19,2.2
Unión,27,24.5,46.3,25,275,2250,25.0,30,24,54,28,2,2,49,4,28.9,27.4,20.3,47.7,354,926,1.2,0.96,2.16,1.12,2.08,1.16,0.81,1.97,1.09,1.91
Vélez Sarsfield,29,26.4,57.9,25,275,2250,25.0,33,26,59,32,1,2,56,2,31.4,30.0,23.8,53.8,385,1144,1.32,1.04,2.36,1.28,2.32,1.25,0.95,2.21,1.2,2.15
