rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
33,Juan Andrada,ar ARG,MF,Arsenal,26,1995,3.6,128,172,74.4,2550,820,49,62,57,68,21,37,0,0.0,0.1,0.0,0,17,0,0,17,Matches
34,Fernando Andrés Márquez,ar ARG,FW,Unión,33,1987,9.9,224,359,62.4,3359,998,124,178,70,111,14,28,1,1.4,1.6,-0.4,13,35,12,3,44,Matches
35,Federico Andueza,uy URU,DF,Cen. Córdoba–SdE,23,1997,10.2,292,371,78.7,6359,2934,72,84,166,192,48,80,0,0.0,0.0,0.0,2,17,0,0,29,Matches
36,Mariano Andújar,ar ARG,GK,Estudiantes–LP,37,1983,25.0,556,918,60.6,17983,15098,91,91,209,217,255,608,0,0.0,0.1,0.0,0,17,1,0,0,Matches
37,Miguel Ángel Torrén,ar ARG,DF,Arg Juniors,32,1988,14.8,906,1072,84.5,21750,8530,199,222,477,527,222,302,0,0.4,0.7,-0.4,5,68,3,0,61,Matches
38,Fabrizio Angileri,ar ARG,DF,River Plate,26,1994,9.4,505,670,75.4,8147,2508,279,320,162,211,48,94,3,1.6,2.1,+1.4,11,34,9,6,41,Matches
39,Alejo Antilef,ar ARG,MF,Arsenal,22,1998,6.9,177,246,72.0,2432,834,112,131,45,61,10,21,2,0.6,0.6,+1.4,10,13,3,2,23,Matches
40,Fermín Antonini,ar ARG,DF,Sarmiento,23,1997,0.2,8,12,66.7,145,111,5,7,2,3,1,1,0,0.0,0.0,0.0,0,1,0,0,0,Matches
41,Alejandro Aranda,ar ARG,"DF,FW",Aldosivi,25,1995,0.4,5,12,41.7,66,21,3,8,2,3,0,0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
42,Gabriel Aranda,ar ARG,DF,Boca Juniors,19,2001,2.0,66,78,84.6,1351,470,21,25,34,38,10,12,0,0.2,0.1,-0.2,1,2,0,0,3,Matches
43,Pablo Argañaraz,ar ARG,"MF,FW",Cen. Córdoba–SdE,22,1998,6.6,139,191,72.8,2218,485,73,93,47,61,15,22,2,0.8,0.7,+1.2,13,14,2,1,21,Matches
44,Gabriel Arias,cl CHI,GK,Racing Club,33,1987,20.0,525,666,78.8,13527,9688,137,137,236,238,144,283,0,0.0,0.0,0.0,0,13,2,0,0,Matches
45,Junior Arias,uy URU,"FW,MF",Patronato,27,1993,16.3,303,465,65.2,4361,1000,192,259,80,114,19,45,0,1.3,1.4,-1.3,19,23,11,2,33,Matches
46,Joaquín Ariel Novillo,ar ARG,DF,Racing Club,22,1998,2.4,81,103,78.6,1553,614,27,31,46,51,7,18,0,0.0,0.0,0.0,0,2,0,0,2,Matches
47,Franco Armani,ar ARG,GK,River Plate,34,1986,21.0,441,573,77.0,11992,8539,84,85,219,221,135,263,0,0.1,0.0,-0.1,1,5,0,0,0,Matches
48,Gonzalo Asis,ar ARG,"MF,DF",Independiente,24,1996,0.2,6,6,100.0,85,33,2,2,3,3,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
49,Julián Aude,ar ARG,"MF,DF",Lanús,17,2003,4.7,162,199,81.4,2773,953,73,80,74,85,12,23,0,0.1,0.1,-0.1,2,8,2,0,17,Matches
50,Carlos Auzqui,ar ARG,"MF,FW",Talleres,29,1991,18.8,526,761,69.1,8818,3113,280,345,168,235,58,105,3,6.6,3.9,-3.6,41,66,25,6,92,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Gabriel Ávalos,py PAR,FW,Arg Juniors,30,1990,12.6,220,356,61.8,2976,363,128,184,70,111,6,13,0,1.0,0.6,-1.0,13,15,3,0,22,Matches
52,Gastón Ávila,ar ARG,DF,Rosario Central,19,2001,17.0,724,948,76.4,17167,6920,186,218,356,409,179,303,0,1.2,0.8,-1.2,7,77,7,1,83,Matches
53,David Ayala,ar ARG,MF,Estudiantes–LP,18,2002,4.0,133,174,76.4,2394,742,53,64,56,65,16,26,0,0.1,0.0,-0.1,2,15,1,0,20,Matches
54,Jaime Ayoví,ec ECU,FW,Estudiantes–LP,32,1988,6.8,86,125,68.8,1041,171,62,76,17,25,1,3,1,0.5,0.3,+0.5,2,5,0,0,5,Matches
55,Tomás Badaloni,ar ARG,FW,Godoy Cruz,20,2000,17.1,222,324,68.5,2710,306,140,184,55,76,4,8,1,1.1,0.6,-0.1,12,6,6,0,15,Matches
56,Bruno Báez,ar ARG,FW,Arsenal,20,2000,0.2,1,1,100.0,9,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
57,Franco Baldassarra,ar ARG,"MF,FW",Platense,22,1998,12.3,262,403,65.0,4432,1574,120,151,90,115,33,84,1,1.0,0.7,0.0,13,33,3,1,48,Matches
58,Guillermo Balzi,ar ARG,MF,Newell's OB,19,2001,1.6,45,67,67.2,763,271,21,30,18,22,5,12,0,0.2,0.2,-0.2,3,5,2,0,7,Matches
59,Neri Bandiera,ar ARG,"MF,DF",Patronato,31,1989,0.4,2,4,50.0,65,0,1,3,0,0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
60,Tiago Banega,ar ARG,MF,Patronato,21,1999,2.6,75,117,64.1,1246,613,38,53,26,38,7,15,0,0.2,0.1,-0.2,2,15,1,0,15,Matches
61,Nahuel Banegas,ar ARG,DF,Cen. Córdoba–SdE,24,1996,3.5,76,113,67.3,1486,717,30,41,35,45,10,21,0,0.5,0.5,-0.5,3,10,1,1,10,Matches
62,Valentin Barbero,ar ARG,"MF,FW",Banfield,20,2000,1.5,45,59,76.3,687,127,20,23,18,19,2,4,0,0.0,0.0,0.0,2,4,0,0,4,Matches
63,Valentín Barco,ar ARG,DF,Boca Juniors,16,2004,2.3,92,129,71.3,1739,874,41,46,34,43,14,30,0,0.2,0.4,-0.2,2,10,4,1,11,Matches
64,Sergio Barreto,ar ARG,DF,Independiente,21,1999,22.6,921,1103,83.5,18450,6387,250,296,575,628,89,162,0,0.1,0.1,-0.1,3,23,1,0,24,Matches
65,Lucas Barrios,py PAR,"FW,MF",Defensa y Just,36,1984,3.4,75,128,58.6,978,136,48,72,24,37,0,2,1,0.1,0.1,+0.9,1,3,1,0,4,Matches
66,Nahuel Barrios,ar ARG,"MF,FW",San Lorenzo,22,1998,5.0,142,197,72.1,2100,582,74,95,46,53,10,19,0,0.8,0.7,-0.8,10,11,5,1,28,Matches
67,Jonathan Bay,ar ARG,DF,Cen. Córdoba–SdE,27,1993,21.0,612,947,64.6,11744,5695,254,319,256,369,91,198,1,1.8,1.9,-0.8,20,49,30,22,67,Matches
68,Nicolás Bazzana,ar ARG,DF,Sarmiento,24,1996,21.5,492,664,74.1,10919,4500,120,144,279,335,89,164,0,0.0,0.4,0.0,2,38,7,0,51,Matches
69,Pablo Becker,ar ARG,MF,Aldosivi,28,1992,1.9,86,110,78.2,1401,454,46,56,34,41,5,9,0,0.2,0.2,-0.2,2,12,1,0,18,Matches
