rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Rayane Aabid,fr FRA,MF,Yeni Mal'spor,29,1992,20.6,3,0,0,12,21,0,42,11,18,,,0,Matches
2,Rayane Aabid,fr FRA,MF,Kasımpaşa,29,1992,4.7,1,0,0,4,3,0,5,2,4,,,0,Matches
3,Patrick van Aanholt,nl NED,DF,Galatasaray,30,1990,30.9,3,0,0,25,13,8,150,43,36,,,0,Matches
4,Sam Adekugbe,ca CAN,DF,Hatayspor,26,1995,32.5,9,1,1,23,23,6,95,41,24,,,0,Matches
5,Luiz Adriano,br BRA,"MF,FW",Antalyaspor,34,1987,13.4,3,0,0,18,29,5,4,3,8,,,0,Matches
6,Serhat Ahmetoğlu,,DF,Fatih Karagümrük,19,2002,1.6,0,0,0,3,1,0,5,2,2,,,0,Matches
7,Serge Aka,ci CIV,MF,Altay,26,1994,3.4,0,0,0,6,1,0,1,7,12,,,0,Matches
8,Eray Akar,,FW,Hatayspor,18,2003,0.3,0,0,0,2,1,0,1,0,0,,,0,Matches
9,Harun Akaydin,,DF,Kasımpaşa,15,2005,0.5,0,0,0,1,0,0,0,1,2,,,0,Matches
10,Samet Akaydın,tr TUR,DF,Adana Demirspor,27,1994,32.8,6,0,0,42,24,0,1,58,41,,,0,Matches
11,Emre Akbaba,tr TUR,MF,Alanyaspor,28,1992,25.0,4,0,0,29,28,6,110,10,36,,,0,Matches
12,Emre Akbaba,tr TUR,"FW,MF",Galatasaray,28,1992,0.3,0,0,0,1,0,0,4,1,1,,,0,Matches
13,Arda Akbulut,tr TUR,GK,Trabzonspor,20,2001,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches
14,Halil Akbunar,tr TUR,"MF,FW",Göztepe,27,1993,27.7,5,1,0,38,31,21,126,10,23,,,0,Matches
15,Murat Akça,tr TUR,DF,Altay,31,1990,25.1,6,0,0,35,30,1,5,50,25,,,0,Matches
16,İbrahim Akdağ,tr TUR,MF,Kayserispor,30,1991,25.0,11,0,0,59,39,0,11,29,38,,,0,Matches
17,Yunus Akgün,tr TUR,MF,Adana Demirspor,21,2000,28.8,5,0,0,15,50,6,98,8,11,,,0,Matches
18,Babajide Akintola,ng NGA,MF,Adana Demirspor,25,1996,13.3,1,1,0,16,15,4,40,7,9,,,0,Matches
19,Gökhan Akkan,tr TUR,GK,Rizespor,26,1995,26.5,0,0,0,0,4,0,0,0,1,,,0,Matches
20,Murat Akşit,tr TUR,GK,Yeni Mal'spor,19,2002,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
21,Engin Aksoy,tr TUR,MF,Hatayspor,17,2003,0.1,0,0,0,0,0,0,0,1,0,,,0,Matches
22,Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,23,1997,29.1,6,0,0,33,29,0,2,24,36,,,0,Matches
23,Kerem Aktürkoğlu,tr TUR,"MF,FW",Galatasaray,22,1998,31.8,5,0,0,22,59,4,51,21,15,,,0,Matches
24,Ufuk Akyol,de GER,MF,Antalyaspor,23,1997,2.5,0,0,0,1,1,0,4,2,4,,,0,Matches
25,Eren Albayrak,tr TUR,"DF,MF",Antalyaspor,30,1991,0.9,1,0,0,1,1,0,8,0,5,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Eren Albayrak,tr TUR,DF,Rizespor,30,1991,8.6,2,0,0,8,7,0,39,14,13,,,0,Matches
