rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Rayane Aabid,fr FRA,MF,Yeni Mal'spor,29,1992,22,21,1856,20.6,1,2,3,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Matches
2,Rayane Aabid,fr FRA,MF,Kasımpaşa,29,1992,12,5,421,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Patrick van Aanholt,nl NED,DF,Galatasaray,30,1990,35,33,2780,30.9,2,2,4,2,0,1,3,0,0.06,0.06,0.13,0.06,0.13,Matches
4,Sam Adekugbe,ca CAN,DF,Hatayspor,26,1995,34,34,2927,32.5,0,2,2,0,0,0,9,1,0.00,0.06,0.06,0.00,0.06,Matches
5,Luiz Adriano,br BRA,"MF,FW",Antalyaspor,34,1987,15,15,1202,13.4,4,2,6,4,0,0,3,0,0.30,0.15,0.45,0.30,0.45,Matches
6,Serhat Ahmetoğlu,,DF,Fatih Karagümrük,19,2002,4,1,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Serge Aka,ci CIV,MF,Altay,26,1994,7,3,310,3.4,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches
8,Eray Akar,,FW,Hatayspor,18,2003,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Harun Akaydin,,DF,Kasımpaşa,15,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Samet Akaydın,tr TUR,DF,Adana Demirspor,27,1994,33,33,2951,32.8,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches
11,Emre Akbaba,tr TUR,MF,Alanyaspor,28,1992,31,25,2246,25.0,10,4,14,10,0,0,4,0,0.40,0.16,0.56,0.40,0.56,Matches
12,Emre Akbaba,tr TUR,"FW,MF",Galatasaray,28,1992,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Arda Akbulut,tr TUR,GK,Trabzonspor,20,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Halil Akbunar,tr TUR,"MF,FW",Göztepe,27,1993,32,29,2496,27.7,4,4,8,4,0,0,5,1,0.14,0.14,0.29,0.14,0.29,Matches
15,Murat Akça,tr TUR,DF,Altay,31,1990,26,26,2255,25.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
