wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
5,Tue,2020-11-24,17:50 (15:50),Al-Taawoun,1–0,Al-Wehda,24,King Abdullah Sports City,Sultan Sanat Al Harbi,Match Report,
5,Tue,2020-11-24,19:30 (17:30),Al-Ettifaq,0–4,Al-Fateh,70,Prince Mohamed bin Fahd Stadium,Majed Mohammed Al Shamrani,Match Report,
6,Fri,2020-11-27,17:40 (15:40),Al-Shabab,2–1,Damac,25,Prince Khalid bin Sultan Stadium,Raed Ali Al Zahrani,Match Report,
6,Fri,2020-11-27,19:40 (17:40),Al-Ittihad,1–0,Al-Qadsiah,40,King Abdullah Sports City,Khalid Saleh Al Turais,Match Report,
6,Sat,2020-11-28,15:35 (13:35),Al-Ain,1–0,Al-Raed,41,King Saud Sport City Stadium,Khalid Ahmed Sahlawi,Match Report,
6,Sun,2020-11-29,15:15 (13:15),Al-Taawoun,1–1,Al-Ettifaq,25,Prince Abdullah bin Abdul Aziz Stadium,Mohammed Khaled Al Hoish,Match Report,
6,Sun,2020-11-29,18:10 (16:10),Al-Wehda,3–2,Al-Batin,30,King Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
6,Sun,2020-11-29,19:40 (17:40),Al-Ahli,2–1,Al-Faisaly,70,King Abdullah Sports City,Shukri Hussein Al Hunfush,Match Report,
6,Thu,2020-12-03,15:35 (13:35),Abha,2–1,Al-Nassr,26,Prince Sultan bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
6,Thu,2020-12-03,17:40 (15:40),Al-Hilal,3–0,Al-Fateh,50,King Fahd International Stadium,Mohammed Saif Al Harbi,Match Report,
7,Sat,2020-12-05,15:30 (13:30),Damac,4–3,Al-Ahli,30,Prince Sultan bin Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
7,Sat,2020-12-05,17:35 (15:35),Al-Batin,1–1,Al-Taawoun,,Al-Batin FC Stadium,Shukri Hussein Al Hunfush,Match Report,
7,Sat,2020-12-05,17:45 (15:45),Al-Faisaly,1–1,Al-Ain,,Al Majma'ah Sport City,Sultan Sanat Al Harbi,Match Report,
7,Sun,2020-12-06,17:25 (15:25),Al-Qadsiah,2–1,Al-Shabab,1,Prince Saud bin Jalawi Stadium,Majed Mohammed Al Shamrani,Match Report,
7,Sun,2020-12-06,19:45 (17:45),Al-Wehda,1–2,Al-Ittihad,50,King Abdul Aziz Stadium,Khalid Ahmed Sahlawi,Match Report,
7,Mon,2020-12-07,17:30 (15:30),Al-Fateh,1–3,Abha,30,Prince Abdullah bin Jalawi Stadium,Mohammed Zafar Al Qarni,Match Report,
7,Mon,2020-12-07,17:50 (15:50),Al-Raed,0–1,Al-Hilal,35,Prince Abdullah bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
7,Mon,2020-12-07,19:45 (17:45),Al-Nassr,2–2,Al-Ettifaq,25,King Fahd International Stadium,Mohammed Saif Al Harbi,Match Report,
8,Fri,2020-12-11,15:35 (13:35),Al-Ain,1–2,Al-Qadsiah,22,King Saud Sport City Stadium,Sami Ahmed Al Jurays,Match Report,
8,Fri,2020-12-11,17:50 (15:50),Al-Raed,0–2,Al-Faisaly,50,Prince Abdullah bin Abdul Aziz Stadium,Abdullah Zafer Al Shehri,Match Report,
8,Fri,2020-12-11,19:45 (17:45),Al-Shabab,1–1,Al-Ittihad,,Prince Khalid bin Sultan Stadium,Mohammed Khaled Al Hoish,Match Report,
8,Sat,2020-12-12,15:35 (13:35),Abha,0–0,Al-Taawoun,40,Prince Sultan bin Abdul Aziz Stadium,Raed Ali Al Zahrani,Match Report,
8,Sat,2020-12-12,17:25 (15:25),Al-Ettifaq,4–2,Damac,64,Prince Mohamed bin Fahd Stadium,Khalid Ahmed Sahlawi,Match Report,
8,Sat,2020-12-12,17:30 (15:30),Al-Fateh,1–2,Al-Batin,34,Prince Abdullah bin Jalawi Stadium,Ahmed Mohammed Al Rumaikhani,Match Report,
8,Sat,2020-12-12,19:45 (17:45),Al-Nassr,1–2,Al-Ahli,41,King Fahd International Stadium,Turki Mohammed Al Khudayr,Match Report,
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Sun,2020-12-13,19:45 (17:45),Al-Hilal,1–2,Al-Wehda,,King Fahd International Stadium,Majed Mohammed Al Shamrani,Match Report,
9,Mon,2020-12-21,15:10 (13:10),Al-Batin,1–2,Al-Nassr,50,Al-Batin FC Stadium,Sultan Sanat Al Harbi,Match Report,
9,Mon,2020-12-21,17:30 (15:30),Al-Qadsiah,1–3,Al-Hilal,1,Prince Saud bin Jalawi Stadium,Shukri Hussein Al Hunfush,Match Report,
9,Mon,2020-12-21,17:55 (15:55),Al-Taawoun,4–0,Al-Shabab,,Prince Abdullah bin Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
9,Mon,2020-12-21,19:50 (17:50),Al-Ittihad,0–0,Al-Raed,50,King Abdullah Sports City,Mohammed Zafar Al Qarni,Match Report,
9,Tue,2020-12-22,15:40 (13:40),Damac,2–1,Abha,60,Prince Sultan bin Abdul Aziz Stadium,Khalid Saleh Al Turais,Match Report,
9,Tue,2020-12-22,17:50 (15:50),Al-Faisaly,0–3,Al-Ettifaq,50,Al Majma'ah Sport City,Turki Mohammed Al Khudayr,Match Report,
9,Tue,2020-12-22,18:20 (16:20),Al-Wehda,2–1,Al-Ain,68,King Abdul Aziz Stadium,Khaled Suleiman Al Juhani,Match Report,
9,Tue,2020-12-22,19:50 (17:50),Al-Ahli,1–0,Al-Fateh,30,King Abdullah Sports City Reserve Stadiu...,Khalid Ahmed Sahlawi,Match Report,
10,Sat,2020-12-26,15:15 (13:15),Al-Shabab,3–1,Al-Batin,50,Prince Khalid bin Sultan Stadium,Turki Mohammed Al Khudayr,Match Report,
