rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,22,1998,7,1,119,1.3,1,0,1,1,0,0,1,0,0.76,0.00,0.76,0.76,0.76,Matches
2,Saleh Al Abbas,sa KSA,"MF,FW",Al-Batin,26,1993,15,4,568,6.3,4,1,5,4,0,0,0,0,0.63,0.16,0.79,0.63,0.79,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hilal,20,2000,3,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Faris Abdi,sa KSA,DF,Al-Qadsiah,21,1999,10,2,204,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,23,1996,24,8,793,8.8,4,2,6,4,0,0,2,0,0.45,0.23,0.68,0.45,0.68,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,21,1999,28,28,2444,27.2,1,4,5,1,0,0,2,1,0.04,0.15,0.18,0.04,0.18,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6,6,540,6.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,30,1990,19,5,636,7.1,2,2,4,2,0,0,5,0,0.28,0.28,0.57,0.28,0.57,Matches
9,Hassan Abo Shararah,sa KSA,"MF,FW",Al-Qadsiah,23,1997,11,5,412,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,29,1991,14,6,625,6.9,2,1,3,2,0,0,3,0,0.29,0.14,0.43,0.29,0.43,Matches
11,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,25,1995,23,14,1218,13.5,3,1,4,3,0,0,5,1,0.22,0.07,0.30,0.22,0.30,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,30,1990,24,15,1363,15.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Fábio Abreu,ao ANG,FW,Al-Batin,27,1993,28,28,2504,27.8,17,2,19,15,2,3,2,0,0.61,0.07,0.68,0.54,0.61,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Nassr,19,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Talal Al-Absi,sa KSA,DF,Al-Ahli,27,1993,3,2,184,2.0,1,0,1,1,0,0,1,0,0.49,0.00,0.49,0.49,0.49,Matches
16,Abdulfattah Adam,sa KSA,FW,Al-Nassr,25,1995,2,1,116,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Raed,25,1995,3,0,29,0.3,1,0,1,1,0,0,0,0,3.10,0.00,3.10,3.10,3.10,Matches
18,Muath Adnan Afaneh,jo JOR,"FW,MF",Abha,,,8,3,315,3.5,2,0,2,2,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches
19,Waleed Al Ahmad,sa KSA,DF,Al-Faisaly,21,1999,15,10,948,10.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,35,1985,24,22,1987,22.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,5,3,226,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Abdulaziz Al Alawi,sa KSA,DF,Al-Nassr,22,1998,4,2,157,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Hassan Al Ali,sa KSA,FW,Al-Ahli,18,2002,3,0,62,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Mukhtar Ali,sa KSA,MF,Al-Nassr,22,1997,5,4,236,2.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Shaye Ali Sharahili,sa KSA,MF,Al-Faisaly,30,1990,2,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Thamer Al Ali,sa KSA,FW,Al-Wehda,21,1998,2,0,31,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Abdulmajed Alzahrani,sa KSA,MF,Al-Ittihad,21,1999,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
28,Romain Amalfitano,fr FRA,MF,Al-Faisaly,30,1989,23,21,1902,21.1,1,3,4,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,Matches
29,Cédric Amissi,bi BDI,MF,Al-Taawoun,30,1990,26,24,2176,24.2,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
30,Abdullah Al-Ammar,sa KSA,"DF,MF",Damac,26,1994,24,18,1480,16.4,2,2,4,2,0,0,2,0,0.12,0.12,0.24,0.12,0.24,Matches
31,Turki Al Ammar,sa KSA,"MF,DF",Al-Shabab,20,1999,26,7,1086,12.1,4,2,6,4,0,0,3,1,0.33,0.17,0.50,0.33,0.50,Matches
32,Sari Amr,sa KSA,DF,Abha,30,1989,24,24,2154,23.9,0,3,3,0,0,0,9,0,0.00,0.13,0.13,0.00,0.13,Matches
33,Nordin Amrabat,ma MAR,"MF,FW",Al-Nassr,33,1987,25,22,1883,20.9,6,2,8,4,2,4,8,1,0.29,0.10,0.38,0.19,0.29,Matches
34,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,23,1997,22,20,1865,20.7,3,2,5,3,0,0,4,0,0.14,0.10,0.24,0.14,0.24,Matches
35,Hassan Al-Amri,sa KSA,MF,Al-Qadsiah,26,1994,27,26,2246,25.0,12,5,17,5,7,8,7,0,0.48,0.20,0.68,0.20,0.40,Matches
36,Mohammed Al-Amri,sa KSA,DF,Al-Wehda,28,1991,9,7,550,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
37,Saleh Al-Amri,sa KSA,"MF,FW",Abha,26,1993,30,30,2593,28.8,4,7,11,3,1,1,3,0,0.14,0.24,0.38,0.10,0.35,Matches
38,Rakan Al Anaze,sa KSA,"MF,FW",Al-Batin,22,1998,15,7,713,7.9,2,0,2,2,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
39,Carolus Andriamatsinoro,mg MAD,"FW,MF",Al-Qadsiah,31,1989,28,21,1831,20.3,7,0,7,7,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches
40,Domagoj Antolić,hr CRO,MF,Damac,30,1990,17,16,1470,16.3,3,6,9,0,3,3,3,0,0.18,0.37,0.55,0.00,0.37,Matches
41,Karim Aouadhi,tn TUN,MF,Abha,34,1986,23,22,2024,22.5,3,0,3,3,0,1,5,0,0.13,0.00,0.13,0.13,0.13,Matches
42,Giedrius Arlauskis,lt LTU,GK,Al-Shabab,32,1987,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Abdulaziz Asiri,sa KSA,DF,Damac,21,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Abdulfattah Asiri,sa KSA,MF,Al-Nassr,26,1994,7,2,277,3.1,1,0,1,1,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
45,Jaber Asiri,sa KSA,FW,Al-Wehda,22,1997,5,1,118,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Ali Al Asmari,sa KSA,MF,Al-Ahli,23,1997,25,14,1264,14.0,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
47,Hassan Al Asmari,sa KSA,DF,Al-Ittihad,17,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Ahmed Assiri,sa KSA,DF,Al-Taawoun,28,1991,18,18,1574,17.5,2,0,2,2,0,0,6,0,0.11,0.00,0.11,0.11,0.11,Matches
49,Muhannad Assiri,sa KSA,"FW,MF",Al-Ahli,33,1986,4,0,52,0.6,1,0,1,1,0,0,0,0,1.73,0.00,1.73,1.73,1.73,Matches
50,Amine Atouchi,ma MAR,DF,Abha,28,1992,24,24,2160,24.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Mohammed Attiah,sa KSA,MF,Damac,28,1991,14,5,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Walid Azaro,ma MAR,FW,Al-Ettifaq,24,1995,25,21,1955,21.7,9,1,10,9,0,0,3,1,0.41,0.05,0.46,0.41,0.46,Matches
53,Nawaf Al-Azizi,sa KSA,MF,Al-Qadsiah,20,1999,9,0,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Hattan Bahebri,sa KSA,MF,Al-Hilal,28,1992,12,2,270,3.0,0,1,1,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,Matches
55,Basil Al Bahrani,sa KSA,GK,Al-Fateh,25,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Ahmed Bahusayn,sa KSA,MF,Al-Ittihad,19,2001,2,0,17,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Jamal Bajandouh,sa KSA,MF,Al-Shabab,27,1992,11,5,426,4.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
58,Yazeid Al Bakr,sa KSA,DF,Al-Ahli,24,1995,8,6,585,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Waleed Bakshween,sa KSA,MF,Al-Wehda,30,1989,24,23,1966,21.8,0,1,1,0,0,0,10,0,0.00,0.05,0.05,0.00,0.05,Matches
60,Ageel Balghaith,sa KSA,"DF,MF",Al-Raed,33,1987,18,12,895,9.9,1,0,1,1,0,0,3,0,0.10,0.00,0.10,0.10,0.10,Matches
61,Éver Banega,ar ARG,MF,Al-Shabab,32,1988,27,27,2326,25.8,7,11,18,1,6,7,8,1,0.27,0.43,0.70,0.04,0.46,Matches
62,Abdulrahman Al-Barakah,sa KSA,MF,Abha,29,1990,23,16,1335,14.8,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches
63,Karam Barnawi,sa KSA,DF,Abha,33,1987,18,14,1242,13.8,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches
64,Yassin Barnawi,sa KSA,DF,Al-Taawoun,26,1993,25,18,1717,19.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
65,Mustafa Bassas,sa KSA,"FW,MF",Al-Faisaly,27,1993,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Bastos,ao ANG,DF,Al-Ain,29,1991,22,22,1933,21.5,2,0,2,2,0,0,5,0,0.09,0.00,0.09,0.09,0.09,Matches
67,Mourad Batna,ma MAR,MF,Al-Fateh,30,1990,26,25,2145,23.8,6,6,12,4,2,2,4,0,0.25,0.25,0.50,0.17,0.42,Matches
68,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,23,1997,22,22,1980,22.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Sofiane Bendebka,dz ALG,MF,Al-Fateh,27,1992,27,27,2372,26.4,9,3,12,6,3,4,1,1,0.34,0.11,0.46,0.23,0.34,Matches
70,Karim El Berkaoui,ma MAR,FW,Al-Raed,24,1995,25,20,1613,17.9,15,0,15,10,5,5,3,0,0.84,0.00,0.84,0.56,0.56,Matches
71,Mansor Al Beshe,sa KSA,MF,Al-Raed,20,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Saad Bguir,tn TUN,MF,Abha,26,1994,23,21,1802,20.0,8,8,16,6,2,2,4,0,0.40,0.40,0.80,0.30,0.70,Matches
73,Fahad bin Jumayah,sa KSA,"DF,MF",Abha,25,1995,22,10,922,10.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Mohammed bin Nukhaylan,sa KSA,DF,Al-Faisaly,18,2002,2,1,91,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Saud bin Zaydan,sa KSA,MF,Abha,20,1999,11,6,591,6.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
