rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
42,Giedrius Arlauskis,lt LTU,GK,Al-Shabab,32,1987,8.0,0,0,0,,0.00,0.00,,,,0,0,Matches
43,Abdulaziz Asiri,sa KSA,DF,Damac,21,1998,0.5,0,0,0,,0.00,0.00,,,,0,0,Matches
44,Abdulfattah Asiri,sa KSA,MF,Al-Nassr,26,1994,3.1,1,8,1,12.5,2.60,0.32,0.13,1.00,,0,0,Matches
45,Jaber Asiri,sa KSA,FW,Al-Wehda,22,1997,1.3,0,0,0,,0.00,0.00,,,,0,0,Matches
46,Ali Al Asmari,sa KSA,MF,Al-Ahli,23,1997,14.0,0,17,3,17.6,1.21,0.21,0.00,0.00,,0,0,Matches
47,Hassan Al Asmari,sa KSA,DF,Al-Ittihad,17,2002,1.0,0,1,0,0.0,1.00,0.00,0.00,,,0,0,Matches
48,Ahmed Assiri,sa KSA,DF,Al-Taawoun,28,1991,17.5,2,10,2,20.0,0.57,0.11,0.20,1.00,,0,0,Matches
49,Muhannad Assiri,sa KSA,"FW,MF",Al-Ahli,33,1986,0.6,1,2,2,100.0,3.46,3.46,0.50,0.50,,0,0,Matches
50,Amine Atouchi,ma MAR,DF,Abha,28,1992,24.0,0,19,3,15.8,0.79,0.12,0.00,0.00,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
51,Mohammed Attiah,sa KSA,MF,Damac,28,1991,5.7,0,8,1,12.5,1.39,0.17,0.00,0.00,,0,0,Matches
52,Walid Azaro,ma MAR,FW,Al-Ettifaq,24,1995,21.7,9,61,24,39.3,2.81,1.10,0.15,0.38,,0,0,Matches
53,Nawaf Al-Azizi,sa KSA,MF,Al-Qadsiah,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
54,Hattan Bahebri,sa KSA,MF,Al-Hilal,28,1992,3.0,0,11,5,45.5,3.67,1.67,0.00,0.00,,0,0,Matches
55,Basil Al Bahrani,sa KSA,GK,Al-Fateh,25,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
56,Ahmed Bahusayn,sa KSA,MF,Al-Ittihad,19,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,Matches
57,Jamal Bajandouh,sa KSA,MF,Al-Shabab,27,1992,4.7,0,5,1,20.0,1.06,0.21,0.00,0.00,,0,0,Matches
58,Yazeid Al Bakr,sa KSA,DF,Al-Ahli,24,1995,6.5,0,4,0,0.0,0.62,0.00,0.00,,,0,0,Matches
59,Waleed Bakshween,sa KSA,MF,Al-Wehda,30,1989,21.8,0,14,3,21.4,0.64,0.14,0.00,0.00,,0,0,Matches
60,Ageel Balghaith,sa KSA,"DF,MF",Al-Raed,33,1987,9.9,1,3,2,66.7,0.30,0.20,0.33,0.50,,0,0,Matches
61,Éver Banega,ar ARG,MF,Al-Shabab,32,1988,25.8,7,60,23,38.3,2.32,0.89,0.02,0.04,,6,7,Matches
62,Abdulrahman Al-Barakah,sa KSA,MF,Abha,29,1990,14.8,1,7,4,57.1,0.47,0.27,0.14,0.25,,0,0,Matches
63,Karam Barnawi,sa KSA,DF,Abha,33,1987,13.8,0,0,0,,0.00,0.00,,,,0,0,Matches
64,Yassin Barnawi,sa KSA,DF,Al-Taawoun,26,1993,19.1,0,2,0,0.0,0.10,0.00,0.00,,,0,0,Matches
65,Mustafa Bassas,sa KSA,"FW,MF",Al-Faisaly,27,1993,0.4,0,1,0,0.0,2.65,0.00,0.00,,,0,0,Matches
66,Bastos,ao ANG,DF,Al-Ain,29,1991,21.5,2,10,5,50.0,0.47,0.23,0.20,0.40,,0,0,Matches
67,Mourad Batna,ma MAR,MF,Al-Fateh,30,1990,23.8,6,75,22,29.3,3.15,0.92,0.05,0.18,,2,2,Matches
68,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,23,1997,22.0,0,0,0,,0.00,0.00,,,,0,0,Matches
69,Sofiane Bendebka,dz ALG,MF,Al-Fateh,27,1992,26.4,9,52,22,42.3,1.97,0.83,0.12,0.27,,3,4,Matches
70,Karim El Berkaoui,ma MAR,FW,Al-Raed,24,1995,17.9,15,70,32,45.7,3.91,1.79,0.14,0.31,,5,5,Matches
71,Mansor Al Beshe,sa KSA,MF,Al-Raed,20,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,Matches
72,Saad Bguir,tn TUN,MF,Abha,26,1994,20.0,8,47,19,40.4,2.35,0.95,0.13,0.32,,2,2,Matches
73,Fahad bin Jumayah,sa KSA,"DF,MF",Abha,25,1995,10.2,0,12,7,58.3,1.17,0.68,0.00,0.00,,0,0,Matches
74,Mohammed bin Nukhaylan,sa KSA,DF,Al-Faisaly,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
75,Saud bin Zaydan,sa KSA,MF,Abha,20,1999,6.6,0,4,0,0.0,0.61,0.00,0.00,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
76,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,26,1994,20.2,1,33,6,18.2,1.63,0.30,0.03,0.17,,0,0,Matches
77,Abdullah Al-Bladi,sa KSA,FW,Al-Fateh,26,1993,0.9,0,1,1,100.0,1.10,1.10,0.00,0.00,,0,0,Matches
78,Rayan Al Bloushi,sa KSA,FW,Al-Ettifaq,19,2001,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
79,Ameen Bokhari,sa KSA,GK,Al-Ain,23,1997,19.7,0,0,0,,0.00,0.00,,,,0,0,Matches
80,Mihai Bordeianu,ro ROU,MF,Al-Qadsiah,28,1991,11.3,0,21,3,14.3,1.86,0.27,0.00,0.00,,0,0,Matches
81,Alberto Botía,es ESP,DF,Al-Wehda,31,1989,18.7,0,5,1,20.0,0.27,0.05,0.00,0.00,,0,0,Matches
82,Nawaf Boushal,sa KSA,DF,Al-Fateh,20,1999,27.1,2,9,2,22.2,0.33,0.07,0.22,1.00,,0,0,Matches
83,Filip Bradarić,hr CRO,MF,Al-Ain,28,1992,22.7,1,26,7,26.9,1.14,0.31,0.04,0.14,,0,0,Matches
84,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,27,1992,23.8,0,11,3,27.3,0.46,0.13,0.00,0.00,,0,0,Matches
