rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Taawoun,22,1998,1.3,1,0,0,4,3,2,0,0,1,,,0,Matches
2,Saleh Al Abbas,sa KSA,"MF,FW",Al-Batin,26,1993,6.3,0,0,0,15,10,2,1,3,3,,,0,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hilal,20,2000,0.3,0,0,0,3,2,0,3,2,1,,,0,Matches
4,Faris Abdi,sa KSA,DF,Al-Qadsiah,21,1999,2.3,1,0,0,8,0,0,4,3,3,,,0,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Wehda,23,1996,8.8,2,0,0,17,22,3,4,0,8,,,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,21,1999,27.2,2,1,0,40,49,0,88,35,30,,,0,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,34,1986,6.0,4,0,0,1,0,0,0,0,1,,,0,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,30,1990,7.1,5,0,0,12,12,1,32,3,5,,,0,Matches
9,Hassan Abo Shararah,sa KSA,"MF,FW",Al-Qadsiah,23,1997,4.6,1,0,0,15,11,0,6,1,6,,,0,Matches
10,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,29,1991,6.9,3,0,0,13,19,2,31,3,7,,,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,25,1995,13.5,5,1,1,21,31,1,38,12,13,,,0,Matches
12,Mohammed Abousaban,sa KSA,MF,Al-Taawoun,30,1990,15.1,8,0,0,39,9,0,0,31,18,,,0,Matches
13,Fábio Abreu,ao ANG,FW,Al-Batin,27,1993,27.8,2,0,0,38,72,8,11,6,4,,,0,Matches
14,Khalil Al Absi,sa KSA,FW,Al-Nassr,19,2001,0.0,0,0,0,2,0,0,0,0,0,,,0,Matches
15,Talal Al-Absi,sa KSA,DF,Al-Ahli,27,1993,2.0,1,0,0,5,4,0,0,5,3,,,0,Matches
16,Abdulfattah Adam,sa KSA,FW,Al-Nassr,25,1995,1.3,1,0,0,2,2,0,0,0,0,,,0,Matches
17,Abdulfattah Adam,sa KSA,FW,Al-Raed,25,1995,0.3,0,0,0,1,1,0,0,0,0,,,0,Matches
18,Muath Adnan Afaneh,jo JOR,"FW,MF",Abha,,,3.5,0,0,0,12,8,2,0,1,4,,,0,Matches
19,Waleed Al Ahmad,sa KSA,DF,Al-Faisaly,21,1999,10.5,3,0,0,18,14,0,1,24,12,,,0,Matches
20,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,35,1985,22.1,8,0,0,59,12,0,1,28,48,,,0,Matches
21,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,2.5,1,0,0,3,6,0,3,3,4,,,0,Matches
22,Abdulaziz Al Alawi,sa KSA,DF,Al-Nassr,22,1998,1.7,1,0,0,2,3,0,5,2,2,,,0,Matches
23,Hassan Al Ali,sa KSA,FW,Al-Ahli,18,2002,0.7,1,0,0,2,1,2,0,0,2,,,0,Matches
24,Mukhtar Ali,sa KSA,MF,Al-Nassr,22,1997,2.6,1,0,0,3,0,0,2,4,3,,,0,Matches
25,Shaye Ali Sharahili,sa KSA,MF,Al-Faisaly,30,1990,0.5,0,0,0,2,1,0,3,1,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Thamer Al Ali,sa KSA,FW,Al-Wehda,21,1998,0.3,0,0,0,1,0,1,1,1,0,,,0,Matches
27,Abdulmajed Alzahrani,sa KSA,MF,Al-Ittihad,21,1999,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
28,Romain Amalfitano,fr FRA,MF,Al-Faisaly,30,1989,21.1,2,0,0,23,43,3,29,15,17,,,0,Matches
29,Cédric Amissi,bi BDI,MF,Al-Taawoun,30,1990,24.2,7,0,0,41,27,5,36,24,19,,,0,Matches
30,Abdullah Al-Ammar,sa KSA,"DF,MF",Damac,26,1994,16.4,2,0,0,17,0,0,35,35,9,,,0,Matches
31,Turki Al Ammar,sa KSA,"MF,DF",Al-Shabab,20,1999,12.1,3,1,1,25,18,4,40,12,10,,,0,Matches
32,Sari Amr,sa KSA,DF,Abha,30,1989,23.9,9,0,0,47,15,1,61,44,39,,,0,Matches
33,Nordin Amrabat,ma MAR,"MF,FW",Al-Nassr,33,1987,20.9,8,1,1,59,36,8,161,10,11,,,0,Matches
34,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,23,1997,20.7,4,0,0,26,19,2,5,32,14,,,0,Matches
35,Hassan Al-Amri,sa KSA,MF,Al-Qadsiah,26,1994,25.0,7,0,0,40,84,2,108,18,30,,,0,Matches
36,Mohammed Al-Amri,sa KSA,DF,Al-Wehda,28,1991,6.1,0,0,0,10,14,1,15,8,8,,,0,Matches
37,Saleh Al-Amri,sa KSA,"MF,FW",Abha,26,1993,28.8,3,0,0,29,74,5,124,34,34,,,0,Matches
38,Rakan Al Anaze,sa KSA,"MF,FW",Al-Batin,22,1998,7.9,1,0,0,17,11,0,12,8,9,,,0,Matches
39,Carolus Andriamatsinoro,mg MAD,"FW,MF",Al-Qadsiah,31,1989,20.3,2,0,0,31,30,8,18,6,6,,,0,Matches
40,Domagoj Antolić,hr CRO,MF,Damac,30,1990,16.3,3,0,0,15,11,0,87,20,12,,,0,Matches
41,Karim Aouadhi,tn TUN,MF,Abha,34,1986,22.5,5,0,0,50,54,5,9,49,34,,,0,Matches
42,Giedrius Arlauskis,lt LTU,GK,Al-Shabab,32,1987,8.0,1,0,0,0,1,0,0,0,0,,,0,Matches
43,Abdulaziz Asiri,sa KSA,DF,Damac,21,1998,0.5,0,0,0,1,1,0,2,2,2,,,0,Matches
44,Abdulfattah Asiri,sa KSA,MF,Al-Nassr,26,1994,3.1,0,0,0,4,7,0,21,0,2,,,0,Matches
45,Jaber Asiri,sa KSA,FW,Al-Wehda,22,1997,1.3,0,0,0,2,2,1,1,0,1,,,0,Matches
46,Ali Al Asmari,sa KSA,MF,Al-Ahli,23,1997,14.0,5,0,0,17,18,0,27,26,20,,,0,Matches
47,Hassan Al Asmari,sa KSA,DF,Al-Ittihad,17,2002,1.0,0,0,0,2,0,0,0,1,2,,,0,Matches
48,Ahmed Assiri,sa KSA,DF,Al-Taawoun,28,1991,17.5,6,0,0,7,6,2,0,23,11,,,0,Matches
49,Muhannad Assiri,sa KSA,"FW,MF",Al-Ahli,33,1986,0.6,0,0,0,1,1,2,0,0,0,,,0,Matches
50,Amine Atouchi,ma MAR,DF,Abha,28,1992,24.0,6,0,0,15,10,1,6,40,22,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Mohammed Attiah,sa KSA,MF,Damac,28,1991,5.7,0,0,0,4,15,0,7,6,5,,,0,Matches
52,Walid Azaro,ma MAR,FW,Al-Ettifaq,24,1995,21.7,3,1,0,49,41,20,22,8,9,,,0,Matches
53,Nawaf Al-Azizi,sa KSA,MF,Al-Qadsiah,20,1999,1.0,0,0,0,3,1,0,1,2,0,,,0,Matches
54,Hattan Bahebri,sa KSA,MF,Al-Hilal,28,1992,3.0,2,0,0,5,2,1,9,1,9,,,0,Matches
55,Basil Al Bahrani,sa KSA,GK,Al-Fateh,25,1995,1.0,0,0,0,0,3,0,0,0,0,,,0,Matches
56,Ahmed Bahusayn,sa KSA,MF,Al-Ittihad,19,2001,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
57,Jamal Bajandouh,sa KSA,MF,Al-Shabab,27,1992,4.7,3,0,0,8,4,0,1,16,6,,,0,Matches
58,Yazeid Al Bakr,sa KSA,DF,Al-Ahli,24,1995,6.5,0,0,0,8,3,0,12,16,12,,,0,Matches
59,Waleed Bakshween,sa KSA,MF,Al-Wehda,30,1989,21.8,10,0,0,40,28,3,12,24,22,,,0,Matches
60,Ageel Balghaith,sa KSA,"DF,MF",Al-Raed,33,1987,9.9,3,0,0,6,4,2,13,22,8,,,1,Matches
61,Éver Banega,ar ARG,MF,Al-Shabab,32,1988,25.8,8,1,0,27,55,1,157,7,16,,,0,Matches
62,Abdulrahman Al-Barakah,sa KSA,MF,Abha,29,1990,14.8,2,0,0,27,8,0,10,11,13,,,0,Matches
63,Karam Barnawi,sa KSA,DF,Abha,33,1987,13.8,3,0,0,18,14,0,17,23,9,,,0,Matches
64,Yassin Barnawi,sa KSA,DF,Al-Taawoun,26,1993,19.1,2,0,0,26,35,0,52,20,30,,,0,Matches
65,Mustafa Bassas,sa KSA,"FW,MF",Al-Faisaly,27,1993,0.4,0,0,0,1,1,0,2,0,1,,,0,Matches
66,Bastos,ao ANG,DF,Al-Ain,29,1991,21.5,5,0,0,34,21,3,0,36,18,,,0,Matches
67,Mourad Batna,ma MAR,MF,Al-Fateh,30,1990,23.8,4,0,0,37,63,14,102,22,18,,,0,Matches
68,Zaid Al Bawardi,sa KSA,GK,Al-Shabab,23,1997,22.0,3,0,0,0,0,0,0,4,0,,,0,Matches
69,Sofiane Bendebka,dz ALG,MF,Al-Fateh,27,1992,26.4,1,1,0,46,61,6,19,34,26,,,0,Matches
70,Karim El Berkaoui,ma MAR,FW,Al-Raed,24,1995,17.9,3,0,0,14,44,17,20,6,5,,,0,Matches
71,Mansor Al Beshe,sa KSA,MF,Al-Raed,20,2000,0.3,0,0,0,0,0,0,5,1,0,,,0,Matches
72,Saad Bguir,tn TUN,MF,Abha,26,1994,20.0,4,0,0,12,28,1,129,10,9,,,0,Matches
73,Fahad bin Jumayah,sa KSA,"DF,MF",Abha,25,1995,10.2,5,0,0,26,25,1,45,15,20,,,0,Matches
74,Mohammed bin Nukhaylan,sa KSA,DF,Al-Faisaly,18,2002,1.0,1,0,0,1,0,0,1,2,1,,,0,Matches
75,Saud bin Zaydan,sa KSA,MF,Abha,20,1999,6.6,3,0,0,16,9,0,3,14,22,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,26,1994,20.2,4,0,0,19,56,3,52,9,17,,,0,Matches
77,Abdullah Al-Bladi,sa KSA,FW,Al-Fateh,26,1993,0.9,0,0,0,2,2,0,0,2,0,,,0,Matches
78,Rayan Al Bloushi,sa KSA,FW,Al-Ettifaq,19,2001,0.0,0,0,0,1,1,0,0,0,1,,,0,Matches
79,Ameen Bokhari,sa KSA,GK,Al-Ain,23,1997,19.7,2,0,0,0,9,0,0,0,1,,,0,Matches
80,Mihai Bordeianu,ro ROU,MF,Al-Qadsiah,28,1991,11.3,2,0,0,21,15,0,49,13,8,,,0,Matches
81,Alberto Botía,es ESP,DF,Al-Wehda,31,1989,18.7,8,1,0,26,3,1,1,22,20,,,0,Matches
82,Nawaf Boushal,sa KSA,DF,Al-Fateh,20,1999,27.1,7,0,0,44,39,2,56,65,45,,,0,Matches
83,Filip Bradarić,hr CRO,MF,Al-Ain,28,1992,22.7,6,0,0,33,21,3,24,36,15,,,0,Matches
84,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,27,1992,23.8,2,0,0,41,38,4,117,30,26,,,0,Matches
85,Tawfiq Bu Haymid,sa KSA,DF,Al-Fateh,32,1987,25.3,6,0,0,54,21,4,92,38,40,,,0,Matches
86,Constantin Budescu,ro ROU,"MF,FW",Damac,31,1989,9.3,0,0,0,13,7,2,78,3,3,,,0,Matches
87,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,30,1989,15.3,4,1,0,22,6,0,1,23,4,,,0,Matches
88,Firas Al-Buraikan,sa KSA,FW,Al-Nassr,20,2000,5.1,2,0,0,9,8,3,0,4,2,,,0,Matches
89,Abdulelah Al Burayh,sa KSA,MF,Damac,23,1997,0.7,0,0,0,1,1,0,3,1,4,,,0,Matches
90,Haroune Camara,sa KSA,FW,Al-Ittihad,22,1998,4.9,2,0,0,20,8,2,0,1,3,,,0,Matches
91,Martín Campaña,uy URU,GK,Al-Batin,31,1989,27.0,5,0,0,1,6,0,0,6,4,,,0,Matches
92,André Carrillo,pe PER,MF,Al-Hilal,29,1991,22.9,3,0,0,39,10,7,143,18,12,,,0,Matches
93,Cássio,pt POR,GK,Al-Taawoun,39,1980,28.0,1,0,0,2,1,0,0,1,1,,,1,Matches
94,Farouk Chafaï,dz ALG,DF,Damac,30,1990,29.0,5,0,0,24,29,2,3,59,27,,,0,Matches
95,Renato Chaves,br BRA,DF,Al-Batin,30,1990,23.0,8,0,0,30,24,3,4,47,19,,,0,Matches
96,Ibrahim Chenihi,dz ALG,MF,Damac,30,1990,6.9,0,1,0,5,15,6,37,0,2,,,0,Matches
97,Gustavo Cuellar,co COL,MF,Al-Hilal,27,1992,22.4,4,0,0,35,23,1,12,32,31,,,0,Matches
98,Christian Cueva,pe PER,MF,Al-Fateh,28,1991,11.7,2,0,0,12,19,1,53,6,7,,,0,Matches
99,Ammar Al-Daheem,sa KSA,DF,Al-Fateh,26,1993,22.9,6,0,0,39,20,0,1,41,26,,,1,Matches
100,Abdulaziz Damdam,sa KSA,MF,Al-Batin,25,1995,2.3,0,0,0,10,8,1,0,4,8,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Jalal Daoudi,ma MAR,MF,Al-Raed,31,1988,9.7,4,0,0,28,16,2,58,4,5,,,0,Matches
102,Faisel Darwish,sa KSA,"MF,DF",Al-Taawoun,29,1991,4.3,1,0,0,2,3,0,24,10,3,,,0,Matches
103,Abdullaziz Al-Dawsari,sa KSA,MF,Al-Nassr,31,1988,0.8,0,0,0,1,0,0,1,1,1,,,0,Matches
104,Khalifah Al Dawsari,sa KSA,DF,Al-Qadsiah,21,1999,22.8,6,1,1,32,19,2,9,29,31,,,0,Matches
105,Nasser Al-Dawsari,sa KSA,MF,Al-Hilal,21,1998,6.7,6,0,0,18,1,0,35,7,8,,,0,Matches
106,Salem Al-Dawsari,sa KSA,MF,Al-Hilal,28,1991,20.3,3,0,0,21,47,5,62,14,30,,,0,Matches
107,Mohammed Al-Dhafiri,sa KSA,FW,Al-Batin,,,0.4,1,0,0,0,0,0,1,1,0,,,0,Matches
108,Mohammed Sayed Al-Dhaw,sa KSA,"FW,MF",Al-Fateh,26,1993,0.4,0,0,0,2,2,0,1,0,0,,,0,Matches
109,Khalid Dighriri,sa KSA,DF,Al-Faisaly,18,2001,6.7,3,0,0,18,11,1,6,17,15,,,0,Matches
110,Makhete Diop,sn SEN,FW,Al-Shabab,33,1987,6.9,2,0,0,7,12,6,4,1,0,,,0,Matches
111,Arnaud Djoum,cm CMR,MF,Al-Raed,31,1989,23.8,10,1,1,52,20,2,12,19,24,,,0,Matches
112,Abdurahman Al-Dossari,sa KSA,MF,Al-Nassr,22,1997,1.2,0,1,0,1,2,0,0,2,0,,,0,Matches
113,Fahad Al Dossari,sa KSA,MF,Al-Ettifaq,18,2002,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches
114,Mohammed Al Dossary,sa KSA,"MF,DF",Al-Raed,21,1999,13.3,4,0,0,17,15,0,42,18,24,,,0,Matches
115,Souleymane Doukara,mr MTN,"FW,MF",Al-Ettifaq,28,1991,23.2,2,0,0,32,56,2,36,11,13,,,0,Matches
116,Azzedine Doukha,dz ALG,GK,Al-Raed,33,1986,25.0,1,0,0,0,5,0,1,0,0,,,0,Matches
117,Khalid Dubaysh,sa KSA,DF,Al-Shabab,21,1998,1.1,1,0,0,3,1,0,0,2,1,,,0,Matches
118,Mitchell Duke,au AUS,"MF,FW",Al-Taawoun,29,1991,8.7,1,0,0,13,16,3,16,8,5,,,0,Matches
119,Edson,br BRA,MF,Al-Qadsiah,29,1991,20.8,6,0,0,25,25,1,2,45,26,,,0,Matches
120,Hussain Al Essa,sa KSA,MF,Al-Wehda,19,2000,15.3,3,0,0,19,42,1,20,13,19,,,0,Matches
121,Jaber Essa,sa KSA,MF,Al-Raed,23,1997,3.6,4,0,0,15,3,0,1,6,5,,,0,Matches
122,Abdullah Al-Fahad,sa KSA,DF,Al-Raed,26,1994,27.9,7,0,0,33,25,0,2,62,34,,,0,Matches
123,Sultan Fahran,sa KSA,MF,Al-Raed,23,1996,26.6,4,0,0,27,18,0,3,45,29,,,0,Matches
124,Hicham Faik,nl NED,MF,Al-Faisaly,28,1992,26.5,3,0,0,26,11,0,49,37,36,,,0,Matches
125,Hamed Falatah,sa KSA,MF,Al-Faisaly,27,1992,0.5,1,0,0,3,1,0,1,1,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Abdulmohsen Fallatah,sa KSA,DF,Al-Ittihad,26,1994,1.9,0,0,0,1,1,0,0,1,0,,,0,Matches
127,Fawaz Fallatah,sa KSA,DF,Al-Raed,31,1989,0.7,2,1,1,2,0,0,0,0,0,,,0,Matches
128,Muhannad Fallatah,sa KSA,MF,Damac,24,1996,2.4,1,0,0,3,1,1,1,2,2,,,0,Matches
129,Salman Al-Faraj,sa KSA,MF,Al-Hilal,30,1989,13.6,2,0,0,18,20,1,31,19,16,,,0,Matches
130,Nawaf Al Farshan,sa KSA,"DF,MF",Al-Ain,22,1998,2.1,1,0,0,3,4,0,1,4,6,,,0,Matches
131,Mohammed Al Fatil,sa KSA,DF,Al-Ahli,28,1992,20.0,1,0,0,13,17,1,2,37,14,,,0,Matches
132,Ljubomir Fejsa,rs SRB,MF,Al-Ahli,31,1988,18.3,3,0,0,44,19,0,2,37,32,,,0,Matches
133,Ronnie Fernández,cl CHI,FW,Al-Raed,29,1991,8.1,2,0,0,24,4,6,4,1,8,,,0,Matches
134,Driss Fettouhi,ma MAR,MF,Al-Ahli,30,1989,16.2,5,0,0,35,27,3,63,10,11,,,0,Matches
135,Ahmed Al Fiqi,sa KSA,MF,Al-Hilal,27,1992,1.7,0,0,0,1,4,0,3,0,0,,,0,Matches
136,Ahmed Al Fiqi,sa KSA,"MF,FW",Al-Faisaly,27,1992,15.4,1,0,0,10,21,0,26,11,3,,,0,Matches
137,Hernâni Fortes,pt POR,"MF,FW",Al-Wehda,28,1991,20.8,2,0,0,11,22,7,118,10,4,,,0,Matches
138,Mohammed Fouad,eg EGY,"MF,FW",Al-Ain,30,1989,17.5,4,0,0,33,20,2,23,13,25,,,0,Matches
139,Mohamed Fouzair,ma MAR,MF,Al-Raed,28,1991,12.9,5,2,2,33,21,1,53,19,28,,,0,Matches
140,Ahmed Al-Fraidi,sa KSA,MF,Al-Qadsiah,32,1988,0.1,0,0,0,1,0,0,0,0,2,,,0,Matches
141,Mazyad Freeh,sa KSA,GK,Al-Batin,31,1989,3.0,1,0,0,0,1,0,0,0,1,,,0,Matches
142,Abraham Frimpong,gh GHA,DF,Al-Ain,27,1993,5.7,0,0,0,9,1,0,0,15,7,,,0,Matches
143,Ali Fuad,sa KSA,DF,Al-Ettifaq,18,2001,4.2,0,0,0,3,2,0,5,11,3,,,0,Matches
144,Mohammed Al-Fuhaid,sa KSA,MF,Al-Fateh,30,1990,22.8,7,1,1,42,50,0,3,44,29,,,0,Matches
145,Getterson,br BRA,"FW,MF",Al-Ain,29,1991,24.7,3,0,0,21,40,3,23,7,12,,,0,Matches
146,Abdulrahman Al-Ghamdi,sa KSA,FW,Al-Raed,25,1994,0.1,0,0,0,0,0,1,1,0,0,,,0,Matches
147,Ahmed Al Ghamdi,sa KSA,MF,Al-Ettifaq,18,2001,0.1,0,0,0,1,0,0,1,0,0,,,0,Matches
148,Hamed Al-Ghamdi,sa KSA,"MF,FW",Al-Ettifaq,21,1999,3.6,2,0,0,5,1,0,23,5,2,,,0,Matches
149,Hazzaa Al Ghamdi,sa KSA,MF,Al-Wehda,19,2001,5.0,1,0,0,9,9,1,9,5,5,,,0,Matches
150,Khalid Al-Ghamdi,sa KSA,DF,Al-Shabab,32,1988,1.8,0,0,0,3,0,0,4,4,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Mohammed Al Ghamdi,sa KSA,DF,Al-Taawoun,28,1992,9.7,4,1,1,19,28,0,19,24,19,,,0,Matches
152,Raed Al-Ghamdi,sa KSA,"FW,MF",Al-Nassr,26,1994,7.0,3,0,0,9,19,1,9,0,1,,,0,Matches
