squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Abha,24,28.1,43.2,30,330,2700,30.0,42,28,70,39,3,5,68,2,1.4,0.93,2.33,1.3,2.23
Al-Ahli,33,27.9,48.8,30,330,2700,30.0,44,28,72,38,6,8,56,2,1.47,0.93,2.4,1.27,2.2
Al-Ain,34,28.3,53.2,30,330,2700,30.0,34,22,56,30,4,5,62,1,1.13,0.73,1.87,1.0,1.73
Al-Batin,25,27.2,45.7,30,330,2700,30.0,41,33,74,37,4,5,59,3,1.37,1.1,2.47,1.23,2.33
Al-Ettifaq,27,27.4,52.4,30,330,2700,30.0,50,30,80,41,9,9,54,3,1.67,1.0,2.67,1.37,2.37
Al-Faisaly,29,27.9,50.8,30,330,2700,30.0,39,25,64,33,6,7,71,1,1.3,0.83,2.13,1.1,1.93
Al-Fateh,29,27.8,48.2,30,330,2700,30.0,53,32,85,43,10,11,64,3,1.77,1.07,2.83,1.43,2.5
Al-Hilal,28,29.1,65.5,30,330,2700,30.0,60,29,89,50,10,11,57,1,2.0,0.97,2.97,1.67,2.63
Al-Ittihad,30,27.9,50.5,30,330,2700,30.0,44,29,73,39,5,8,56,3,1.47,0.97,2.43,1.3,2.27
Al-Nassr,32,27.4,57.8,30,330,2700,30.0,52,34,86,42,10,19,77,3,1.73,1.13,2.87,1.4,2.53
Al-Qadsiah,32,27.2,45.6,30,330,2700,30.0,41,21,62,29,12,13,74,7,1.37,0.7,2.07,0.97,1.67
Al-Raed,29,28.0,47.8,30,330,2700,30.0,44,28,72,35,9,13,75,5,1.47,0.93,2.4,1.17,2.1
Al-Shabab,28,27.7,55.4,30,330,2700,30.0,68,56,124,61,7,8,69,4,2.27,1.87,4.13,2.03,3.9
Al-Taawoun,27,29.3,47.6,30,330,2700,30.0,38,24,62,33,5,7,78,2,1.27,0.8,2.07,1.1,1.9
Al-Wehda,30,27.4,45.5,30,330,2700,30.0,39,26,65,32,7,8,76,3,1.3,0.87,2.17,1.07,1.93
Damac,33,28.6,42.7,30,330,2700,30.0,42,25,67,29,13,14,73,6,1.4,0.83,2.23,0.97,1.8
