rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,28,1990,27.9,1241,1595,77.8,19052,8208,668,758,470,590,73,163,2,3.7,3.2,-1.7,32,89,23,3,143,Matches
2,Max Aarons,eng ENG,DF,Norwich City,19,2000,36.0,1332,1711,77.8,17879,5691,880,982,351,469,49,121,1,3.9,2.8,-2.9,23,55,28,12,78,Matches
3,Tammy Abraham,eng ENG,FW,Chelsea,21,1997,24.6,275,418,65.8,3513,697,161,221,63,86,13,21,3,2.7,1.9,+0.3,21,17,7,1,34,Matches
4,Che Adams,sct SCO,FW,Southampton,23,1996,12.3,162,263,61.6,2292,522,97,124,44,73,9,19,2,1.7,0.6,+0.3,13,9,3,0,16,Matches
5,Adrián,es ESP,GK,Liverpool,32,1987,9.7,238,311,76.5,6251,4149,48,48,112,113,78,148,0,0.0,0.0,0.0,0,3,0,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,31,1988,16.1,286,365,78.4,3050,674,186,218,60,76,2,5,3,2.3,2.5,+0.7,18,15,19,0,34,Matches
7,Albian Ajeti,ch SUI,FW,West Ham,22,1997,1.5,12,15,80.0,117,6,9,12,1,1,0,0,0,0.1,0.0,-0.1,2,1,0,0,0,Matches
8,Nathan Aké,nl NED,DF,Bournemouth,24,1995,27.8,1079,1238,87.2,19315,6988,435,472,554,608,82,132,2,2.2,0.3,-0.2,7,58,7,0,81,Matches
9,Marc Albrighton,eng ENG,"MF,DF",Leicester City,29,1989,9.6,339,499,67.9,5532,2035,179,216,110,145,36,97,3,2.2,1.6,+0.8,19,39,21,8,45,Matches
10,Toby Alderweireld,be BEL,DF,Tottenham,30,1989,32.9,1630,2009,81.1,33738,10390,480,531,924,1021,216,414,2,1.3,1.4,+0.7,11,110,13,2,96,Matches
11,Trent Alexander-Arnold,eng ENG,DF,Liverpool,20,1998,35.3,2278,3230,70.5,43250,16071,993,1095,912,1250,315,700,13,10.9,9.7,+2.1,87,190,88,31,247,Matches
12,Alisson,br BRA,GK,Liverpool,26,1992,28.3,820,947,86.6,19608,12630,204,204,414,424,199,314,1,0.3,0.0,+0.7,1,7,0,0,1,Matches
