rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
327,Fernando Marçal,br BRA,DF,Lyon,30,1989,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,25.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
328,Marcelo,br BRA,DF,Lyon,32,1987,16.7,0,8,2,25.0,0.48,0.12,0.00,0.00,10.4,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
329,Dario Maresic,at AUT,DF,Reims,19,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
330,Jordan Marié,fr FRA,"MF,FW",Dijon,27,1991,2.2,0,1,0,0.0,0.45,0.00,0.00,,30.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
331,Guillermo Maripán,cl CHI,DF,Monaco,25,1994,19.5,2,12,4,33.3,0.62,0.21,0.17,0.50,13.8,0,0,0,1.9,1.9,0.16,+0.1,+0.1,Matches
332,Marquinhos,br BRA,"MF,DF",Paris S-G,25,1994,16.4,3,11,3,27.3,0.67,0.18,0.27,1.00,10.0,0,0,0,1.9,1.9,0.17,+1.1,+1.1,Matches
333,Jonas Martin,fr FRA,MF,Rennes,29,1990,1.3,0,1,0,0.0,0.80,0.00,0.00,,10.9,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
334,Jonas Martin,fr FRA,MF,Strasbourg,29,1990,2.7,0,1,0,0.0,0.36,0.00,0.00,,22.9,0,0,1,0.8,0.0,0.05,-0.8,0.0,Matches
335,Pablo Martinez,fr FRA,DF,Nîmes,30,1989,26.0,2,13,3,23.1,0.50,0.12,0.15,0.67,15.6,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
336,Gelson Martins,pt POR,"DF,FW",Monaco,24,1995,18.6,4,28,10,35.7,1.51,0.54,0.14,0.40,15.5,0,0,0,5.0,5.0,0.18,-1.0,-1.0,Matches
337,Stephy Mavididi,eng ENG,"FW,MF",Dijon,21,1998,15.5,5,26,9,34.6,1.68,0.58,0.19,0.56,16.1,0,0,0,2.9,2.9,0.11,+2.1,+2.1,Matches
338,Eric Maxim Choupo-Moting,cm CMR,"FW,MF",Paris S-G,30,1989,5.0,3,18,8,44.4,3.59,1.60,0.17,0.38,12.0,0,0,0,2.6,2.6,0.14,+0.4,+0.4,Matches
339,Kévin Mayi,ga GAB,"FW,MF",Brest,26,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
340,Kylian Mbappé,fr FRA,FW,Paris S-G,20,1998,16.8,18,87,49,56.3,5.18,2.91,0.21,0.37,14.2,0,0,0,15.6,15.6,0.18,+2.4,+2.4,Matches
341,Loïc Mbe Soh,fr FRA,DF,Paris S-G,18,2001,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
342,Isaac Mbenza,be BEL,FW,Amiens,23,1996,0.9,0,4,1,25.0,4.29,1.07,0.00,0.00,23.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
343,Nathanael Mbuku,cd COD,"FW,MF",Reims,17,2002,4.4,0,8,1,12.5,1.82,0.23,0.00,0.00,15.6,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
344,Farid El Melali,dz ALG,"MF,FW",Angers,22,1997,3.4,3,6,5,83.3,1.76,1.47,0.50,0.60,14.7,0,0,0,1.4,1.4,0.23,+1.6,+1.6,Matches
345,Memphis,nl NED,"FW,MF",Lyon,25,1994,11.3,9,47,20,42.6,4.16,1.77,0.17,0.40,21.1,7,1,1,4.7,3.9,0.08,+4.3,+4.1,Matches
346,Pedro Mendes,pt POR,DF,Montpellier,28,1990,15.3,1,9,3,33.3,0.59,0.20,0.11,0.33,13.5,0,0,0,1.7,1.7,0.19,-0.7,-0.7,Matches
347,Thiago Mendes,br BRA,MF,Lyon,27,1992,20.1,0,26,3,11.5,1.29,0.15,0.00,0.00,26.0,0,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
348,Stiven Mendoza,co COL,"FW,MF",Amiens,27,1992,12.2,5,23,10,43.5,1.88,0.82,0.22,0.50,19.6,1,0,0,3.6,3.6,0.16,+1.4,+1.4,Matches
349,Alexandre Mendy,gw GNB,FW,Brest,25,1994,10.0,3,28,9,32.1,2.80,0.90,0.11,0.33,13.8,0,0,1,3.9,3.2,0.11,-0.9,-0.2,Matches
350,Edouard Mendy,sn SEN,GK,Rennes,27,1992,24.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
351,Hamza Mendyl,ma MAR,DF,Dijon,21,1997,16.0,1,10,1,10.0,0.62,0.06,0.10,1.00,20.6,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
352,Thomas Meunier,be BEL,DF,Paris S-G,27,1991,13.8,0,4,2,50.0,0.29,0.14,0.00,0.00,15.0,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
353,Mexer,mz MOZ,DF,Bordeaux,30,1988,16.5,0,9,0,0.0,0.54,0.00,0.00,,23.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
354,Florian Miguel,fr FRA,DF,Nîmes,22,1996,22.8,1,18,2,11.1,0.79,0.09,0.06,0.50,17.8,0,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
355,Georges Mikautadze,ge GEO,FW,Metz,18,2000,0.1,0,1,0,0.0,11.25,0.00,0.00,,24.9,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
356,Stefan Mitrović,rs SRB,DF,Strasbourg,29,1990,22.8,1,5,1,20.0,0.22,0.04,0.20,1.00,10.1,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
357,Florent Mollet,fr FRA,"MF,FW",Montpellier,27,1991,18.7,6,46,20,43.5,2.46,1.07,0.13,0.30,23.5,11,0,0,3.0,3.0,0.07,+3.0,+3.0,Matches
358,Thomas Monconduit,fr FRA,MF,Amiens,28,1991,15.2,0,11,2,18.2,0.73,0.13,0.00,0.00,25.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
359,Steven Moreira,cv CPV,DF,Toulouse,24,1994,15.4,0,6,0,0.0,0.39,0.00,0.00,,24.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
360,Jérémy Morel,mg MAD,DF,Rennes,35,1984,20.1,1,13,3,23.1,0.65,0.15,0.08,0.33,16.8,0,0,0,1.3,1.3,0.10,-0.3,-0.3,Matches
361,Lebo Mothiba,za RSA,FW,Strasbourg,23,1996,11.6,3,27,10,37.0,2.32,0.86,0.11,0.30,14.6,1,0,0,4.6,4.6,0.17,-1.6,-1.6,Matches
362,Harold Moukoudi,cm CMR,DF,Saint-Étienne,21,1997,11.0,0,3,0,0.0,0.27,0.00,0.00,,9.7,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
363,Jessy Moulin,fr FRA,GK,Saint-Étienne,33,1986,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,Wesley Moustache,fr FRA,DF,Nantes,20,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
365,Samuel Moutoussamy,cd COD,"DF,MF",Nantes,22,1996,5.8,0,5,1,20.0,0.86,0.17,0.00,0.00,18.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
366,Marshall Munetsi,zw ZIM,MF,Reims,23,1996,9.3,0,4,0,0.0,0.43,0.00,0.00,,26.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
367,Kévin N'Doram,fr FRA,MF,Metz,23,1996,18.3,0,9,2,22.2,0.49,0.11,0.00,0.00,26.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
368,Abdallah N'dour,sn SEN,DF,Strasbourg,25,1993,4.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
