rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Yunis Abdelhamid,ma MAR,DF,Reims,31,1987,28.0,46,33,29,15,2,17,30,13,26,14,12,47,93,99,1,Matches
2,Mehdi Abeid,dz ALG,MF,Nantes,26,1992,20.2,55,29,18,32,5,20,53,33,16,3,13,23,78,8,1,Matches
3,Charles Abi,fr FRA,FW,Saint-Étienne,19,2000,6.9,9,9,2,5,2,2,7,5,2,0,2,4,13,4,0,Matches
4,Amine Adli,ma MAR,"MF,FW",Toulouse,19,2000,0.5,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,Matches
5,Yacine Adli,fr FRA,MF,Bordeaux,19,2000,11.3,22,14,4,15,3,11,34,23,10,0,10,8,30,3,0,Matches
6,Nayef Aguerd,ma MAR,DF,Dijon,23,1996,10.6,13,9,7,5,1,8,12,4,11,11,0,18,31,54,0,Matches
7,Ruben Aguilar,fr FRA,DF,Monaco,26,1993,11.9,36,22,19,15,2,19,28,9,6,2,4,11,47,21,0,Matches
8,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,25,1994,7.0,16,12,2,11,3,3,9,6,6,1,5,15,31,10,0,Matches
9,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,23,1996,6.0,11,8,6,4,1,4,24,20,6,1,5,4,15,10,1,Matches
10,Rayan Aït-Nouri,dz ALG,DF,Angers,18,2001,14.2,29,22,14,8,7,10,21,11,14,1,13,18,47,33,0,Matches
11,Ludovic Ajorque,fr FRA,FW,Strasbourg,25,1994,22.9,15,10,2,10,3,2,13,11,11,0,11,2,17,20,0,Matches
12,Marley Aké,fr FRA,"FW,MF",Marseille,18,2001,1.1,2,2,1,1,0,1,3,2,0,0,0,1,3,1,0,Matches
13,Chadrac Akolo,cd COD,"FW,MF",Amiens,24,1995,6.0,16,8,8,6,2,5,12,7,6,1,5,5,21,5,0,Matches
14,Sofiane Alakouch,ma MAR,DF,Nîmes,21,1998,15.6,45,26,25,13,7,25,48,23,13,2,11,23,68,39,3,Matches
15,Haitam Aleesami,no NOR,DF,Amiens,28,1991,21.3,36,16,25,9,2,18,43,25,33,10,23,34,70,59,1,Matches
