rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Dirk Abels,nl NED,DF,Sparta R'dam,23,1997,27.9,1770,109,549,878,349,12,1770,14,7,50.0,7,50.0,710,2495,1205,22,22,3,17,8,858,83,Matches
2,Nassim El Ablak,nl NED,"MF,FW",Fortuna Sittard,20,2000,0.2,20,2,6,9,5,0,20,0,0,,0,,7,35,11,0,0,0,1,0,9,0,Matches
3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,20,2000,8.2,301,10,43,102,160,49,301,41,20,48.8,21,51.2,180,1261,616,23,9,10,29,14,201,70,Matches
4,Paulos Abraham,se SWE,"FW,MF",Groningen,18,2002,4.0,146,2,15,56,77,26,146,9,6,66.7,3,33.3,84,435,162,3,2,4,17,10,104,35,Matches
5,Bobby Adekanye,nl NED,"FW,MF",ADO Den Haag,21,1999,8.2,277,10,63,115,108,19,277,21,8,38.1,13,61.9,192,1350,576,21,20,5,34,21,190,49,Matches
6,Shawn Adewoye,be BEL,DF,RKC Waalwijk,20,2000,1.4,62,10,33,29,0,0,62,0,0,,0,,42,178,92,0,0,0,2,0,44,0,Matches
7,Luka Adžić,rs SRB,FW,Emmen,21,1998,9.0,378,7,51,174,160,33,378,36,18,50.0,18,50.0,234,1394,681,26,16,13,24,13,281,69,Matches
8,Rohat Agca,nl NED,MF,Heracles Almelo,18,2001,0.6,35,2,9,18,9,0,35,2,2,100.0,0,0.0,25,116,57,0,1,0,1,2,24,0,Matches
9,Hamdi Akujobi,nl NED,"DF,MF",Heerenveen,20,2000,3.8,248,14,85,133,34,0,248,7,3,42.9,4,57.1,123,515,147,1,1,0,6,0,119,6,Matches
10,Edson Álvarez,mx MEX,"MF,DF",Ajax,22,1997,17.2,1400,51,362,841,208,47,1400,21,18,85.7,3,14.3,746,4702,2638,31,26,1,25,17,936,21,Matches
11,Ben Aissa Ben Amar,ma MAR,DF,Utrecht,23,1997,2.0,138,17,72,63,3,3,138,0,0,,0,,94,528,337,2,0,0,0,0,97,1,Matches
12,Gregoire Amiot,fr FRA,DF,Fortuna Sittard,25,1995,1.0,49,7,25,23,1,1,49,0,0,,0,,23,141,65,0,0,0,2,0,26,0,Matches
13,Mohamed Amissi,bi BDI,FW,Heracles Almelo,19,2000,0.7,20,0,4,11,5,2,20,2,2,100.0,0,0.0,13,127,69,3,0,1,1,0,14,2,Matches
14,Jamal Amofa,nl NED,DF,ADO Den Haag,21,1998,5.1,272,47,167,104,4,0,272,2,2,100.0,0,0.0,158,887,551,2,2,0,8,2,148,1,Matches
15,Martin Angha,ch SUI,DF,Fortuna Sittard,26,1994,30.7,1748,229,1047,634,78,19,1748,6,5,83.3,1,16.7,853,4721,2631,13,16,1,23,4,1004,13,Matches
16,Vurnon Anita,cw CUW,MF,RKC Waalwijk,31,1989,28.4,1427,46,402,878,163,3,1427,25,17,68.0,8,32.0,733,2643,1030,10,16,0,32,20,829,10,Matches
17,Jeremy Antonisse,cw CUW,FW,PSV Eindhoven,18,2002,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,Matches
18,Antony,br BRA,FW,Ajax,20,2000,19.6,1187,5,86,352,768,108,1187,74,43,58.1,31,41.9,797,4731,2326,81,50,28,35,21,912,277,Matches
19,Miguel Araujo,pe PER,DF,Emmen,25,1994,32.9,2494,291,1413,1042,60,30,2494,6,5,83.3,1,16.7,1439,7341,4457,17,13,3,16,10,1686,2,Matches
20,Jafar Arias,cw CUW,FW,VVV-Venlo,25,1995,14.3,606,10,40,333,241,44,606,20,10,50.0,10,50.0,359,1349,358,7,9,1,58,38,480,81,Matches
21,Jonas Arweiler,de GER,FW,ADO Den Haag,23,1997,12.5,389,31,46,190,155,44,389,17,7,41.2,10,58.8,182,996,283,10,5,6,45,21,289,63,Matches
22,Daniel Arzani,au AUS,"FW,MF",Utrecht,21,1999,0.7,56,0,6,16,38,4,56,9,5,55.6,4,44.4,44,412,201,5,7,4,6,1,49,11,Matches
23,Adil Auassar,nl NED,MF,Sparta R'dam,33,1986,26.8,1396,82,385,869,158,10,1396,22,13,59.1,9,40.9,607,2848,1155,9,16,0,29,9,668,11,Matches
24,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,20,1999,1.7,77,12,26,41,10,1,77,1,1,100.0,0,0.0,25,113,31,0,0,0,1,2,27,0,Matches
25,Donis Avdijaj,xk KVX,"FW,MF",Emmen,23,1996,2.8,108,2,17,44,49,8,108,15,2,13.3,13,86.7,69,618,300,10,10,2,15,5,75,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Marouan Azarkan,nl NED,MF,Feyenoord,18,2001,0.1,12,0,2,4,6,1,12,0,0,,0,,8,63,18,0,0,0,0,1,6,2,Matches
