rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
33,Timo Baumgartl,de GER,DF,PSV Eindhoven,23,1996,12.1,871,94,415,446,18,6,871,4,3,75.0,1,25.0,531,2801,1560,9,3,1,3,2,545,3,Matches
34,Riechedly Bazoer,cw CUW,MF,Vitesse,22,1996,19.1,1092,17,173,631,307,19,1092,29,21,72.4,8,27.6,653,3461,1605,29,30,4,32,34,782,72,Matches
35,Filip Bednarek,pl POL,GK,Heerenveen,26,1992,6.0,223,193,221,2,0,0,223,0,0,,0,,112,657,411,0,0,0,0,0,94,0,Matches
36,Donny van de Beek,nl NED,MF,Ajax,22,1997,21.3,1158,16,106,522,536,154,1158,34,22,64.7,11,32.4,683,3025,1616,50,35,11,32,23,822,173,Matches
37,Sven van Beek,nl NED,FW,Feyenoord,25,1994,0.0,1,0,1,0,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
38,Iliass Bel Hassani,ma MAR,"FW,MF",Zwolle,26,1992,10.8,509,10,52,250,213,26,509,18,13,72.2,5,27.8,321,2218,871,30,15,12,12,18,368,66,Matches
39,Hilal Ben Moussa,nl NED,MF,Emmen,27,1992,5.7,438,18,100,298,43,1,438,9,2,22.2,7,77.8,222,1101,529,8,3,1,5,5,291,10,Matches
40,Charlison Benschop,cw CUW,FW,Groningen,29,1989,9.5,283,6,17,133,138,40,281,14,10,71.4,4,28.6,163,628,143,6,3,3,32,8,209,43,Matches
41,Mitchell van Bergen,nl NED,"FW,MF",Heerenveen,19,1999,24.8,1162,11,89,389,699,127,1162,117,50,42.7,63,53.8,837,7319,4015,181,93,70,54,14,859,291,Matches
42,Emil Berggreen,dk DEN,FW,Twente,26,1993,4.0,144,4,10,61,73,19,144,5,4,80.0,1,20.0,82,382,52,1,1,1,14,8,125,42,Matches
43,Steven Berghuis,nl NED,FW,Feyenoord,27,1991,23.4,1663,17,151,728,795,107,1656,78,34,43.6,43,55.1,990,5554,2772,100,79,36,36,29,1227,187,Matches
44,Emil Bergström,se SWE,DF,Utrecht,26,1993,1.0,60,4,25,32,3,1,60,0,0,,0,,33,181,120,0,1,0,1,0,44,0,Matches
