rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
356,Patrik Raitanen,fi FIN,DF,Fortuna Sittard,18,2001,0.3,0,1,0,0.0,2.90,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
357,Bart Ramselaar,nl NED,"MF,FW",Utrecht,23,1996,11.5,5,14,8,57.1,1.21,0.69,0.36,0.63,16.1,0,0,0,2.3,2.3,0.17,+2.7,+2.7,Matches
358,Jan Ras,nl NED,"MF,FW",Heerenveen,20,1999,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
359,Mohamed Rayhi,nl NED,"MF,FW",Sparta R'dam,25,1994,21.7,7,57,19,33.3,2.62,0.87,0.11,0.32,21.7,1,1,2,5.4,3.8,0.07,+1.6,+2.2,Matches
360,Daishawn Redan,nl NED,FW,Groningen,18,2001,3.7,0,1,1,100.0,0.27,0.27,0.00,0.00,9.5,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
361,Tijjani Reijnders,nl NED,"FW,MF",AZ Alkmaar,21,1998,0.5,0,1,1,100.0,2.20,2.20,0.00,0.00,21.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
362,Tijjani Reijnders,nl NED,"MF,FW",RKC Waalwijk,21,1998,6.1,0,14,2,14.3,2.31,0.33,0.00,0.00,22.5,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
363,Etiënne Reijnen,nl NED,DF,Zwolle,32,1987,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
364,Ricardo van Rhijn,nl NED,DF,Heerenveen,28,1991,16.4,0,17,5,29.4,1.04,0.30,0.00,0.00,29.1,2,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
365,Ben Rienstra,nl NED,FW,Heerenveen,29,1990,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
366,Daan Rienstra,nl NED,MF,RKC Waalwijk,26,1992,18.5,0,6,2,33.3,0.32,0.11,0.00,0.00,20.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
