rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Filip Bednarek,pl POL,GK,Heerenveen,26,1992,6,6,540,6.0,14,2.33,29,17,62.1,1,2,3,0,0.0,3,3,0,0,0.0,Matches
2,Justin Bijlow,nl NED,GK,Feyenoord,21,1998,7,7,630,7.0,8,1.14,24,16,75.0,6,1,0,2,28.6,2,2,0,0,0.0,Matches
3,Marco Bizot,nl NED,GK,AZ Alkmaar,28,1991,24,24,2074,23.0,11,0.48,68,57,85.3,18,2,4,17,70.8,2,1,0,1,0.0,Matches
4,Janis Blaswich,de GER,GK,Heracles Almelo,28,1991,26,26,2340,26.0,34,1.31,120,84,74.2,10,6,10,7,26.9,5,3,2,0,40.0,Matches
5,Rody de Boer,nl NED,GK,AZ Alkmaar,21,1997,2,1,172,1.9,6,3.14,12,6,58.3,0,0,1,0,0.0,1,1,0,0,0.0,Matches
6,Jorn Brondeel,be BEL,GK,Twente,25,1993,2,1,159,1.8,4,2.26,14,10,71.4,1,0,0,0,0.0,0,0,0,0,,Matches
7,Tim Coremans,nl NED,GK,Sparta R'dam,28,1991,10,10,899,10.0,17,1.70,46,29,67.4,4,3,3,2,20.0,2,2,0,0,0.0,Matches
8,Joel Drommel,nl NED,GK,Twente,22,1996,25,25,2177,24.2,42,1.74,140,99,70.0,6,6,13,5,20.0,2,0,1,1,100.0,Matches
9,Warner Hahn,sr SUR,GK,Heerenveen,27,1992,20,20,1800,20.0,27,1.35,95,67,74.7,7,7,6,4,20.0,4,3,1,0,25.0,Matches
10,Ariel Harush,il ISR,GK,Sparta R'dam,31,1988,16,16,1440,16.0,27,1.69,68,41,66.2,5,3,8,4,25.0,4,4,0,0,0.0,Matches
11,Mike Havekotte,nl NED,GK,ADO Den Haag,23,1995,1,1,90,1.0,3,3.00,9,6,88.9,0,0,1,0,0.0,2,2,0,0,0.0,Matches
12,Kees Heemskerk,nl NED,GK,RKC Waalwijk,28,1991,4,2,228,2.5,7,2.76,16,9,62.5,0,1,1,0,0.0,1,1,0,0,0.0,Matches
13,Thorsten Kirschbaum,de GER,GK,VVV-Venlo,32,1987,26,26,2340,26.0,51,1.96,149,97,68.5,8,4,14,4,15.4,5,4,1,0,20.0,Matches
14,Luuk Koopmans,nl NED,GK,ADO Den Haag,25,1993,20,20,1800,20.0,42,2.10,116,75,66.4,2,7,11,5,25.0,3,3,0,0,0.0,Matches
15,Alexei Koșelev,md MDA,GK,Fortuna Sittard,25,1993,26,26,2340,26.0,52,2.00,148,97,70.9,6,8,12,6,23.1,9,9,0,0,0.0,Matches
16,Nick Marsman,nl NED,GK,Feyenoord,28,1990,2,2,180,2.0,0,0.00,11,10,100.0,1,1,0,2,100.0,1,0,1,0,100.0,Matches
17,Xavier Mous,nl NED,GK,Zwolle,23,1995,13,13,1170,13.0,32,2.46,92,61,67.4,3,1,9,0,0.0,2,2,0,0,0.0,Matches
