rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
538,Andrea Tabanelli,it ITA,MF,Lecce,29,1990,10.7,1,11,2,18.2,1.03,0.19,0.09,0.50,15.8,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches
539,Panagiotis Tachtsidis,gr GRE,MF,Lecce,28,1991,22.3,0,27,7,25.9,1.21,0.31,0.00,0.00,25.7,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches
540,Adrien Tameze,cm CMR,MF,Atalanta,25,1994,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
541,Łukasz Teodorczyk,pl POL,FW,Udinese,28,1991,2.5,0,4,2,50.0,1.62,0.81,0.00,0.00,15.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
542,Hidde ter Avest,nl NED,DF,Udinese,22,1997,7.6,0,2,1,50.0,0.26,0.13,0.00,0.00,17.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
543,Pietro Terracciano,it ITA,GK,Fiorentina,29,1990,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
544,Aleksa Terzić,rs SRB,MF,Fiorentina,19,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
545,Demba Thiam,sn SEN,GK,SPAL,21,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
546,Morten Thorsby,no NOR,"MF,DF",Sampdoria,23,1996,20.7,1,18,4,22.2,0.87,0.19,0.06,0.25,14.2,0,0,0,1.9,1.9,0.11,-0.9,-0.9,Matches
547,Jeremy Toljan,de GER,DF,Sassuolo,24,1994,24.3,1,8,2,25.0,0.33,0.08,0.13,0.50,19.1,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
548,Rafael Tolói,it ITA,DF,Atalanta,28,1990,29.0,2,27,9,33.3,0.93,0.31,0.07,0.22,14.0,0,0,0,3.1,3.1,0.12,-1.1,-1.1,Matches
549,Takehiro Tomiyasu,jp JPN,DF,Bologna,20,1998,28.1,1,19,2,10.5,0.68,0.07,0.05,0.50,17.0,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
550,Nenad Tomović,rs SRB,DF,SPAL,31,1987,19.5,0,10,3,30.0,0.51,0.15,0.00,0.00,19.5,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
551,Sandro Tonali,it ITA,MF,Brescia,19,2000,33.5,1,29,7,24.1,0.87,0.21,0.03,0.14,28.4,10,0,0,1.2,1.2,0.04,-0.2,-0.2,Matches
