rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
49,Douglas,br BRA,FW,Vissel Kobe,33,1987,14.8,,,,,,,,,,,,,,,,,,,,,Matches
50,Douglas,br BRA,FW,Consa Sapporo,26,1995,3.9,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
51,Dudu,br BRA,DF,Sagan Tosu,27,1993,35.5,,,,,,,,,,,,,,,,,,,,,Matches
52,Ismail Dunga Salim,ke KEN,FW,Sagan Tosu,27,1993,1.0,,,,,,,,,,,,,,,,,,,,,Matches
53,Chie Edoojon Kawakami,jp JPN,MF,Vortis,22,1998,0.6,,,,,,,,,,,,,,,,,,,,,Matches
54,Élber,br BRA,MF,Marinos,28,1992,28.1,,,,,,,,,,,,,,,,,,,,,Matches
55,Elsinho,br BRA,DF,S-Pulse,31,1989,10.3,,,,,,,,,,,,,,,,,,,,,Matches
56,Tarik Elyounoussi,no NOR,"FW,MF",Shonan Bellmare,32,1988,12.1,,,,,,,,,,,,,,,,,,,,,Matches
57,Yasushi Endo,jp JPN,MF,Kashima Antlers,32,1988,5.4,,,,,,,,,,,,,,,,,,,,,Matches
58,Ataru Esaka,jp JPN,"MF,FW",Kashiwa Reysol,28,1992,14.8,,,,,,,,,,,,,,,,,,,,,Matches
59,Ataru Esaka,jp JPN,"FW,MF",Urawa Reds,28,1992,13.5,,,,,,,,,,,,,,,,,,,,,Matches
60,Ezequiel,br BRA,"MF,FW",Sanfrecce,22,1998,19.7,,,,,,,,,,,,,,,,,,,,,Matches
61,Lucas Fernandes,br BRA,MF,Consa Sapporo,26,1994,19.1,,,,,,,,,,,,,,,,,,,,,Matches
62,Foguinho,br BRA,MF,Vegalta Sendai,28,1992,6.9,,,,,,,,,,,,,,,,,,,,,Matches
63,Hiroki Fujiharu,jp JPN,"DF,MF",Gamba Osaka,32,1988,15.7,,,,,,,,,,,,,,,,,,,,,Matches
64,Haruya Fujii,jp JPN,DF,Grampus,20,2000,1.4,,,,,,,,,,,,,,,,,,,,,Matches
65,Tomoya Fujii,jp JPN,MF,Sanfrecce,22,1998,20.6,,,,,,,,,,,,,,,,,,,,,Matches
66,Kazuki Fujimoto,jp JPN,FW,Oita Trinita,22,1998,3.2,,,,,,,,,,,,,,,,,,,,,Matches
67,Noriaki Fujimoto,jp JPN,FW,Vissel Kobe,31,1989,2.5,,,,,,,,,,,,,,,,,,,,,Matches
68,Noriaki Fujimoto,jp JPN,FW,S-Pulse,31,1989,6.4,,,,,,,,,,,,,,,,,,,,,Matches
69,Shota Fujio,jp JPN,FW,Cerezo Osaka,19,2001,0.0,,,,,,,,,,,,,,,,,,,,,Matches
70,Joel Fujita,jp JPN,MF,Vortis,18,2002,16.4,,,,,,,,,,,,,,,,,,,,,Matches
71,Naoyuki Fujita,jp JPN,MF,Cerezo Osaka,33,1987,21.6,,,,,,,,,,,,,,,,,,,,,Matches
72,Seiya Fujita,jp JPN,DF,Vortis,33,1987,4.8,,,,,,,,,,,,,,,,,,,,,Matches
73,Shiryu Fujiwara,jp JPN,MF,Vortis,20,2000,10.1,,,,,,,,,,,,,,,,,,,,,Matches
74,Kazuki Fukai,jp JPN,MF,Consa Sapporo,25,1995,12.1,,,,,,,,,,,,,,,,,,,,,Matches
75,Noriki Fuke,jp JPN,DF,Vortis,23,1997,4.1,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
76,Yuya Fukuda,jp JPN,"MF,DF",Gamba Osaka,21,1999,8.8,,,,,,,,,,,,,,,,,,,,,Matches
77,Taichi Fukui,jp JPN,MF,Sagan Tosu,16,2004,1.0,,,,,,,,,,,,,,,,,,,,,Matches
78,Akito Fukumori,jp JPN,DF,Consa Sapporo,28,1992,31.1,,,,,,,,,,,,,,,,,,,,,Matches
79,Kenta Fukumori,jp JPN,"MF,DF",Oita Trinita,26,1994,5.9,,,,,,,,,,,,,,,,,,,,,Matches
80,Naoya Fukumori,jp JPN,DF,S-Pulse,28,1992,3.9,,,,,,,,,,,,,,,,,,,,,Matches
81,Naoya Fukumori,jp JPN,DF,Vegalta Sendai,28,1992,9.8,,,,,,,,,,,,,,,,,,,,,Matches
82,Shota Fukuoka,jp JPN,DF,Vortis,25,1995,25.3,,,,,,,,,,,,,,,,,,,,,Matches
83,Yu Funabashi,jp JPN,MF,Kashima Antlers,18,2002,1.0,,,,,,,,,,,,,,,,,,,,,Matches
84,Kyogo Furuhashi,jp JPN,"FW,MF",Vissel Kobe,26,1995,19.5,,,,,,,,,,,,,,,,,,,,,Matches
85,Riku Furuyado,jp JPN,MF,Yokohama FC,19,2001,1.0,,,,,,,,,,,,,,,,,,,,,Matches
86,Gabriel,br BRA,DF,Yokohama FC,25,1995,9.1,,,,,,,,,,,,,,,,,,,,,Matches
87,Ryo Germain,jp JPN,"MF,FW",Yokohama FC,25,1995,18.2,,,,,,,,,,,,,,,,,,,,,Matches
88,Yuta Goke,jp JPN,"MF,FW",Vissel Kobe,21,1999,27.1,,,,,,,,,,,,,,,,,,,,,Matches
89,Shūichi Gonda,jp JPN,GK,S-Pulse,31,1989,38.0,,,,,,,,,,,,,,,,,,,,,Matches
90,Yusuke Goto,jp JPN,"MF,FW",S-Pulse,27,1993,7.6,,,,,,,,,,,,,,,,,,,,,Matches
91,Hiroto Goya,jp JPN,FW,Oita Trinita,27,1994,7.4,,,,,,,,,,,,,,,,,,,,,Matches
92,Hiroto Goya,jp JPN,FW,Kashiwa Reysol,27,1994,7.8,,,,,,,,,,,,,,,,,,,,,Matches
93,Douglas Grolli,br BRA,DF,Avispa Fukuoka,31,1989,30.0,,,,,,,,,,,,,,,,,,,,,Matches
94,Carlos Gutiérrez,es ESP,DF,Avispa Fukuoka,29,1991,4.7,,,,,,,,,,,,,,,,,,,,,Matches
95,Koji Hachisuka,jp JPN,DF,Vegalta Sendai,30,1990,13.2,,,,,,,,,,,,,,,,,,,,,Matches
96,Yutaro Hakamata,jp JPN,DF,Yokohama FC,24,1996,20.2,,,,,,,,,,,,,,,,,,,,,Matches
97,Akira Hamashita,jp JPN,MF,Vortis,25,1995,11.6,,,,,,,,,,,,,,,,,,,,,Matches
98,Kento Haneda,jp JPN,"MF,DF",Oita Trinita,23,1997,18.3,,,,,,,,,,,,,,,,,,,,,Matches
99,Teruki Hara,jp JPN,DF,S-Pulse,22,1998,28.3,,,,,,,,,,,,,,,,,,,,,Matches
100,Riki Harakawa,jp JPN,MF,Cerezo Osaka,27,1993,22.4,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
101,Tatsuya Hasegawa,jp JPN,"FW,MF",Kawa Frontale,26,1994,9.1,,,,,,,,,,,,,,,,,,,,,Matches
102,Toru Hasegawa,jp JPN,GK,Vortis,32,1988,4.0,,,,,,,,,,,,,,,,,,,,,Matches
103,Yushi Hasegawa,jp JPN,MF,Oita Trinita,24,1996,10.6,,,,,,,,,,,,,,,,,,,,,Matches
104,Sodai Hasukawa,jp JPN,DF,FC Tokyo,22,1998,4.1,,,,,,,,,,,,,,,,,,,,,Matches
105,Taiga Hata,jp JPN,MF,Shonan Bellmare,19,2002,15.6,,,,,,,,,,,,,,,,,,,,,Matches
106,Shinnosuke Hatanaka,jp JPN,DF,Marinos,25,1995,24.8,,,,,,,,,,,,,,,,,,,,,Matches
107,Go Hatano,jp JPN,GK,FC Tokyo,22,1998,31.0,,,,,,,,,,,,,,,,,,,,,Matches
108,Reo Hatate,jp JPN,"MF,DF",Kawa Frontale,23,1997,27.9,,,,,,,,,,,,,,,,,,,,,Matches
109,Ryo Hatsuse,jp JPN,"DF,MF",Vissel Kobe,23,1997,21.2,,,,,,,,,,,,,,,,,,,,,Matches
110,Daichi Hayashi,jp JPN,FW,Sagan Tosu,23,1997,14.9,,,,,,,,,,,,,,,,,,,,,Matches
