rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
201,Hiroshi Kiyotake,jp JPN,"MF,FW",Cerezo Osaka,31,1989,27.5,,,,,,,,,,,,,,,,,,,,,Matches
202,Kléber,br BRA,FW,Yokohama FC,30,1990,12.9,,,,,,,,,,,,,,,,,,,,,Matches
203,Seigo Kobayashi,jp JPN,"MF,FW",Oita Trinita,27,1994,14.1,,,,,,,,,,,,,,,,,,,,,Matches
204,Shota Kobayashi,jp JPN,MF,Shonan Bellmare,29,1991,8.6,,,,,,,,,,,,,,,,,,,,,Matches
205,Yu Kobayashi,jp JPN,FW,Kawa Frontale,33,1987,12.9,,,,,,,,,,,,,,,,,,,,,Matches
206,Yuki Kobayashi,jp JPN,MF,Oita Trinita,32,1988,19.1,,,,,,,,,,,,,,,,,,,,,Matches
207,Yuki Kobayashi,jp JPN,"DF,MF",Vissel Kobe,20,2000,16.8,,,,,,,,,,,,,,,,,,,,,Matches
208,Tsuyoshi Kodama,jp JPN,GK,FC Tokyo,33,1987,7.0,,,,,,,,,,,,,,,,,,,,,Matches
209,Taiyo Koga,jp JPN,DF,Kashiwa Reysol,22,1998,36.9,,,,,,,,,,,,,,,,,,,,,Matches
210,Yuta Koide,jp JPN,"DF,MF",Oita Trinita,26,1994,20.8,,,,,,,,,,,,,,,,,,,,,Matches
211,Ryuta Koike,jp JPN,DF,Marinos,25,1995,25.6,,,,,,,,,,,,,,,,,,,,,Matches
212,Yuta Koike,jp JPN,DF,Cerezo Osaka,24,1996,2.9,,,,,,,,,,,,,,,,,,,,,Matches
213,Kei Koizumi,jp JPN,"MF,DF",Sagan Tosu,25,1995,8.6,,,,,,,,,,,,,,,,,,,,,Matches
214,Kei Koizumi,jp JPN,"DF,MF",Kashima Antlers,25,1995,8.6,,,,,,,,,,,,,,,,,,,,,Matches
215,Yoshio Koizumi,jp JPN,MF,Urawa Reds,24,1996,26.6,,,,,,,,,,,,,,,,,,,,,Matches
216,Benjamin Kololli,xk KVX,"MF,FW",S-Pulse,28,1992,5.9,,,,,,,,,,,,,,,,,,,,,Matches
217,Yoshiaki Komai,jp JPN,MF,Consa Sapporo,28,1992,34.9,,,,,,,,,,,,,,,,,,,,,Matches
218,Tomoki Kondo,jp JPN,MF,Yokohama FC,19,2001,0.2,,,,,,,,,,,,,,,,,,,,,Matches
219,Yudai Konishi,jp JPN,MF,Vortis,22,1998,10.8,,,,,,,,,,,,,,,,,,,,,Matches
220,Kazuya Konno,jp JPN,MF,FC Tokyo,23,1997,0.5,,,,,,,,,,,,,,,,,,,,,Matches
221,Shinzo Koroki,jp JPN,FW,Urawa Reds,34,1986,5.5,,,,,,,,,,,,,,,,,,,,,Matches
222,Tomoya Koyamatsu,jp JPN,"MF,FW",Sagan Tosu,25,1995,26.6,,,,,,,,,,,,,,,,,,,,,Matches
223,Kazuki Kozuka,jp JPN,MF,Kawa Frontale,26,1994,0.8,,,,,,,,,,,,,,,,,,,,,Matches
224,Bojan Krkić,es ESP,FW,Vissel Kobe,30,1990,1.8,,,,,,,,,,,,,,,,,,,,,Matches
225,Shu Kurata,jp JPN,MF,Gamba Osaka,32,1988,23.8,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
226,Keisuke Kurokawa,jp JPN,"DF,MF",Gamba Osaka,23,1997,16.3,,,,,,,,,,,,,,,,,,,,,Matches
227,Hayato Kurosaki,jp JPN,MF,Oita Trinita,24,1996,1.6,,,,,,,,,,,,,,,,,,,,,Matches
228,Shintaro Kurumaya,jp JPN,DF,Kawa Frontale,28,1992,17.5,,,,,,,,,,,,,,,,,,,,,Matches
229,Mitchell Langerak,au AUS,GK,Grampus,32,1988,38.0,,,,,,,,,,,,,,,,,,,,,Matches
230,Leandro,br BRA,MF,FC Tokyo,27,1993,16.1,,,,,,,,,,,,,,,,,,,,,Matches
231,Leonardo,br BRA,FW,Marinos,25,1995,14.9,,,,,,,,,,,,,,,,,,,,,Matches
232,Lincoln,br BRA,FW,Vissel Kobe,20,2000,3.8,,,,,,,,,,,,,,,,,,,,,Matches
233,Anderson Lopes,br BRA,"FW,MF",Consa Sapporo,27,1993,13.5,,,,,,,,,,,,,,,,,,,,,Matches
234,Rodrigo Luiz Angelotti,br BRA,FW,Kashiwa Reysol,22,1998,4.1,,,,,,,,,,,,,,,,,,,,,Matches
235,Koki Machida,jp JPN,DF,Kashima Antlers,23,1997,33.8,,,,,,,,,,,,,,,,,,,,,Matches
236,Yamato Machida,jp JPN,"MF,FW",Oita Trinita,31,1989,26.2,,,,,,,,,,,,,,,,,,,,,Matches
237,Shuto Machino,jp JPN,FW,Shonan Bellmare,21,1999,19.8,,,,,,,,,,,,,,,,,,,,,Matches
238,Hiroyuki Mae,jp JPN,MF,Avispa Fukuoka,25,1995,37.1,,,,,,,,,,,,,,,,,,,,,Matches
239,Daizen Maeda,jp JPN,"MF,FW",Marinos,23,1997,31.1,,,,,,,,,,,,,,,,,,,,,Matches
240,Naoki Maeda,jp JPN,"MF,FW",Grampus,26,1994,19.1,,,,,,,,,,,,,,,,,,,,,Matches
241,Yota Maejima,jp JPN,"DF,MF",Yokohama FC,23,1997,19.2,,,,,,,,,,,,,,,,,,,,,Matches
242,Daiya Maekawa,jp JPN,GK,Vissel Kobe,26,1994,18.7,,,,,,,,,,,,,,,,,,,,,Matches
243,Maguinho,br BRA,"MF,DF",Yokohama FC,28,1993,19.4,,,,,,,,,,,,,,,,,,,,,Matches
244,Tomoaki Makino,jp JPN,DF,Urawa Reds,33,1987,25.7,,,,,,,,,,,,,,,,,,,,,Matches
245,Marcinho,br BRA,"FW,MF",Kawa Frontale,25,1995,7.8,,,,,,,,,,,,,,,,,,,,,Matches
246,Thiago Martins,br BRA,DF,Marinos,25,1995,32.0,,,,,,,,,,,,,,,,,,,,,Matches
247,Quenten Martinus,cw CUW,MF,Vegalta Sendai,29,1991,8.1,,,,,,,,,,,,,,,,,,,,,Matches
248,Yusuke Maruhashi,jp JPN,DF,Cerezo Osaka,30,1990,31.5,,,,,,,,,,,,,,,,,,,,,Matches
249,Yuichi Maruyama,jp JPN,DF,Grampus,31,1989,16.6,,,,,,,,,,,,,,,,,,,,,Matches
250,John Mary,cm CMR,FW,Avispa Fukuoka,27,1993,6.1,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
251,Takumi Mase,jp JPN,DF,Vegalta Sendai,22,1998,31.5,,,,,,,,,,,,,,,,,,,,,Matches
252,Ayub Masika,ke KEN,MF,Vissel Kobe,28,1992,2.1,,,,,,,,,,,,,,,,,,,,,Matches
253,Asahi Masuyama,jp JPN,MF,Oita Trinita,24,1997,7.3,,,,,,,,,,,,,,,,,,,,,Matches
254,Asahi Masuyama,jp JPN,MF,Vissel Kobe,24,1997,4.6,,,,,,,,,,,,,,,,,,,,,Matches
255,Simão Mate Junior,mz MOZ,DF,Vegalta Sendai,32,1988,3.6,,,,,,,,,,,,,,,,,,,,,Matches
256,Mateus,br BRA,MF,Grampus,26,1994,31.7,,,,,,,,,,,,,,,,,,,,,Matches
257,Ken Matsubara,jp JPN,DF,Marinos,27,1993,15.6,,,,,,,,,,,,,,,,,,,,,Matches
258,Riki Matsuda,jp JPN,FW,Cerezo Osaka,29,1991,4.2,,,,,,,,,,,,,,,,,,,,,Matches
259,Riku Matsuda,jp JPN,DF,Cerezo Osaka,29,1991,34.0,,,,,,,,,,,,,,,,,,,,,Matches
260,Daisuke Matsumoto,jp JPN,MF,Sagan Tosu,22,1998,1.3,,,,,,,,,,,,,,,,,,,,,Matches
261,Rei Matsumoto,jp JPN,"MF,DF",Oita Trinita,32,1988,9.3,,,,,,,,,,,,,,,,,,,,,Matches
262,Taishi Matsumoto,jp JPN,MF,Sanfrecce,22,1998,3.6,,,,,,,,,,,,,,,,,,,,,Matches
263,Taishi Matsumoto,jp JPN,MF,Cerezo Osaka,22,1998,0.3,,,,,,,,,,,,,,,,,,,,,Matches
264,Yuta Matsumura,id IDN,MF,Kashima Antlers,19,2001,8.5,,,,,,,,,,,,,,,,,,,,,Matches
265,Yusuke Matsuo,jp JPN,MF,Yokohama FC,23,1997,25.2,,,,,,,,,,,,,,,,,,,,,Matches
266,Daiki Matsuoka,jp JPN,MF,S-Pulse,19,2001,14.9,,,,,,,,,,,,,,,,,,,,,Matches
267,Daiki Matsuoka,jp JPN,MF,Sagan Tosu,19,2001,20.3,,,,,,,,,,,,,,,,,,,,,Matches
268,Yoshiki Matsushita,jp JPN,MF,Vegalta Sendai,26,1994,20.8,,,,,,,,,,,,,,,,,,,,,Matches
269,Takuya Matsuura,jp JPN,"MF,FW",Yokohama FC,32,1988,10.7,,,,,,,,,,,,,,,,,,,,,Matches
270,Bruno Mendes,br BRA,FW,Avispa Fukuoka,26,1994,13.5,,,,,,,,,,,,,,,,,,,,,Matches
271,Masatoshi Mihara,jp JPN,MF,Kashiwa Reysol,32,1988,8.0,,,,,,,,,,,,,,,,,,,,,Matches
272,Kenedyegbus Mikuni,jp JPN,"MF,FW",Avispa Fukuoka,20,2000,1.5,,,,,,,,,,,,,,,,,,,,,Matches
273,Kim Min-tae,kr KOR,DF,Grampus,27,1993,11.9,,,,,,,,,,,,,,,,,,,,,Matches
274,Kim Min-tae,kr KOR,DF,Consa Sapporo,27,1993,7.0,,,,,,,,,,,,,,,,,,,,,Matches
275,Yusuke Minagawa,jp JPN,FW,Vegalta Sendai,29,1991,4.6,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
276,Yuta Minami,jp JPN,GK,Yokohama FC,41,1979,8.0,,,,,,,,,,,,,,,,,,,,,Matches
277,Saulo Mineiro,br BRA,"FW,MF",Yokohama FC,23,1997,7.6,,,,,,,,,,,,,,,,,,,,,Matches
278,Kento Misao,jp JPN,MF,Kashima Antlers,24,1996,28.8,,,,,,,,,,,,,,,,,,,,,Matches
279,Yuto Misao,jp JPN,DF,Oita Trinita,29,1991,34.5,,,,,,,,,,,,,,,,,,,,,Matches
280,Hirotaka Mita,jp JPN,MF,FC Tokyo,30,1990,12.2,,,,,,,,,,,,,,,,,,,,,Matches
281,Kaoru Mitoma,jp JPN,"FW,MF",Kawa Frontale,23,1997,13.6,,,,,,,,,,,,,,,,,,,,,Matches
282,Hiromu Mitsumaru,jp JPN,"MF,DF",Kashiwa Reysol,27,1993,26.1,,,,,,,,,,,,,,,,,,,,,Matches
283,Genta Miura,jp JPN,DF,Gamba Osaka,25,1995,25.0,,,,,,,,,,,,,,,,,,,,,Matches
284,Kazuyoshi Miura,jp JPN,FW,Yokohama FC,53,1967,0.0,,,,,,,,,,,,,,,,,,,,,Matches
285,Daiki Miya,jp JPN,DF,Avispa Fukuoka,24,1996,21.6,,,,,,,,,,,,,,,,,,,,,Matches
286,Ten Miyagi,jp JPN,"FW,MF",Kawa Frontale,19,2001,5.0,,,,,,,,,,,,,,,,,,,,,Matches
287,Kazuya Miyahara,jp JPN,DF,Grampus,24,1996,19.4,,,,,,,,,,,,,,,,,,,,,Matches
288,Ryo Miyaichi,jp JPN,"FW,MF",Marinos,28,1992,0.5,,,,,,,,,,,,,,,,,,,,,Matches
289,Kota Miyamoto,jp JPN,MF,S-Pulse,24,1996,14.8,,,,,,,,,,,,,,,,,,,,,Matches
290,Taisei Miyashiro,jp JPN,"MF,FW",Vortis,20,2000,28.3,,,,,,,,,,,,,,,,,,,,,Matches
291,Hiroki Miyazawa,jp JPN,"DF,MF",Consa Sapporo,31,1989,26.9,,,,,,,,,,,,,,,,,,,,,Matches
292,Hidetoshi Miyuki,jp JPN,MF,Shonan Bellmare,27,1993,5.6,,,,,,,,,,,,,,,,,,,,,Matches
293,Kota Mizunuma,jp JPN,MF,Marinos,30,1990,7.8,,,,,,,,,,,,,,,,,,,,,Matches
294,Shunya Mori,jp JPN,DF,Shonan Bellmare,25,1995,0.2,,,,,,,,,,,,,,,,,,,,,Matches
295,Masato Morishige,jp JPN,"DF,MF",FC Tokyo,33,1987,33.7,,,,,,,,,,,,,,,,,,,,,Matches
296,Tsukasa Morishima,jp JPN,MF,Sanfrecce,23,1997,23.6,,,,,,,,,,,,,,,,,,,,,Matches
297,Ryoya Morishita,jp JPN,"MF,DF",Grampus,23,1997,10.2,,,,,,,,,,,,,,,,,,,,,Matches
298,Masaaki Murakami,jp JPN,GK,Avispa Fukuoka,28,1992,37.0,,,,,,,,,,,,,,,,,,,,,Matches
299,Yoshinori Mutō,jp JPN,"FW,MF",Vissel Kobe,28,1992,13.1,,,,,,,,,,,,,,,,,,,,,Matches
300,Yuki Muto,jp JPN,"MF,FW",Kashiwa Reysol,32,1988,7.6,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
301,Yuki Muto,jp JPN,"FW,MF",Urawa Reds,32,1988,8.4,,,,,,,,,,,,,,,,,,,,,Matches
302,Kato Mutsuki,jp JPN,FW,Cerezo Osaka,23,1997,18.0,,,,,,,,,,,,,,,,,,,,,Matches
303,Kensuke Nagai,jp JPN,"FW,MF",FC Tokyo,31,1989,16.3,,,,,,,,,,,,,,,,,,,,,Matches
304,Ryo Nagai,jp JPN,FW,Sanfrecce,29,1991,0.5,,,,,,,,,,,,,,,,,,,,,Matches
305,Ryota Nagaki,jp JPN,MF,Kashima Antlers,32,1988,5.1,,,,,,,,,,,,,,,,,,,,,Matches
306,Yoichi Naganuma,jp JPN,MF,Sanfrecce,23,1997,4.2,,,,,,,,,,,,,,,,,,,,,Matches
307,Kazuki Nagasawa,jp JPN,MF,Grampus,29,1991,15.8,,,,,,,,,,,,,,,,,,,,,Matches
308,Shun Nagasawa,jp JPN,FW,Oita Trinita,32,1988,19.5,,,,,,,,,,,,,,,,,,,,,Matches
309,Katsuya Nagato,jp JPN,DF,Kashima Antlers,26,1995,22.8,,,,,,,,,,,,,,,,,,,,,Matches
310,Yuto Nagatomo,jp JPN,DF,FC Tokyo,34,1986,10.0,,,,,,,,,,,,,,,,,,,,,Matches
311,Shintaro Nago,jp JPN,MF,Shonan Bellmare,24,1996,12.8,,,,,,,,,,,,,,,,,,,,,Matches
312,Teruhito Nakagawa,jp JPN,MF,Marinos,28,1992,16.1,,,,,,,,,,,,,,,,,,,,,Matches
313,Shogo Nakahara,jp JPN,MF,Vegalta Sendai,26,1994,6.1,,,,,,,,,,,,,,,,,,,,,Matches
314,Motohiko Nakajima,jp JPN,MF,Cerezo Osaka,21,1999,4.0,,,,,,,,,,,,,,,,,,,,,Matches
315,Hayato Nakama,jp JPN,MF,Kashiwa Reysol,28,1992,16.0,,,,,,,,,,,,,,,,,,,,,Matches
316,Hotaka Nakamura,jp JPN,DF,FC Tokyo,23,1997,5.3,,,,,,,,,,,,,,,,,,,,,Matches
317,Jiro Nakamura,jp JPN,MF,Gamba Osaka,17,2003,0.0,,,,,,,,,,,,,,,,,,,,,Matches
318,Keita Nakamura,jp JPN,MF,S-Pulse,27,1993,9.3,,,,,,,,,,,,,,,,,,,,,Matches
319,Shun Nakamura,jp JPN,MF,Shonan Bellmare,26,1994,8.3,,,,,,,,,,,,,,,,,,,,,Matches
320,Shun Nakamura,jp JPN,MF,Avispa Fukuoka,26,1994,11.0,,,,,,,,,,,,,,,,,,,,,Matches
321,Shunsuke Nakamura,jp JPN,MF,Yokohama FC,42,1978,2.8,,,,,,,,,,,,,,,,,,,,,Matches
322,Takumi Nakamura,jp JPN,DF,FC Tokyo,19,2001,13.2,,,,,,,,,,,,,,,,,,,,,Matches
323,Kojiro Nakano,jp JPN,GK,Consa Sapporo,21,1999,2.0,,,,,,,,,,,,,,,,,,,,,Matches
324,Shinya Nakano,jp JPN,DF,Sagan Tosu,17,2003,20.0,,,,,,,,,,,,,,,,,,,,,Matches
325,Yoshihiro Nakano,jp JPN,MF,Sagan Tosu,27,1993,21.2,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
326,Yuya Nakasaka,jp JPN,MF,Vissel Kobe,23,1997,15.5,,,,,,,,,,,,,,,,,,,,,Matches
327,Taika Nakashima,jp JPN,FW,Consa Sapporo,18,2002,0.3,,,,,,,,,,,,,,,,,,,,,Matches
328,Daiki Nakashio,jp JPN,DF,Yokohama FC,23,1997,4.0,,,,,,,,,,,,,,,,,,,,,Matches
329,Shinnosuke Nakatani,jp JPN,DF,Grampus,24,1996,34.2,,,,,,,,,,,,,,,,,,,,,Matches
330,Katsuhiro Nakayama,jp JPN,MF,S-Pulse,24,1996,17.4,,,,,,,,,,,,,,,,,,,,,Matches
331,Tatsuki Nara,jp JPN,DF,Avispa Fukuoka,27,1993,23.0,,,,,,,,,,,,,,,,,,,,,Matches
332,Shumpei Naruse,jp JPN,DF,Grampus,20,2001,15.9,,,,,,,,,,,,,,,,,,,,,Matches
333,Ryo Nemoto,jp JPN,FW,Shonan Bellmare,20,2000,0.1,,,,,,,,,,,,,,,,,,,,,Matches
334,Daigo Nishi,jp JPN,DF,Urawa Reds,33,1987,19.5,,,,,,,,,,,,,,,,,,,,,Matches
335,Jun Nishikawa,jp JPN,"MF,FW",Cerezo Osaka,18,2002,6.1,,,,,,,,,,,,,,,,,,,,,Matches
336,Shusaku Nishikawa,jp JPN,GK,Urawa Reds,34,1986,32.0,,,,,,,,,,,,,,,,,,,,,Matches
337,Takuma Nishimura,jp JPN,FW,Vegalta Sendai,24,1996,23.9,,,,,,,,,,,,,,,,,,,,,Matches
338,Shota Nishino,jp JPN,DF,Consa Sapporo,16,2004,0.0,,,,,,,,,,,,,,,,,,,,,Matches
339,Taiyo Nishino,jp JPN,MF,Vortis,18,2002,1.2,,,,,,,,,,,,,,,,,,,,,Matches
340,Ryuya Nishio,,DF,Cerezo Osaka,19,2001,28.4,,,,,,,,,,,,,,,,,,,,,Matches
341,Kazuki Nishiya,jp JPN,MF,Vortis,27,1993,17.2,,,,,,,,,,,,,,,,,,,,,Matches
342,Kenta Nishizawa,jp JPN,MF,S-Pulse,24,1996,15.1,,,,,,,,,,,,,,,,,,,,,Matches
343,Rio Nitta,jp JPN,FW,Sagan Tosu,17,2003,0.1,,,,,,,,,,,,,,,,,,,,,Matches
344,Kyohei Noborizato,jp JPN,DF,Kawa Frontale,30,1990,25.5,,,,,,,,,,,,,,,,,,,,,Matches
345,Junya Nodake,jp JPN,MF,Oita Trinita,26,1994,2.4,,,,,,,,,,,,,,,,,,,,,Matches
346,Yuki Nogami,jp JPN,DF,Sanfrecce,29,1991,33.8,,,,,,,,,,,,,,,,,,,,,Matches
347,Naoki Nomura,jp JPN,MF,Oita Trinita,29,1991,7.2,,,,,,,,,,,,,,,,,,,,,Matches
348,Powell Obi,jp JPN,GK,Marinos,23,1997,5.0,,,,,,,,,,,,,,,,,,,,,Matches
349,Yutaro Oda,jp JPN,MF,Vissel Kobe,19,2001,0.9,,,,,,,,,,,,,,,,,,,,,Matches
350,Chikeluba Ofoedu,ng NGA,FW,Sagan Tosu,28,1992,0.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
351,Tsuyoshi Ogashiwa,jp JPN,"FW,MF",Consa Sapporo,22,1998,25.9,,,,,,,,,,,,,,,,,,,,,Matches
352,Keijiro Ogawa,jp JPN,MF,Yokohama FC,28,1992,11.7,,,,,,,,,,,,,,,,,,,,,Matches
353,Ryoya Ogawa,jp JPN,DF,FC Tokyo,24,1996,28.0,,,,,,,,,,,,,,,,,,,,,Matches
354,Takahiro Ogihara,jp JPN,MF,Marinos,29,1991,24.3,,,,,,,,,,,,,,,,,,,,,Matches
355,Yuki Ohashi,jp JPN,FW,Shonan Bellmare,24,1996,22.1,,,,,,,,,,,,,,,,,,,,,Matches
356,Ayumu Ohata,jp JPN,DF,Sagan Tosu,19,2001,19.6,,,,,,,,,,,,,,,,,,,,,Matches
357,Kazuki Oiwa,jp JPN,DF,Shonan Bellmare,31,1989,19.8,,,,,,,,,,,,,,,,,,,,,Matches
358,Takuya Okamoto,jp JPN,MF,Shonan Bellmare,28,1992,29.5,,,,,,,,,,,,,,,,,,,,,Matches
359,Daihachi Okamura,jp JPN,DF,Consa Sapporo,23,1997,5.2,,,,,,,,,,,,,,,,,,,,,Matches
360,Shuto Okaniwa,jp JPN,DF,FC Tokyo,21,1999,0.5,,,,,,,,,,,,,,,,,,,,,Matches
361,Makoto Okazaki,jp JPN,DF,FC Tokyo,22,1998,5.9,,,,,,,,,,,,,,,,,,,,,Matches
362,Yuya Oki,jp JPN,GK,Kashima Antlers,21,1999,33.0,,,,,,,,,,,,,,,,,,,,,Matches
363,Tomoaki Okubo,jp JPN,MF,Urawa Reds,22,1998,8.1,,,,,,,,,,,,,,,,,,,,,Matches
364,Yoshito Ōkubo,jp JPN,FW,Cerezo Osaka,38,1982,15.6,,,,,,,,,,,,,,,,,,,,,Matches
365,Ryo Okui,jp JPN,DF,S-Pulse,30,1990,14.1,,,,,,,,,,,,,,,,,,,,,Matches
366,Hiroaki Okuno,jp JPN,MF,Cerezo Osaka,31,1989,30.2,,,,,,,,,,,,,,,,,,,,,Matches
367,Kohei Okuno,jp JPN,"MF,DF",Gamba Osaka,20,2000,15.4,,,,,,,,,,,,,,,,,,,,,Matches
368,Diego Oliveira,br BRA,FW,FC Tokyo,30,1990,27.1,,,,,,,,,,,,,,,,,,,,,Matches
369,Takuma Ominami,jp JPN,DF,Kashiwa Reysol,23,1997,29.0,,,,,,,,,,,,,,,,,,,,,Matches
370,Rio Omori,jp JPN,DF,FC Tokyo,18,2002,0.5,,,,,,,,,,,,,,,,,,,,,Matches
371,Ado Onaiwu,jp JPN,FW,Marinos,25,1995,14.0,,,,,,,,,,,,,,,,,,,,,Matches
372,Kazunari Ono,jp JPN,DF,Shonan Bellmare,31,1989,16.1,,,,,,,,,,,,,,,,,,,,,Matches
373,Shinji Ono,jp JPN,MF,Consa Sapporo,41,1979,0.2,,,,,,,,,,,,,,,,,,,,,Matches
374,Yuji Ono,jp JPN,MF,Gamba Osaka,28,1992,1.9,,,,,,,,,,,,,,,,,,,,,Matches
375,Kosuke Onose,jp JPN,"MF,DF",Gamba Osaka,27,1993,21.9,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
376,Leo Osaki,jp JPN,"MF,DF",Vissel Kobe,29,1991,6.5,,,,,,,,,,,,,,,,,,,,,Matches
377,Keisuke Ōsako,jp JPN,GK,Sanfrecce,21,1999,27.0,,,,,,,,,,,,,,,,,,,,,Matches
378,Yuya Osako,jp JPN,FW,Vissel Kobe,30,1990,9.8,,,,,,,,,,,,,,,,,,,,,Matches
379,Ryota Oshima,jp JPN,MF,Kawa Frontale,28,1993,2.8,,,,,,,,,,,,,,,,,,,,,Matches
380,Hidekazu Otani,jp JPN,MF,Kashiwa Reysol,36,1984,2.0,,,,,,,,,,,,,,,,,,,,,Matches
381,Emmanuel Oti,gh GHA,MF,Vegalta Sendai,24,1996,1.3,,,,,,,,,,,,,,,,,,,,,Matches
382,Joan Oumari,lb LIB,DF,FC Tokyo,32,1988,17.2,,,,,,,,,,,,,,,,,,,,,Matches
383,Tiago Pagnussat,br BRA,DF,Cerezo Osaka,30,1990,12.4,,,,,,,,,,,,,,,,,,,,,Matches
384,Patric,br BRA,FW,Gamba Osaka,33,1987,23.4,,,,,,,,,,,,,,,,,,,,,Matches
385,Leandro Pereira,br BRA,FW,Gamba Osaka,29,1991,14.6,,,,,,,,,,,,,,,,,,,,,Matches
386,Matheus Pereira,br BRA,"DF,MF",Oita Trinita,24,1997,3.0,,,,,,,,,,,,,,,,,,,,,Matches
387,Diego Pituca,br BRA,MF,Kashima Antlers,28,1992,21.4,,,,,,,,,,,,,,,,,,,,,Matches
388,William Popp,jp JPN,GK,Oita Trinita,26,1994,14.0,,,,,,,,,,,,,,,,,,,,,Matches
389,Pedro Raul,br BRA,FW,Kashiwa Reysol,24,1996,6.1,,,,,,,,,,,,,,,,,,,,,Matches
390,Renato,br BRA,MF,S-Pulse,29,1992,1.4,,,,,,,,,,,,,,,,,,,,,Matches
391,Rhayner,br BRA,MF,Sanfrecce,30,1990,15.6,,,,,,,,,,,,,,,,,,,,,Matches
392,Richardson,br BRA,MF,Kashiwa Reysol,29,1991,19.6,,,,,,,,,,,,,,,,,,,,,Matches
393,Riuler,br BRA,MF,Shonan Bellmare,23,1998,0.8,,,,,,,,,,,,,,,,,,,,,Matches
394,Yuji Rokutan,jp JPN,GK,Yokohama FC,33,1987,10.0,,,,,,,,,,,,,,,,,,,,,Matches
395,Ronaldo,br BRA,MF,S-Pulse,24,1996,9.1,,,,,,,,,,,,,,,,,,,,,Matches
396,Ryunosuke Sagara,jp JPN,MF,Sagan Tosu,18,2002,1.5,,,,,,,,,,,,,,,,,,,,,Matches
397,Kosuke Saito,jp JPN,"MF,FW",Yokohama FC,23,1997,5.5,,,,,,,,,,,,,,,,,,,,,Matches
398,Manabu Saitō,jp JPN,"MF,FW",Grampus,30,1990,7.9,,,,,,,,,,,,,,,,,,,,,Matches
399,Keisuke Saka,jp JPN,DF,Oita Trinita,25,1995,17.2,,,,,,,,,,,,,,,,,,,,,Matches
400,Gōtoku Sakai,jp JPN,DF,Vissel Kobe,29,1991,38.0,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
401,Hiroki Sakai,jp JPN,DF,Urawa Reds,30,1990,12.9,,,,,,,,,,,,,,,,,,,,,Matches
402,Noriyoshi Sakai,jp JPN,FW,Sagan Tosu,28,1992,16.8,,,,,,,,,,,,,,,,,,,,,Matches
403,Tatsuhiro Sakamoto,jp JPN,MF,Cerezo Osaka,24,1996,31.5,,,,,,,,,,,,,,,,,,,,,Matches
404,Tatsunori Sakurai,jp JPN,MF,Vissel Kobe,18,2002,0.8,,,,,,,,,,,,,,,,,,,,,Matches
