rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.20,0.60,10.5,0,0,0,1.9,1.9,0.13,+1.1,+1.1,Matches
3,Mehdi Abeid,dz ALG,MF,Nantes,27,1992,14.7,0,20,0,0.0,1.36,0.00,0.00,,23.9,1,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,27,1993,32.9,3,29,10,34.5,0.88,0.30,0.10,0.30,26.8,0,0,0,1.5,1.5,0.05,+1.5,+1.5,Matches
5,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,12.5,0,0,0,2.1,2.1,0.11,+0.9,+0.9,Matches
6,Matthis Abline,fr FRA,FW,Rennes,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,24,1995,14.0,0,13,3,23.1,0.93,0.21,0.00,0.00,13.0,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
8,Yacine Adli,fr FRA,MF,Bordeaux,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,20.0,1,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
9,Nayef Aguerd,ma MAR,DF,Rennes,24,1996,35.0,3,28,6,21.4,0.80,0.17,0.11,0.50,10.1,0,0,0,3.2,3.2,0.12,-0.2,-0.2,Matches
10,Ruben Aguilar,fr FRA,"DF,MF",Monaco,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,11.0,0,0,0,0.9,0.9,0.11,+0.1,+0.1,Matches
11,Matteo Ahlinvi,bj BEN,MF,Nîmes,21,1999,10.0,2,12,7,58.3,1.20,0.70,0.17,0.29,22.5,0,0,0,1.4,1.4,0.11,+0.6,+0.6,Matches
12,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,26,1994,23.8,2,31,6,19.4,1.30,0.25,0.06,0.33,21.3,0,0,0,2.3,2.1,0.07,-0.3,-0.1,Matches
