squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
América,33,27.4,51.0,34,374,3060,34.0,44,28,72,39,5,6,64,9,47.5,42.8,32.7,75.5,572,1119,1.29,0.82,2.12,1.15,1.97,1.4,0.96,2.36,1.26,2.22
Atlas,23,27.2,51.4,34,374,3060,34.0,39,29,68,36,3,7,76,6,39.3,33.7,26.3,60.0,416,1150,1.15,0.85,2.0,1.06,1.91,1.16,0.77,1.93,0.99,1.76
Atlético,31,26.7,44.3,34,374,3060,34.0,38,25,63,32,6,10,78,5,47.5,39.6,30.6,70.2,395,1029,1.12,0.74,1.85,0.94,1.68,1.4,0.9,2.3,1.17,2.06
Cruz Azul,38,28.6,49.1,34,374,3060,34.0,39,24,63,32,7,9,88,4,38.5,31.2,25.3,56.5,417,1130,1.15,0.71,1.85,0.94,1.65,1.13,0.74,1.88,0.92,1.66
FC Juárez,41,28.3,47.3,34,374,3060,34.0,24,15,39,20,4,7,70,6,28.5,22.9,18.9,41.8,475,996,0.71,0.44,1.15,0.59,1.03,0.84,0.56,1.4,0.67,1.23
Guadalajara,35,25.9,54.7,34,374,3060,34.0,36,21,57,31,5,5,75,7,35.0,31.1,22.7,53.8,541,1169,1.06,0.62,1.68,0.91,1.53,1.03,0.67,1.7,0.91,1.58
León,31,28.8,56.6,34,374,3060,34.0,35,21,56,30,5,8,82,9,50.4,44.2,34.4,78.5,561,1423,1.03,0.62,1.65,0.88,1.5,1.48,1.01,2.49,1.3,2.31
Mazatlán,33,27.6,44.5,34,366,3060,34.0,36,23,59,31,5,6,89,6,31.3,26.7,20.9,47.6,364,861,1.06,0.68,1.74,0.91,1.59,0.92,0.62,1.54,0.78,1.4
Monterrey,31,27.5,50.8,34,374,3060,34.0,40,29,69,38,2,7,72,9,50.6,45.1,34.5,79.5,550,1359,1.18,0.85,2.03,1.12,1.97,1.49,1.01,2.5,1.33,2.34
Necaxa,37,26.2,50.3,34,374,3060,34.0,35,27,62,31,4,5,78,3,41.0,37.1,28.4,65.6,543,1182,1.03,0.79,1.82,0.91,1.71,1.21,0.84,2.04,1.09,1.93
Pachuca,31,27.7,50.3,34,374,3060,34.0,46,33,79,42,4,5,63,6,51.0,47.2,35.8,83.0,627,1290,1.35,0.97,2.32,1.24,2.21,1.5,1.05,2.55,1.39,2.44
Puebla,31,27.6,50.0,34,374,3060,34.0,40,22,62,31,9,10,93,8,48.9,41.0,30.2,71.2,531,948,1.18,0.65,1.82,0.91,1.56,1.44,0.89,2.33,1.21,2.09
Querétaro,41,28.7,47.6,34,374,3060,34.0,27,15,42,23,4,5,81,8,39.1,35.1,26.7,61.8,436,972,0.79,0.44,1.24,0.68,1.12,1.15,0.78,1.94,1.03,1.82
Santos,31,25.4,49.1,34,374,3060,34.0,46,27,73,38,8,9,67,5,47.9,40.9,30.5,71.4,538,1142,1.35,0.79,2.15,1.12,1.91,1.41,0.9,2.31,1.2,2.1
Tijuana,35,27.0,47.7,34,374,3060,34.0,27,16,43,23,4,7,81,4,41.6,36.5,26.6,63.1,491,1173,0.79,0.47,1.26,0.68,1.15,1.22,0.78,2.01,1.07,1.86
Toluca,35,27.2,52.0,34,374,3060,34.0,41,27,68,36,5,8,86,5,41.2,34.8,27.6,62.4,441,1088,1.21,0.79,2.0,1.06,1.85,1.21,0.81,2.02,1.02,1.84
UANL,29,30.2,54.9,34,374,3060,34.0,56,40,96,51,5,6,65,6,48.9,44.3,33.9,78.1,783,1484,1.65,1.18,2.82,1.5,2.68,1.44,1.0,2.43,1.3,2.3
UNAM,35,27.3,48.5,34,374,3060,34.0,41,28,69,39,2,3,73,8,40.5,38.1,31.4,69.5,552,1153,1.21,0.82,2.03,1.15,1.97,1.19,0.92,2.11,1.12,2.04
