rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
33,Lorenz Assignon,tg TOG,DF,Burnley,23,2000,13.7,352,485,72.6,5411,1984,182,225,152,194,10,31,2,2.6,1.6,-0.6,13,16,10,5,34,Matches
34,Serge Aurier,ci CIV,"DF,MF",Nott'ham Forest,30,1992,9.3,348,448,77.7,5238,2147,191,225,130,156,17,45,2,0.5,0.5,+1.5,4,31,9,4,47,Matches
35,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,25,1997,11.6,127,175,72.6,1594,312,88,111,34,47,3,5,3,1.7,0.9,+1.3,10,6,3,0,14,Matches
36,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,31,1991,28.3,681,920,74.0,9753,1856,417,478,213,285,24,74,7,4.2,2.7,+2.8,25,43,26,10,63,Matches
37,Benoît Badiashile,fr FRA,DF,Chelsea,22,2001,14.9,1065,1173,90.8,18737,7087,442,463,543,584,71,106,1,1.5,0.9,-0.5,6,48,4,0,46,Matches
38,Leon Bailey,jm JAM,"MF,FW",Aston Villa,25,1997,23.0,573,790,72.5,8993,2559,327,391,184,242,48,82,9,9.2,7.3,-0.2,52,38,51,7,82,Matches
39,Stefan Bajcetic,es ESP,MF,Liverpool,18,2004,0.3,7,10,70.0,101,44,3,3,4,6,0,0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
40,George Baldock,gr GRE,DF,Sheffield Utd,30,1993,10.8,291,397,73.3,4602,1810,169,191,100,124,18,52,1,0.8,0.6,+0.2,7,18,11,4,31,Matches
41,Carlos Baleba,cm CMR,MF,Brighton,19,2004,14.7,713,775,92.0,10618,2185,402,429,267,278,24,30,0,0.3,0.3,-0.3,8,38,3,0,50,Matches
42,Fodé Ballo-Touré,sn SEN,"DF,MF",Fulham,26,1997,0.8,56,78,71.8,1002,224,23,30,26,33,6,8,0,0.0,0.0,0.0,0,3,0,0,0,Matches
43,Shandon Baptiste,gd GRN,MF,Brentford,25,1998,2.5,66,90,73.3,1144,351,33,39,25,28,7,15,1,0.2,0.4,+0.8,4,7,3,2,5,Matches
44,Valentín Barco,ar ARG,"DF,FW",Brighton,19,2004,3.4,179,233,76.8,2509,864,120,131,47,64,7,23,0,0.2,0.4,-0.2,4,10,3,0,14,Matches
45,Ross Barkley,eng ENG,MF,Luton Town,29,1993,29.1,1218,1474,82.6,21602,6544,550,611,473,533,147,226,4,3.7,2.7,+0.3,44,138,27,1,163,Matches
46,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,25,1997,8.9,208,272,76.5,2981,750,128,147,68,84,7,16,3,3.2,1.9,-0.2,13,11,17,3,34,Matches
