rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,recov,won,lost,won_aerial,matches
1,Charlie Adam,sct SCO,MF,Reading,33,1985,8.7,4,0,0,22,12,0,66,11,12,0,0,0,76,14,14,50.0,Matches
2,Tosin Adarabioyo,eng ENG,DF,Blackburn,21,1997,33.0,0,0,0,11,7,0,1,64,17,0,2,0,192,108,46,70.1,Matches
3,Albert Adomah,gh GHA,FW,Cardiff City,31,1987,8.1,2,0,0,13,11,1,40,3,8,0,0,0,50,6,15,28.6,Matches
4,Albert Adomah,gh GHA,"FW,MF",Nott'ham Forest,31,1987,6.8,2,0,0,10,6,2,29,5,10,0,0,0,36,4,13,23.5,Matches
5,Benik Afobe,cd COD,FW,Stoke City,26,1993,0.8,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,40.0,Matches
6,Benik Afobe,cd COD,FW,Bristol City,26,1993,8.2,0,0,0,10,10,6,2,1,2,0,0,0,12,33,64,34.0,Matches
7,Semi Ajayi,ng NGA,DF,West Brom,25,1993,42.0,5,0,0,40,18,0,6,41,35,0,1,1,231,157,67,70.1,Matches
8,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,27,1992,25.1,8,0,0,38,36,8,82,30,36,0,1,0,107,46,69,40.0,Matches
9,Joe Allen,wls WAL,MF,Stoke City,29,1990,32.6,5,1,0,38,37,0,16,66,49,0,0,0,215,43,60,41.7,Matches
10,Sone Aluko,ng NGA,"FW,MF",Reading,30,1989,0.5,1,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0.0,Matches
11,Sammy Ameobi,eng ENG,"FW,MF",Nott'ham Forest,27,1992,34.4,7,0,0,55,48,8,93,13,32,0,0,0,181,91,133,40.6,Matches
12,Luke Amos,eng ENG,MF,QPR,22,1997,23.5,5,0,0,41,28,0,11,34,32,0,0,0,132,32,30,51.6,Matches
13,Chuks Aneke,eng ENG,"FW,MF",Charlton Ath,26,1993,6.5,2,0,0,34,9,8,4,0,3,1,0,0,28,38,46,45.2,Matches
14,Felipe Araruna,br BRA,"MF,DF",Reading,23,1996,1.8,0,0,0,1,4,1,1,5,0,0,0,0,10,1,1,50.0,Matches
15,Adam Armstrong,eng ENG,"FW,MF",Blackburn,22,1997,38.6,0,0,0,21,36,29,92,16,8,0,0,0,122,10,43,18.9,Matches
16,Harry Arter,ie IRL,MF,Fulham,29,1989,19.2,7,1,1,32,33,0,8,14,30,0,0,0,130,9,12,42.9,Matches
17,Britt Assombalonga,cd COD,FW,Middlesbrough,26,1992,27.9,2,0,0,57,43,28,5,3,3,0,0,0,61,68,169,28.7,Matches
18,Jean-Kévin Augustin,fr FRA,FW,Leeds United,22,1997,0.6,0,0,0,1,2,1,0,0,0,0,0,0,1,1,7,12.5,Matches
