rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Charlie Adam,sct SCO,MF,Reading,33,1985,8.7,669,17,133,374,182,13,668,22,18,81.8,4,18.2,354,1878,979,14,23,1,18,9,397,22,Matches
2,Tosin Adarabioyo,eng ENG,DF,Blackburn,21,1997,33.0,2031,249,1139,856,53,28,2031,12,10,83.3,2,16.7,1028,4148,2378,11,3,1,13,7,1191,7,Matches
3,Albert Adomah,gh GHA,FW,Cardiff City,31,1987,8.1,314,8,54,103,169,21,314,18,15,83.3,3,16.7,226,1647,899,37,21,4,24,20,207,53,Matches
4,Albert Adomah,gh GHA,"FW,MF",Nott'ham Forest,31,1987,6.8,281,12,64,100,123,23,281,21,14,66.7,7,33.3,155,1321,675,29,16,4,24,23,161,46,Matches
5,Benik Afobe,cd COD,FW,Stoke City,26,1993,0.8,16,0,0,5,11,3,16,0,0,,0,,11,82,46,3,1,1,2,2,13,7,Matches
6,Benik Afobe,cd COD,FW,Bristol City,26,1993,8.2,239,10,15,97,129,42,238,13,8,61.5,5,38.5,127,818,212,12,9,5,26,11,175,49,Matches
7,Semi Ajayi,ng NGA,DF,West Brom,25,1993,42.0,2173,212,1104,1026,64,35,2173,19,13,68.4,6,31.6,1155,6093,3797,19,17,2,16,14,1223,7,Matches
8,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,27,1992,25.1,1727,47,519,643,574,78,1727,24,13,54.2,11,45.8,724,3648,2126,53,42,8,38,30,1054,186,Matches
9,Joe Allen,wls WAL,MF,Stoke City,29,1990,32.6,1646,49,267,965,435,45,1646,32,19,59.4,13,40.6,781,4126,1843,45,37,12,58,36,901,66,Matches
10,Sone Aluko,ng NGA,"FW,MF",Reading,30,1989,0.5,23,0,3,6,14,2,23,2,2,100.0,0,0.0,12,76,40,1,1,0,3,0,17,4,Matches
