rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,10,0,0,4,6,3,10,0,0,,0,,8,69,57,2,0,1,0,0,6,4,Matches
2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,1820,152,651,919,263,14,1820,14,8,57.1,6,42.9,752,2864,1464,23,15,4,27,8,837,47,Matches
3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,440,4,45,141,260,59,440,45,19,42.2,26,57.8,270,1902,721,27,23,10,53,16,301,106,Matches
4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,507,9,72,221,225,53,507,66,30,45.5,36,54.5,312,2505,1208,41,28,12,53,20,342,91,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,995,172,590,387,26,10,995,12,8,66.7,4,33.3,478,2629,1326,11,7,1,14,4,490,6,Matches
6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,407,2,28,136,248,36,407,39,18,46.2,21,53.8,240,1781,691,34,16,12,38,16,284,98,Matches
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,133,15,58,61,15,11,133,0,0,,0,,70,243,113,0,0,0,1,0,80,0,Matches
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,686,2,47,336,312,60,686,47,28,59.6,19,40.4,397,1424,519,18,24,6,66,30,502,111,Matches
9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,137,6,46,55,37,6,137,3,1,33.3,2,66.7,75,488,251,7,8,1,5,5,79,12,Matches
10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,95,2,11,43,44,9,95,14,8,57.1,6,42.9,55,420,199,4,5,1,18,7,63,20,Matches
