rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90,matches
518,Dani de Wit,nl NED,"MF,FW",AZ Alkmaar,23,1998,33,33,2837,31.5,8,4,12,8,0,0,4,0,8.5,8.5,3.7,12.2,24,84,148,0.25,0.13,0.38,0.25,0.38,0.27,0.12,0.39,0.27,0.39,Matches
519,Mees de Wit,nl NED,"DF,FW",Zwolle,23,1998,28,26,2324,25.8,4,0,4,4,0,0,6,0,1.7,1.7,2.4,4.2,93,142,95,0.15,0.00,0.15,0.15,0.15,0.07,0.09,0.16,0.07,0.16,Matches
520,Aslak Witry,no NOR,DF,AZ Alkmaar,25,1996,28,17,1394,15.5,1,1,2,1,0,0,0,0,0.4,0.4,1.0,1.4,23,73,62,0.06,0.06,0.13,0.06,0.13,0.03,0.06,0.09,0.03,0.09,Matches
521,Maximilian Wittek,de GER,"DF,MF",Vitesse,25,1995,25,25,2226,24.7,0,6,6,0,0,0,8,0,2.1,2.1,5.1,7.1,48,88,129,0.00,0.24,0.24,0.00,0.24,0.08,0.21,0.29,0.08,0.29,Matches
522,Ricky van Wolfswinkel,nl NED,FW,Twente,32,1989,32,31,2560,28.4,16,8,24,11,5,6,6,0,15.2,10.5,5.1,15.6,14,59,118,0.56,0.28,0.84,0.39,0.67,0.54,0.18,0.71,0.37,0.55,Matches
523,Lucas Woudenberg,nl NED,DF,Heerenveen,27,1994,19,16,1499,16.7,0,0,0,0,0,0,3,0,0.3,0.3,0.2,0.5,13,34,37,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
524,Luuk Wouters,nl NED,DF,RKC Waalwijk,22,1999,18,5,584,6.5,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,16,27,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
525,Romaric Yapi,fr FRA,"DF,FW",Vitesse,21,2000,11,3,295,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,14,7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,John Yeboah,ec ECU,"FW,MF",Willem II,21,2000,8,0,79,0.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,6,7,7,0.00,0.00,0.00,0.00,0.00,0.19,0.08,0.28,0.19,0.28,Matches
527,Ulrik Yttergård Jenssen,no NOR,DF,Willem II,25,1996,23,21,1881,20.9,0,0,0,0,0,0,3,1,0.0,0.0,0.5,0.5,16,88,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
528,Timo Zaal,nl NED,"DF,MF",Heerenveen,17,2004,2,0,13,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,1.85,1.85,0.00,1.85,Matches
529,Arthur Zagre,fr FRA,"DF,FW",Utrecht,19,2001,8,4,414,4.6,1,0,1,1,0,0,0,0,0.0,0.0,0.4,0.4,17,29,29,0.22,0.00,0.22,0.22,0.22,0.00,0.09,0.09,0.00,0.09,Matches
530,Eran Zahavi,il ISR,FW,PSV Eindhoven,34,1987,25,21,1516,16.8,11,7,18,11,0,0,0,0,10.7,10.7,4.1,14.8,20,49,111,0.65,0.42,1.07,0.65,1.07,0.64,0.24,0.88,0.64,0.88,Matches
531,Ramiz Zerrouki,dz ALG,MF,Twente,23,1998,32,31,2598,28.9,2,1,3,2,0,0,10,1,1.2,1.2,1.9,3.1,25,156,51,0.07,0.03,0.10,0.07,0.10,0.04,0.07,0.11,0.04,0.11,Matches
532,Rick Zuijderwijk,nl NED,"MF,FW",Willem II,20,2001,3,0,38,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,0.46,0.46,Matches
533,Dario Đumić,ba BIH,"DF,MF",Twente,29,1992,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
