rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl_challe,att,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,65,39,27,33,5,37,72,35,32,10,22,49,114,112,0,Matches
3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,13,10,4,4,5,5,13,8,15,0,15,6,19,3,0,Matches
4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,17,10,2,9,6,7,38,31,20,0,20,5,22,4,0,Matches
5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,32,13,23,7,2,15,23,8,28,15,13,49,81,91,1,Matches
6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,6,5,2,3,1,1,14,13,5,0,5,3,9,3,0,Matches
7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,7,5,3,4,0,5,6,1,0,0,0,2,9,2,0,Matches
8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,13,7,1,6,6,3,19,16,13,0,13,6,19,1,1,Matches
9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,4,2,3,1,0,1,1,0,3,0,3,3,7,8,1,Matches
10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,3,3,1,2,0,3,8,5,3,1,2,3,6,1,0,Matches
11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,63,40,27,31,5,34,58,24,38,15,23,43,106,53,2,Matches
12,Ben Aissa Ben Amar,ma MAR,DF,Utrecht,24,1997,1.0,3,1,2,1,0,1,1,0,3,3,0,0,3,5,0,Matches
13,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,4,3,0,3,1,0,1,1,1,0,1,0,4,0,0,Matches
14,Djavan Anderson,sr SUR,"DF,MF",Zwolle,26,1995,11.4,12,5,6,3,3,4,11,7,9,4,5,11,23,19,0,Matches
15,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,48,32,36,10,2,22,39,17,45,34,11,47,95,121,0,Matches
16,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,39,22,18,20,1,14,45,31,28,7,21,41,80,28,0,Matches
17,Antony,br BRA,FW,Ajax,21,2000,19.2,22,11,3,11,8,11,34,23,17,1,16,12,34,4,0,Matches
18,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,1,0,0,1,0,1,2,1,0,0,0,2,3,1,0,Matches
19,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,45,26,25,19,1,18,43,25,32,20,12,47,92,113,0,Matches
20,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,1,0,1,0,0,0,2,2,4,1,3,2,3,3,0,Matches
21,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,56,34,17,33,6,28,52,24,39,13,26,35,91,43,0,Matches
22,Aventis Aventisian,am ARM,DF,Go Ahead Eag,18,2002,0.0,1,1,1,0,0,0,0,0,1,0,1,1,2,1,0,Matches
23,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,34,21,12,20,2,16,53,37,27,5,22,18,52,22,1,Matches
24,Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,4.8,12,8,6,5,1,9,15,6,11,1,10,2,14,2,0,Matches
25,Aliou Badara Baldé,gn GUI,FW,Feyenoord,18,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,10,6,3,6,1,4,13,9,15,1,14,2,12,2,0,Matches
27,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,14,5,3,9,2,9,15,6,11,1,10,4,18,6,0,Matches
28,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,47,21,26,16,5,26,48,22,24,3,21,24,71,47,2,Matches
29,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,Matches
30,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,14,8,8,6,0,7,22,15,9,2,7,9,23,17,0,Matches
31,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,8,5,1,7,0,3,8,5,13,1,12,8,16,9,0,Matches
