rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Matías Abaldo,uy URU,FW,Gimnasia–LP,19,2004,11.4,3,25,10,40.0,2.19,0.88,0.12,0.30,15.3,0,0,0,1.9,1.9,0.08,+1.1,+1.1,Matches
2,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,28,1995,16.8,0,11,4,36.4,0.66,0.24,0.00,0.00,15.7,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
3,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,33,1990,10.4,0,7,0,0.0,0.67,0.00,0.00,,23.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
4,Ramón Ábila,ar ARG,FW,Huracán,34,1989,8.2,0,15,2,13.3,1.83,0.24,0.00,0.00,14.6,0,0,0,2.2,2.2,0.14,-2.2,-2.2,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,24,2000,14.6,3,27,8,29.6,1.85,0.55,0.11,0.38,21.0,7,0,0,1.9,1.9,0.07,+1.1,+1.1,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,26,1997,16.6,1,25,5,20.0,1.51,0.30,0.04,0.20,22.4,3,0,0,1.0,1.0,0.04,0.0,0.0,Matches
7,Matías Acevedo,ar ARG,MF,Racing Club,15,2008,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,35,1988,23.0,0,22,3,13.6,0.96,0.13,0.00,0.00,24.6,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
9,Lautaro Acosta,ar ARG,"MF,FW",Lanús,35,1988,8.3,0,4,2,50.0,0.48,0.24,0.00,0.00,11.4,0,0,0,0.7,0.7,0.18,-0.7,-0.7,Matches
10,Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Marcos Acuña,ar ARG,DF,River Plate,32,1991,8.6,0,5,0,0.0,0.58,0.00,0.00,,21.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
12,Valentino Acuña,ar ARG,MF,Newell's OB,18,2006,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Walter Acuña,ar ARG,"FW,MF",Deportivo Riestra,31,1992,1.3,0,3,2,66.7,2.39,1.59,0.00,0.00,20.1,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
14,Luis Advíncula,pe PER,DF,Boca Juniors,33,1990,16.0,0,18,3,16.7,1.13,0.19,0.00,0.00,19.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
15,Alan Aguerre,ar ARG,GK,Lanús,33,1990,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,Felipe Aguilar,co COL,DF,Independiente,31,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,34,1989,20.4,0,7,1,14.3,0.34,0.05,0.00,0.00,13.9,1,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
18,Braian Aguirre,ar ARG,DF,Lanús,23,2000,6.2,0,8,1,12.5,1.29,0.16,0.00,0.00,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Matches
19,Brian Aguirre,ar ARG,"FW,MF",Boca Juniors,20,2003,9.9,2,16,7,43.8,1.62,0.71,0.13,0.29,18.5,1,0,0,1.7,1.7,0.11,+0.3,+0.3,Matches
20,Brian Aguirre,ar ARG,"MF,FW",Newell's OB,20,2003,2.8,1,9,4,44.4,3.24,1.44,0.11,0.25,21.1,1,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
21,Federico Aguirre,ar ARG,FW,Barracas Central,21,2002,3.0,0,2,1,50.0,0.68,0.34,0.00,0.00,11.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
22,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,22,2001,5.7,1,15,5,33.3,2.63,0.88,0.07,0.20,25.0,0,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
23,Gabriel Alanís,ar ARG,"FW,MF",Defensa y Just,29,1994,9.5,2,24,6,25.0,2.52,0.63,0.08,0.33,17.1,0,0,0,1.9,1.9,0.08,+0.1,+0.1,Matches
24,Fernando Alarcón,ar ARG,DF,Instituto,29,1994,18.6,2,19,6,31.6,1.02,0.32,0.11,0.33,12.4,0,0,0,1.1,1.1,0.06,+0.9,+0.9,Matches
