rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Matías Abaldo,uy URU,FW,Gimnasia–LP,19,2004,11.4,356,337,19,4,0,2,51,8,7,1,3,0,227,0,19,Matches
2,Lucas Abascia,ar ARG,DF,Cen. Córdoba–SdE,28,1995,16.8,978,925,48,40,1,17,3,8,0,0,0,0,737,5,23,Matches
3,Luciano Abecasis,ar ARG,DF,Ind. Rivadavia,33,1990,10.4,412,309,99,2,0,7,32,97,0,0,0,0,282,4,14,Matches
4,Ramón Ábila,ar ARG,FW,Huracán,34,1989,8.2,162,149,12,0,1,1,3,0,0,0,0,0,97,1,5,Matches
5,Gonzalo Abrego,ar ARG,MF,Godoy Cruz,24,2000,14.6,558,533,22,10,1,9,29,2,10,6,3,0,414,3,12,Matches
6,Jonás Acevedo,ar ARG,"MF,FW",Instituto,26,1997,16.6,669,586,77,19,0,8,99,12,46,7,35,0,474,6,27,Matches
7,Matías Acevedo,ar ARG,MF,Racing Club,15,2008,0.2,6,6,0,0,0,0,1,0,0,0,0,0,5,0,0,Matches
8,Guillermo Acosta,ar ARG,MF,Atlé Tucumán,35,1988,23.0,999,951,41,24,0,5,30,10,6,1,3,0,708,7,27,Matches
9,Lautaro Acosta,ar ARG,"MF,FW",Lanús,35,1988,8.3,218,211,6,0,1,0,5,5,0,0,0,0,157,1,8,Matches
10,Lucas Acosta,ar ARG,GK,Sarmiento,28,1995,23.0,656,320,332,71,0,0,0,0,0,0,0,0,344,4,0,Matches
11,Marcos Acuña,ar ARG,DF,River Plate,32,1991,8.6,643,526,116,18,0,1,68,75,23,0,22,0,512,1,10,Matches
12,Valentino Acuña,ar ARG,MF,Newell's OB,18,2006,1.8,61,59,2,0,0,1,0,1,0,0,0,0,49,0,1,Matches
13,Walter Acuña,ar ARG,"FW,MF",Deportivo Riestra,31,1992,1.3,40,32,8,6,0,0,8,0,2,1,1,0,17,0,6,Matches
14,Luis Advíncula,pe PER,DF,Boca Juniors,33,1990,16.0,761,592,169,15,0,11,32,154,0,0,0,0,622,0,16,Matches
15,Alan Aguerre,ar ARG,GK,Lanús,33,1990,10.0,299,160,137,39,0,0,0,0,0,0,0,0,176,2,1,Matches
16,Felipe Aguilar,co COL,DF,Independiente,31,1993,0.5,8,8,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
17,Emanuel Aguilera,ar ARG,DF,Defensa y Just,34,1989,20.4,990,933,54,51,0,12,3,0,0,0,0,0,828,3,4,Matches
