squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,xg_per90,xag_per90,xg_xag_per90,npxg_per90,npxg_xag_per90
Arg Juniors,32,25.0,56.3,27,297,2430,27.0,20,12,32,19,1,2,68,6,25.5,23.9,18.0,41.9,416,1078,0.74,0.44,1.19,0.7,1.15,0.94,0.67,1.61,0.89,1.55
Atlé Tucumán,29,26.8,48.0,27,297,2430,27.0,28,20,48,26,2,4,57,3,34.5,31.4,24.2,55.6,258,910,1.04,0.74,1.78,0.96,1.7,1.28,0.9,2.17,1.16,2.06
Banfield,43,25.4,45.5,27,297,2430,27.0,21,14,35,18,3,6,74,6,27.5,22.9,17.5,40.4,315,767,0.78,0.52,1.3,0.67,1.19,1.02,0.65,1.66,0.85,1.5
Barracas Central,34,25.7,46.0,27,297,2430,27.0,15,10,25,14,1,1,58,2,20.1,19.3,14.7,34.1,290,728,0.56,0.37,0.93,0.52,0.89,0.75,0.55,1.29,0.72,1.26
Belgrano,35,27.9,48.5,27,297,2430,27.0,33,25,58,33,0,1,74,4,28.4,27.5,22.6,50.1,340,909,1.22,0.93,2.15,1.22,2.15,1.05,0.84,1.89,1.02,1.86
Boca Juniors,39,27.2,56.2,27,297,2430,27.0,28,18,46,27,1,1,78,6,33.3,32.5,23.7,56.2,427,1054,1.04,0.67,1.7,1.0,1.67,1.23,0.88,2.11,1.2,2.08
Cen. Córdoba–SdE,44,24.8,52.4,27,297,2430,27.0,28,21,49,25,3,4,58,4,27.9,24.8,20.0,44.8,403,1074,1.04,0.78,1.81,0.93,1.7,1.03,0.74,1.77,0.92,1.66
Defensa y Just,37,26.1,53.7,27,297,2430,27.0,25,21,46,24,1,1,76,6,30.1,29.3,21.4,50.8,352,1027,0.93,0.78,1.7,0.89,1.67,1.11,0.79,1.91,1.09,1.88
Deportivo Riestra,36,29.3,32.3,27,297,2430,27.0,26,14,40,23,3,4,66,5,26.5,23.3,17.0,40.3,186,673,0.96,0.52,1.48,0.85,1.37,0.98,0.63,1.61,0.86,1.49
Estudiantes–LP,37,27.9,55.9,27,297,2430,27.0,35,23,58,32,3,5,66,1,32.6,28.8,22.9,51.7,386,1260,1.3,0.85,2.15,1.19,2.04,1.21,0.85,2.05,1.07,1.91
Gimnasia–LP,39,27.6,49.8,27,297,2430,27.0,20,13,33,17,3,3,65,7,25.1,22.7,17.8,40.6,390,1119,0.74,0.48,1.22,0.63,1.11,0.93,0.66,1.59,0.84,1.5
Godoy Cruz,40,24.9,49.3,27,297,2430,27.0,31,18,49,29,2,3,59,1,31.0,28.7,19.5,48.3,331,904,1.15,0.67,1.81,1.07,1.74,1.15,0.72,1.87,1.06,1.79
Huracán,29,28.9,48.3,27,297,2430,27.0,26,15,41,23,3,3,63,3,25.0,22.8,16.8,39.5,312,870,0.96,0.56,1.52,0.85,1.41,0.93,0.62,1.55,0.84,1.46
Ind. Rivadavia,38,26.9,44.8,27,297,2430,27.0,22,19,41,20,2,3,67,3,23.5,21.1,16.5,37.7,359,820,0.81,0.7,1.52,0.74,1.44,0.87,0.61,1.48,0.78,1.4
Independiente,33,27.1,50.9,27,297,2430,27.0,24,16,40,21,3,4,90,6,26.8,23.7,17.2,40.9,349,976,0.89,0.59,1.48,0.78,1.37,0.99,0.64,1.63,0.88,1.51
Instituto,26,25.4,48.5,27,297,2430,27.0,31,24,55,29,2,3,62,4,28.1,25.7,18.9,44.6,264,879,1.15,0.89,2.04,1.07,1.96,1.04,0.7,1.74,0.95,1.65
Lanús,34,28.6,50.0,27,297,2430,27.0,28,22,50,27,1,1,52,6,29.4,28.6,22.6,51.2,355,954,1.04,0.81,1.85,1.0,1.81,1.09,0.84,1.93,1.06,1.9
Newell's OB,43,26.4,51.1,27,297,2430,27.0,21,13,34,18,3,5,77,3,30.0,26.4,19.8,46.2,360,947,0.78,0.48,1.26,0.67,1.15,1.11,0.73,1.84,0.98,1.71
Platense,35,25.9,40.5,27,297,2430,27.0,20,12,32,16,4,5,72,4,23.7,19.7,14.3,34.0,265,745,0.74,0.44,1.19,0.59,1.04,0.88,0.53,1.41,0.73,1.26
Racing Club,32,26.7,55.0,27,297,2430,27.0,41,21,62,38,3,5,63,2,35.2,31.3,22.8,54.1,411,1149,1.52,0.78,2.3,1.41,2.19,1.3,0.85,2.15,1.16,2.0
River Plate,37,28.0,65.0,27,297,2430,27.0,38,22,60,33,5,5,71,2,44.9,41.0,31.6,72.6,514,1510,1.41,0.81,2.22,1.22,2.04,1.66,1.17,2.83,1.52,2.69
Rosario Central,36,28.0,51.1,27,297,2430,27.0,26,20,46,23,3,5,90,2,25.6,21.7,17.9,39.6,376,900,0.96,0.74,1.7,0.85,1.59,0.95,0.66,1.61,0.8,1.47
San Lorenzo,38,25.7,53.3,27,297,2430,27.0,20,9,29,15,5,6,57,3,24.7,20.0,13.7,33.6,355,955,0.74,0.33,1.07,0.56,0.89,0.91,0.51,1.42,0.74,1.25
Sarmiento,37,28.1,37.8,27,297,2430,27.0,17,13,30,15,2,2,65,2,24.9,23.5,18.3,41.8,257,690,0.63,0.48,1.11,0.56,1.04,0.92,0.68,1.6,0.87,1.55
