rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes
1,Vélez Sarsfield,27,14,9,4,38,16,22,51,1.89,39.0,22.5,16.4,0.61,,Braian Romero - 12,Tomás Marchiori,
2,Talleres,27,13,9,5,34,27,7,48,1.78,31.6,24.7,7.0,0.26,,Bruno Barticciotto - 7,Guido Herrera,
3,Racing Club,27,14,4,9,42,30,12,46,1.7,35.2,27.4,7.8,0.29,,Adrián Martínez - 7,Gabriel Arias,
4,Huracán,27,12,10,5,28,18,10,46,1.7,25.0,25.0,0.0,0.0,,Ignacio Pussetto - 5,Hernán Galíndez,
5,River Plate,27,11,10,6,38,21,17,43,1.59,44.9,25.4,19.5,0.72,,Miguel Borja - 11,Franco Armani,
6,Boca Juniors,27,11,9,7,30,23,7,42,1.56,33.3,34.1,-0.8,-0.03,,Miguel Merentiel - 7,Sergio Romero,
7,Independiente,27,9,13,5,25,17,8,40,1.48,26.8,22.4,4.5,0.17,,Gabriel Ávalos - 9,Rodrigo Rey,
8,Atlé Tucumán,27,11,7,9,28,27,1,40,1.48,34.5,28.4,6.2,0.23,,"Renzo Tesuri, Marcelo Estigarribia - 6",Tomás Durso,
9,Unión,27,11,7,9,27,26,1,40,1.48,28.2,26.8,1.4,0.05,,Adrián Balboa - 5,Thiago Cardozo,
10,Platense,27,10,9,8,20,18,2,39,1.44,23.7,21.5,2.2,0.08,,Mateo Pellegrino - 10,Juan Cozzani,
11,Ind. Rivadavia,27,10,8,9,23,25,-2,38,1.41,23.5,27.1,-3.6,-0.13,,"Sebastián Villa, Victorio Ramis - 4",Ezequiel Centurión,
12,Estudiantes–LP,27,8,12,7,36,34,2,36,1.33,32.6,28.7,3.8,0.14,,Guido Carrillo - 7,Matías Mansilla,
13,Instituto,27,10,6,11,32,31,1,36,1.33,28.1,30.1,-2.0,-0.07,,"Santiago Rodriguez, Ignacio Russo... - 5",Manuel Roffo,
14,Lanús,27,8,12,7,28,31,-3,36,1.33,29.4,31.0,-1.7,-0.06,,Walter Bou - 7,Nahuel Losada,
15,Godoy Cruz,27,8,11,8,31,28,3,35,1.3,31.0,32.7,-1.7,-0.06,,Salomón Rodríguez - 8,Franco Petroli,
16,Belgrano,27,8,11,8,33,32,1,35,1.3,28.4,30.6,-2.2,-0.08,,Franco Jara - 13,Juan Espínola,
17,Deportivo Riestra,27,8,11,8,26,27,-1,35,1.3,26.5,33.6,-7.2,-0.26,,Jonathan Herrera - 9,Ignacio Arce,
18,Tigre,27,8,10,9,27,30,-3,34,1.26,26.7,30.8,-4.1,-0.15,,Florián Monzón - 6,Felipe Zenobio,
19,Gimnasia–LP,27,8,8,11,21,23,-2,32,1.19,25.1,28.5,-3.4,-0.13,,Rodrigo Castillo - 6,Marcos Ignacio Ledesma,
20,Rosario Central,27,8,8,11,27,30,-3,32,1.19,25.6,26.2,-0.6,-0.02,,"Agustín Módica, Jaminton Campaz... - 3",Jorge Broun,
21,Defensa y Just,27,7,11,9,27,33,-6,32,1.19,30.1,33.2,-3.1,-0.12,,Aaron Nicolás Molinas - 5,Enrique Bologna,
22,Cen. Córdoba–SdE,27,8,7,12,29,36,-7,31,1.15,27.9,29.5,-1.6,-0.06,,"Favio Cabral, Rodrigo Atencio - 4",Luis Ingolotti,
23,Arg Juniors,27,8,6,13,22,28,-6,30,1.11,25.5,25.4,0.1,0.0,,Alan Lescano - 5,Diego Matías Rodríguez,
24,San Lorenzo,27,7,8,12,20,26,-6,29,1.07,24.7,26.3,-1.7,-0.06,,Alexis Cuello - 4,Gastón Gómez,
25,Newell's OB,27,7,7,13,22,35,-13,28,1.04,30.0,28.3,1.6,0.06,,Mateo Silvetti - 4,Ramiro Macagno,
26,Sarmiento,27,5,11,11,18,28,-10,26,0.96,24.9,35.2,-10.3,-0.38,,"Iván Morales Bravo, Joaquín Gho - 3",Lucas Acosta,
27,Banfield,27,5,9,13,22,36,-14,24,0.89,27.5,35.5,-8.1,-0.3,,Bruno Sepúlveda - 6,Facundo Sanguinetti,
28,Barracas Central,27,4,11,12,15,33,-18,23,0.85,20.1,38.8,-18.6,-0.69,,"Facundo Bruera, Rodrigo Insúa - 3",Marcelo Miño,
