squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Alanyaspor,25,29.6,48.7,34,374,3060,34.0,61,48,109,58,3,4,72,3,1.79,1.41,3.21,1.71,3.12
Ankaragücü,35,30.0,41.9,34,374,3060,34.0,29,19,48,22,7,8,102,7,0.85,0.56,1.41,0.65,1.21
Antalyaspor,33,28.9,45.3,34,374,3060,34.0,41,28,69,34,7,8,86,6,1.21,0.82,2.03,1.0,1.82
Başakşehir,29,29.9,51.2,34,374,3060,34.0,62,42,104,56,6,7,70,3,1.82,1.24,3.06,1.65,2.88
Beşiktaş,31,29.1,61.2,34,374,3060,34.0,59,43,102,50,9,9,89,3,1.74,1.26,3.0,1.47,2.74
Denizlispor,26,29.1,45.3,34,374,3060,34.0,29,21,50,26,3,3,72,3,0.85,0.62,1.47,0.76,1.38
Fenerbahçe,32,28.0,61.6,34,374,3060,34.0,58,42,100,49,9,11,85,11,1.71,1.24,2.94,1.44,2.68
Galatasaray,32,28.8,59.9,34,374,3060,34.0,51,34,85,40,11,13,84,7,1.5,1.0,2.5,1.18,2.18
Gaziantep FK,26,28.7,45.5,34,374,3060,34.0,49,26,75,41,8,11,82,4,1.44,0.76,2.21,1.21,1.97
Gençlerbirliği,29,29.0,47.1,34,374,3060,34.0,38,25,63,33,5,5,91,6,1.12,0.74,1.85,0.97,1.71
Göztepe,29,30.3,49.6,34,374,3060,34.0,43,27,70,36,7,9,78,4,1.26,0.79,2.06,1.06,1.85
Kasımpaşa,34,27.8,46.7,34,374,3060,34.0,53,37,90,50,3,4,89,5,1.56,1.09,2.65,1.47,2.56
Kayserispor,42,28.6,48.2,34,374,3060,34.0,39,23,62,33,6,7,89,9,1.15,0.68,1.82,0.97,1.65
Konyaspor,27,27.8,50.1,34,374,3060,34.0,35,18,53,29,6,7,80,7,1.03,0.53,1.56,0.85,1.38
Rizespor,31,26.9,48.3,34,374,3060,34.0,38,22,60,32,6,8,81,4,1.12,0.65,1.76,0.94,1.59
Sivasspor,27,28.8,48.5,34,374,3060,34.0,55,41,96,52,3,6,88,3,1.62,1.21,2.82,1.53,2.74
Trabzonspor,30,27.3,50.7,34,374,3060,34.0,72,49,121,61,11,13,74,5,2.12,1.44,3.56,1.79,3.24
Yeni Mal'spor,27,28.8,51.1,34,374,3060,34.0,42,28,70,37,5,5,85,8,1.24,0.82,2.06,1.09,1.91
