rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Mohamed Abarhoun,ma MAR,DF,Rizespor,30,1989,20,19,1739,19.3,2,0,2,2,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches
2,Aymen Abdennour,tn TUN,DF,Kayserispor,29,1989,12,11,901,10.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
3,Tolgahan Acar,tr TUR,GK,Denizlispor,33,1986,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,27,1992,27,25,2208,24.5,1,3,4,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,Matches
5,Emmanuel Adebayor,tg TOG,FW,Kayserispor,35,1984,8,8,669,7.4,2,1,3,1,1,1,1,0,0.27,0.13,0.40,0.13,0.27,Matches
6,Adryan,br BRA,"FW,MF",Kayserispor,24,1994,3,0,93,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Sedat Ağçay,tr TUR,MF,Ankaragücü,37,1981,27,23,1695,18.8,0,2,2,0,0,0,6,1,0.00,0.11,0.11,0.00,0.11,Matches
8,Ismaïl Aissati,ma MAR,MF,Denizlispor,30,1988,33,29,2621,29.1,0,5,5,0,0,0,5,0,0.00,0.17,0.17,0.00,0.17,Matches
9,Mahmut Akan,tr TUR,FW,Ankaragücü,25,1994,1,0,29,0.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
10,Emre Akbaba,tr TUR,"MF,FW",Galatasaray,26,1992,17,12,976,10.8,4,0,4,4,0,0,0,0,0.37,0.00,0.37,0.37,0.37,Matches
11,Mustafa Akbaş,tr TUR,DF,Yeni Mal'spor,29,1990,17,15,1373,15.3,0,0,0,0,0,0,6,2,0.00,0.00,0.00,0.00,0.00,Matches
12,Halil Akbunar,tr TUR,MF,Göztepe,25,1993,31,24,2063,22.9,5,1,6,5,0,0,3,0,0.22,0.04,0.26,0.22,0.26,Matches
13,Yunus Akgün,tr TUR,MF,Galatasaray,19,2000,5,0,22,0.2,1,0,1,1,0,0,1,0,4.09,0.00,4.09,4.09,4.09,Matches
14,Gökhan Akkan,tr TUR,GK,Rizespor,24,1995,25,25,2195,24.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Atakan Akkaynak,de GER,MF,Rizespor,20,1999,4,0,36,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Fatih Aksoy,tr TUR,MF,Sivasspor,21,1997,23,22,1735,19.3,0,2,2,0,0,0,10,0,0.00,0.10,0.10,0.00,0.10,Matches
17,Aksel Aktas,tr TUR,MF,Kayserispor,20,1999,15,2,239,2.7,0,1,1,0,0,0,2,0,0.00,0.38,0.38,0.00,0.38,Matches
18,Kubilay Aktaş,tr TUR,"MF,DF",Gaziantep FK,24,1995,4,2,205,2.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Ufuk Akyol,de GER,MF,Antalyaspor,21,1997,28,22,1832,20.4,3,0,3,2,1,1,5,0,0.15,0.00,0.15,0.10,0.10,Matches
20,Mehmet Akyüz,tr TUR,FW,Denizlispor,33,1986,7,1,178,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Burak Albayrak,tr TUR,DF,Rizespor,21,1998,7,5,408,4.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Eren Albayrak,tr TUR,DF,Antalyaspor,28,1991,14,11,1006,11.2,0,1,1,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches
23,Danijel Aleksić,rs SRB,MF,Başakşehir,28,1991,24,15,1367,15.2,6,2,8,6,0,0,5,0,0.40,0.13,0.53,0.40,0.53,Matches
24,Hasan Ali Kaldırım,tr TUR,DF,Fenerbahçe,29,1989,18,17,1513,16.8,0,3,3,0,0,0,7,0,0.00,0.18,0.18,0.00,0.18,Matches
25,Ömer Ali Şahiner,tr TUR,"MF,FW",Konyaspor,27,1992,30,30,2513,27.9,4,2,6,4,0,0,6,2,0.14,0.07,0.21,0.14,0.21,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Barış Alıcı,tr TUR,MF,Rizespor,22,1997,7,0,144,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
