rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ_take_o,tkld,tkld_take_o,carries,totdist,prgdist,1_3,cpa,mis,dis,rec,matches
42,Muhammet Arslantaş,tr TUR,FW,Başakşehir,18,2001,0.0,,,,,,,,,,,,,,,,,,,,,Matches
43,Serkan Asan,tr TUR,DF,Trabzonspor,20,1999,2.7,,,,,,,,,,,,,,,,,,,,,Matches
44,Kerem Atakan Kesgin,tr TUR,MF,Göztepe,18,2000,0.3,,,,,,,,,,,,,,,,,,,,,Matches
45,Donis Avdijaj,xk KVX,MF,Trabzonspor,22,1996,2.7,,,,,,,,,,,,,,,,,,,,,Matches
46,Selim Ay,tr TUR,DF,Konyaspor,28,1991,13.7,,,,,,,,,,,,,,,,,,,,,Matches
47,Soner Aydoğdu,tr TUR,MF,Göztepe,28,1991,28.0,,,,,,,,,,,,,,,,,,,,,Matches
48,Soner Aydoğdu,tr TUR,MF,Başakşehir,28,1991,0.7,,,,,,,,,,,,,,,,,,,,,Matches
49,Ender Aygören,tr TUR,MF,Ankaragücü,19,2000,0.8,,,,,,,,,,,,,,,,,,,,,Matches
50,Yalçın Ayhan,tr TUR,DF,Ankaragücü,37,1982,1.1,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec,Matches
51,Floyd Ayité,tg TOG,MF,Gençlerbirliği,30,1988,13.2,,,,,,,,,,,,,,,,,,,,,Matches
52,Sakıb Aytaç,tr TUR,DF,Yeni Mal'spor,27,1991,21.0,,,,,,,,,,,,,,,,,,,,,Matches
53,Serdar Aziz,tr TUR,DF,Fenerbahçe,28,1990,21.2,,,,,,,,,,,,,,,,,,,,,Matches
54,Abdul Aziz Tetteh,gh GHA,MF,Gaziantep FK,29,1990,5.1,,,,,,,,,,,,,,,,,,,,,Matches
55,Demba Ba,sn SEN,FW,Başakşehir,34,1985,19.6,,,,,,,,,,,,,,,,,,,,,Matches
56,Mame Baba Thiam,sn SEN,"MF,FW",Kasımpaşa,26,1992,22.0,,,,,,,,,,,,,,,,,,,,,Matches
57,Volkan Babacan,tr TUR,GK,Başakşehir,30,1988,1.0,,,,,,,,,,,,,,,,,,,,,Matches
