rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Mohamed Abarhoun,ma MAR,DF,Rizespor,30,1989,19.3,2,9,2,22.2,0.47,0.10,0.22,1.00,,0,0,Matches
2,Aymen Abdennour,tn TUN,DF,Kayserispor,29,1989,10.0,0,1,0,0.0,0.10,0.00,0.00,,,0,0,Matches
3,Tolgahan Acar,tr TUR,GK,Denizlispor,33,1986,5.0,0,0,0,,0.00,0.00,,,,0,0,Matches
4,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,27,1992,24.5,1,16,7,43.8,0.65,0.29,0.06,0.14,,0,0,Matches
5,Emmanuel Adebayor,tg TOG,FW,Kayserispor,35,1984,7.4,2,11,4,36.4,1.48,0.54,0.09,0.25,,1,1,Matches
6,Adryan,br BRA,"FW,MF",Kayserispor,24,1994,1.0,0,1,1,100.0,0.97,0.97,0.00,0.00,,0,0,Matches
7,Sedat Ağçay,tr TUR,MF,Ankaragücü,37,1981,18.8,0,13,2,15.4,0.69,0.11,0.00,0.00,,0,0,Matches
8,Ismaïl Aissati,ma MAR,MF,Denizlispor,30,1988,29.1,0,29,7,24.1,1.00,0.24,0.00,0.00,,0,0,Matches
9,Mahmut Akan,tr TUR,FW,Ankaragücü,25,1994,0.3,0,1,0,0.0,3.10,0.00,0.00,,,0,0,Matches
10,Emre Akbaba,tr TUR,"MF,FW",Galatasaray,26,1992,10.8,4,29,8,27.6,2.67,0.74,0.14,0.50,,0,0,Matches
11,Mustafa Akbaş,tr TUR,DF,Yeni Mal'spor,29,1990,15.3,0,7,3,42.9,0.46,0.20,0.00,0.00,,0,0,Matches
12,Halil Akbunar,tr TUR,MF,Göztepe,25,1993,22.9,5,34,9,26.5,1.48,0.39,0.15,0.56,,0,0,Matches
13,Yunus Akgün,tr TUR,MF,Galatasaray,19,2000,0.2,1,1,1,100.0,4.09,4.09,1.00,1.00,,0,0,Matches
14,Gökhan Akkan,tr TUR,GK,Rizespor,24,1995,24.4,0,0,0,,0.00,0.00,,,,0,0,Matches
15,Atakan Akkaynak,de GER,MF,Rizespor,20,1999,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
16,Fatih Aksoy,tr TUR,MF,Sivasspor,21,1997,19.3,0,12,8,66.7,0.62,0.41,0.00,0.00,,0,0,Matches
17,Aksel Aktas,tr TUR,MF,Kayserispor,20,1999,2.7,0,3,0,0.0,1.13,0.00,0.00,,,0,0,Matches
18,Kubilay Aktaş,tr TUR,"MF,DF",Gaziantep FK,24,1995,2.3,0,1,0,0.0,0.44,0.00,0.00,,,0,0,Matches
19,Ufuk Akyol,de GER,MF,Antalyaspor,21,1997,20.4,3,35,15,42.9,1.72,0.74,0.06,0.13,,1,1,Matches
20,Mehmet Akyüz,tr TUR,FW,Denizlispor,33,1986,2.0,0,3,1,33.3,1.52,0.51,0.00,0.00,,0,0,Matches
21,Burak Albayrak,tr TUR,DF,Rizespor,21,1998,4.5,0,2,0,0.0,0.44,0.00,0.00,,,0,0,Matches
22,Eren Albayrak,tr TUR,DF,Antalyaspor,28,1991,11.2,0,3,2,66.7,0.27,0.18,0.00,0.00,,0,0,Matches
23,Danijel Aleksić,rs SRB,MF,Başakşehir,28,1991,15.2,6,52,15,28.8,3.42,0.99,0.12,0.40,,0,0,Matches
24,Hasan Ali Kaldırım,tr TUR,DF,Fenerbahçe,29,1989,16.8,0,7,4,57.1,0.42,0.24,0.00,0.00,,0,0,Matches
25,Ömer Ali Şahiner,tr TUR,"MF,FW",Konyaspor,27,1992,27.9,4,32,12,37.5,1.15,0.43,0.13,0.33,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
26,Barış Alıcı,tr TUR,MF,Rizespor,22,1997,1.6,0,3,0,0.0,1.87,0.00,0.00,,,0,0,Matches
27,Ziya Alkurt,tr TUR,MF,Kayserispor,28,1990,7.8,0,11,4,36.4,1.41,0.51,0.00,0.00,,0,0,Matches
28,Harun Alpsoy,ch SUI,MF,Antalyaspor,22,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
29,Gökhan Alsan,tr TUR,MF,Gaziantep FK,29,1990,0.2,0,1,0,0.0,6.43,0.00,0.00,,,0,0,Matches
30,Emircan Altıntaş,,MF,Alanyaspor,24,1995,2.6,0,4,0,0.0,1.56,0.00,0.00,,,0,0,Matches
31,Hüseyin Altıntaş,tr TUR,GK,Denizlispor,24,1994,3.0,0,0,0,,0.00,0.00,,,,0,0,Matches
32,Sami Altıparmak,,MF,Gençlerbirliği,18,2001,0.9,0,2,0,0.0,2.28,0.00,0.00,,,0,0,Matches
33,Amilton,br BRA,MF,Antalyaspor,29,1989,23.8,2,27,4,14.8,1.13,0.17,0.07,0.50,,0,0,Matches
34,Florin Andone,ro ROU,FW,Galatasaray,26,1993,5.4,2,17,7,41.2,3.14,1.29,0.06,0.14,,1,1,Matches
35,Diego Ângelo,br BRA,DF,Kayserispor,33,1986,14.0,1,11,6,54.5,0.79,0.43,0.09,0.17,,0,0,Matches
