rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,24,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
2,Saleh Al Abbas,sa KSA,FW,Al-Khaleej,28,1993,4.0,0,12,4,33.3,2.98,0.99,0.00,0.00,,0,0,Matches
3,Nasser Al Abdali,sa KSA,"MF,FW",Al-Adalah,28,1993,4.7,0,0,0,,0.00,0.00,,,,0,0,Matches
4,Hamad Al Abdan,sa KSA,"MF,FW",Al-Khaleej,22,2000,12.0,1,16,8,50.0,1.33,0.67,0.06,0.13,,0,0,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Shabab,25,1996,3.4,1,12,3,25.0,3.51,0.88,0.08,0.33,,0,1,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Hilal,23,1999,23.4,1,10,4,40.0,0.43,0.17,0.10,0.25,,0,0,Matches
7,Abdulrahman Abdulqada,,DF,Al-Ettifaq,,,1.1,0,0,0,,0.00,0.00,,,,0,0,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,32,1990,2.3,0,3,0,0.0,1.30,0.00,0.00,,,0,0,Matches
9,Vincent Aboubakar,cm CMR,FW,Al-Nassr,30,1992,9.9,4,15,8,53.3,1.52,0.81,0.27,0.50,,0,0,Matches
10,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,27,1995,12.2,0,18,5,27.8,1.47,0.41,0.00,0.00,,0,0,Matches
11,Mohammed Abousaban,sa KSA,MF,Al-Fayha,32,1990,6.7,0,1,0,0.0,0.15,0.00,0.00,,,0,0,Matches
12,Khalil Al Absi,sa KSA,MF,Al-Ta'ee,21,2001,10.1,0,9,1,11.1,0.90,0.10,0.00,0.00,,0,0,Matches
13,Mohammed Abu Abd,sa KSA,FW,Al-Adalah,20,2002,0.7,0,1,0,0.0,1.43,0.00,0.00,,,0,0,Matches
14,Abdulfattah Adam,sa KSA,FW,Abha,27,1995,16.4,4,33,12,36.4,2.01,0.73,0.12,0.33,,0,0,Matches
15,Sultan Al Akouz,sa KSA,MF,Al-Wehda,21,2001,2.0,0,2,1,50.0,1.01,0.50,0.00,0.00,,0,0,Matches
16,Abdulaziz Al Alawi,sa KSA,"MF,DF",Al-Adalah,24,1998,2.3,0,0,0,,0.00,0.00,,,,0,0,Matches
17,Abdulrahman Al Alawi,,MF,Abha,,,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
18,Bader Alhwidy Alshammary,sa KSA,DF,Al-Batin,20,2001,16.0,0,1,0,0.0,0.06,0.00,0.00,,,0,0,Matches
19,Mukhtar Ali,sa KSA,MF,Al-Ta'ee,24,1997,22.4,2,18,2,11.1,0.80,0.09,0.11,1.00,,0,0,Matches
20,Pedro Amaral,pt POR,DF,Al-Khaleej,24,1997,14.7,1,11,4,36.4,0.75,0.27,0.09,0.25,,0,0,Matches
21,Abdullah Al-Ammar,sa KSA,DF,Damac,28,1994,25.4,3,6,2,33.3,0.24,0.08,0.50,1.50,,0,0,Matches
22,Turki Al Ammar,sa KSA,MF,Al-Shabab,22,1999,3.6,0,7,2,28.6,1.93,0.55,0.00,0.00,,0,0,Matches
23,Majed Al Ammari,sa KSA,MF,Al-Nassr,24,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
24,Sari Amr,sa KSA,DF,Abha,32,1989,9.3,0,0,0,,0.00,0.00,,,,0,0,Matches
