rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Al-Ittihad,30,22,6,2,60,13,47,72,2.4,30326,Abderrazak Hamdallah - 21,Marcelo Grohe,
2,Al-Nassr,30,20,7,3,63,18,45,67,2.23,19103,Talisca - 20,David Ospina,
3,Al-Hilal,30,17,8,5,54,29,25,59,1.97,9954,Odion Ighalo - 19,Abdullah Al-Mayouf,
4,Al-Shabab,30,17,5,8,57,33,24,56,1.87,7626,Cristian Guanca - 13,Kim Seung-gyu,
5,Al-Taawoun,30,16,7,7,46,34,12,55,1.83,5572,Léandre Tawamba - 9,Mailson,
6,Al-Fateh,30,13,4,13,48,43,5,43,1.43,9937,Firas Al-Buraikan - 17,Jacob Rinne,
7,Al-Ettifaq,30,10,7,13,28,36,-8,37,1.23,5885,Youssouf Niakaté - 8,Paulo Victor Vidotti,
8,Damac,30,9,9,12,33,43,-10,36,1.2,5207,Hillel Soudani - 6,Moustapha Zeghba,
9,Al-Ta'ee,30,10,4,16,41,49,-8,34,1.13,7380,"Amir Sayoud, Guy Mbenza - 10",Victor Braga,
10,Al-Raed,30,9,7,14,41,49,-8,34,1.13,5287,Mohamed Fouzair - 11,Silviu Lung Jr.,
11,Al-Fayha,30,8,9,13,31,43,-12,33,1.1,4501,Anthony Nwakaeme - 9,Vladimir Stojković,
12,Abha,30,10,3,17,33,52,-19,33,1.1,5502,Saad Bguir - 8,Devis Epassy,
13,Al-Wehda,30,8,8,14,26,43,-17,32,1.07,2039,"Karim Yoda, Fayçal Fajr... - 3",Munir,
14,Al-Khaleej,30,9,4,17,30,44,-14,31,1.03,5851,Sokol Cikalleshi - 10,Douglas Friedrich,
15,Al-Adalah,30,7,7,16,30,56,-26,28,0.93,10425,Marcus Antonsson - 6,Milan Mijatović,
16,Al-Batin,30,5,5,20,27,63,-36,20,0.67,3754,Yousef Al Shammari - 9,Martín Campaña,
