rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Malek Al Abadalmanam,sa KSA,MF,Al-Fayha,24,1998,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2,Saleh Al Abbas,sa KSA,FW,Al-Khaleej,28,1993,23,1,362,4.0,0,1,1,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,Matches
3,Nasser Al Abdali,sa KSA,"MF,FW",Al-Adalah,28,1993,7,4,426,4.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Hamad Al Abdan,sa KSA,"MF,FW",Al-Khaleej,22,2000,23,12,1080,12.0,1,0,1,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
5,Ahmed Abdu,sa KSA,FW,Al-Shabab,25,1996,26,1,308,3.4,1,0,1,1,0,1,1,0,0.29,0.00,0.29,0.29,0.29,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Hilal,23,1999,27,23,2106,23.4,1,5,6,1,0,0,3,0,0.04,0.21,0.26,0.04,0.26,Matches
7,Abdulrahman Abdulqada,,DF,Al-Ettifaq,,,3,1,95,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Nawaf Al Abed,sa KSA,MF,Al-Shabab,32,1990,9,1,208,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
9,Vincent Aboubakar,cm CMR,FW,Al-Nassr,30,1992,11,11,890,9.9,4,1,5,4,0,0,0,0,0.40,0.10,0.51,0.40,0.51,Matches
10,Abdulrahman Al-Aboud,sa KSA,MF,Al-Ittihad,27,1995,21,11,1101,12.2,0,3,3,0,0,0,5,1,0.00,0.25,0.25,0.00,0.25,Matches
11,Mohammed Abousaban,sa KSA,MF,Al-Fayha,32,1990,17,6,603,6.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Khalil Al Absi,sa KSA,MF,Al-Ta'ee,21,2001,21,8,905,10.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Mohammed Abu Abd,sa KSA,FW,Al-Adalah,20,2002,9,0,63,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
14,Abdulfattah Adam,sa KSA,FW,Abha,27,1995,26,16,1479,16.4,4,1,5,4,0,0,4,0,0.24,0.06,0.30,0.24,0.30,Matches
15,Sultan Al Akouz,sa KSA,MF,Al-Wehda,21,2001,10,1,179,2.0,0,1,1,0,0,0,3,1,0.00,0.50,0.50,0.00,0.50,Matches
16,Abdulaziz Al Alawi,sa KSA,"MF,DF",Al-Adalah,24,1998,7,2,209,2.3,0,1,1,0,0,0,1,1,0.00,0.43,0.43,0.00,0.43,Matches
17,Abdulrahman Al Alawi,,MF,Abha,,,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
18,Bader Alhwidy Alshammary,sa KSA,DF,Al-Batin,20,2001,20,16,1439,16.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Mukhtar Ali,sa KSA,MF,Al-Ta'ee,24,1997,27,22,2016,22.4,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
20,Pedro Amaral,pt POR,DF,Al-Khaleej,24,1997,15,15,1324,14.7,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches
21,Abdullah Al-Ammar,sa KSA,DF,Damac,28,1994,27,25,2283,25.4,3,2,5,3,0,0,2,0,0.12,0.08,0.20,0.12,0.20,Matches
22,Turki Al Ammar,sa KSA,MF,Al-Shabab,22,1999,15,2,326,3.6,0,1,1,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,Matches
23,Majed Al Ammari,sa KSA,MF,Al-Nassr,24,1998,4,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
24,Sari Amr,sa KSA,DF,Abha,32,1989,14,9,840,9.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Abdulelah Al-Amri,sa KSA,DF,Al-Nassr,25,1997,27,24,2124,23.6,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Hassan Al-Amri,sa KSA,"MF,FW",Al-Taawoun,28,1994,22,6,560,6.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
27,Saleh Al-Amri,sa KSA,MF,Abha,28,1993,27,27,2390,26.6,5,6,11,5,0,0,5,0,0.19,0.23,0.41,0.19,0.41,Matches
28,Rakan Al Anaze,sa KSA,"MF,FW",Al-Batin,24,1998,17,11,1022,11.4,2,2,4,1,1,1,3,0,0.18,0.18,0.35,0.09,0.26,Matches
29,Abdullah Al Anazi,sa KSA,MF,Al-Fateh,19,2003,5,0,86,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
30,Dhari Al Anazi,sa KSA,DF,Damac,22,2000,12,3,294,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
31,Martin Angha,ch SUI,DF,Al-Adalah,28,1994,9,9,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
32,Izuchuckwu Anthony,ng NGA,DF,Al-Khaleej,24,1997,23,22,2002,22.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
33,Domagoj Antolić,hr CRO,MF,Damac,32,1990,26,26,2278,25.3,3,4,7,2,1,2,0,0,0.12,0.16,0.28,0.08,0.24,Matches
34,Maurício Antônio,br BRA,DF,Al-Batin,30,1992,25,24,2123,23.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
35,Marcus Antonsson,se SWE,FW,Al-Adalah,31,1991,16,16,1440,16.0,6,0,6,4,2,3,2,0,0.37,0.00,0.37,0.25,0.25,Matches
36,Abdulrahman Anwar,,"MF,FW",Al-Batin,,,5,3,225,2.5,0,2,2,0,0,0,0,0,0.00,0.80,0.80,0.00,0.80,Matches
37,Nawaf Al Aqidi,sa KSA,GK,Al-Nassr,22,2000,11,11,989,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Abdulfattah Asiri,sa KSA,MF,Al-Nassr,28,1994,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Waleed Assiri,,MF,Abha,,,1,0,4,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Abdulquddus Atiah,sa KSA,GK,Al-Wehda,25,1997,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Amine Atouchi,ma MAR,DF,Abha,30,1992,26,26,2282,25.4,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,Matches
42,Othman Awad,sa KSA,"MF,DF",Al-Batin,19,2003,8,6,476,5.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
43,Fares Ayed,sa KSA,FW,Damac,21,2001,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Abdulmalek Al Ayiri,sa KSA,DF,Al-Taawoun,18,2003,7,6,428,4.8,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches
45,Hattan Bahebri,sa KSA,"MF,FW",Al-Shabab,30,1992,25,10,998,11.1,2,4,6,2,0,0,2,0,0.18,0.36,0.54,0.18,0.54,Matches
46,Jamal Bajandouh,sa KSA,MF,Al-Ta'ee,29,1992,8,1,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Yazeid Al Bakr,sa KSA,DF,Al-Taawoun,26,1995,3,0,79,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Waleed Bakshween,sa KSA,MF,Al-Wehda,32,1989,27,26,2272,25.2,0,1,1,0,0,0,7,0,0.00,0.04,0.04,0.00,0.04,Matches
49,Ahmed Bamasud,sa KSA,DF,Al-Fayha,26,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Ahmed Bamasud,sa KSA,"DF,MF",Al-Ittihad,26,1995,21,16,1401,15.6,1,1,2,1,0,0,6,1,0.06,0.06,0.13,0.06,0.13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Éver Banega,ar ARG,MF,Al-Shabab,34,1988,24,22,2048,22.8,3,5,8,2,1,1,4,0,0.13,0.22,0.35,0.09,0.31,Matches
52,Mohammed Al Baqawi,sa KSA,DF,Al-Fayha,27,1995,29,28,2328,25.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
53,Abdulrahman Al-Barakah,sa KSA,MF,Abha,31,1990,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Mourad Batna,ma MAR,MF,Al-Fateh,32,1990,25,24,2169,24.1,10,7,17,7,3,5,4,0,0.41,0.29,0.71,0.29,0.58,Matches
55,Jean-David Beauguel,fr FRA,FW,Al-Wehda,30,1992,16,12,1054,11.7,2,1,3,2,0,0,2,0,0.17,0.09,0.26,0.17,0.26,Matches
56,Abdelkader Bedrane,dz ALG,DF,Damac,30,1992,20,20,1767,19.6,1,0,1,1,0,0,3,1,0.05,0.00,0.05,0.05,0.05,Matches
57,Sofiane Bendebka,dz ALG,MF,Al-Fateh,29,1992,26,24,2147,23.9,1,6,7,1,0,0,4,0,0.04,0.25,0.29,0.04,0.29,Matches
58,Djamel Benlamri,dz ALG,DF,Al-Khaleej,32,1989,9,9,745,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Karim El Berkaoui,ma MAR,"FW,MF",Al-Raed,26,1995,21,19,1558,17.3,9,3,12,8,1,1,4,0,0.52,0.17,0.69,0.46,0.64,Matches
60,Mansor Al Beshe,sa KSA,MF,Al-Raed,22,2000,20,15,1428,15.9,1,0,1,1,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches
61,Saad Bguir,tn TUN,MF,Abha,28,1994,28,25,2244,24.9,8,6,14,7,1,2,3,0,0.32,0.24,0.56,0.28,0.52,Matches
62,Fahad bin Jumayah,sa KSA,DF,Abha,27,1995,24,20,1822,20.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
63,Abdulkarim bin Muzayil,sa KSA,MF,Al-Batin,22,1999,3,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Saud bin Zaydan,sa KSA,MF,Al-Fayha,22,1999,20,1,457,5.1,1,0,1,1,0,0,4,0,0.20,0.00,0.20,0.20,0.20,Matches
65,Abdulaziz Al-Bishi,sa KSA,MF,Al-Ittihad,28,1994,16,9,703,7.8,0,3,3,0,0,0,1,0,0.00,0.38,0.38,0.00,0.38,Matches
66,Azzam Al Bishi,sa KSA,MF,Al-Wehda,20,2002,3,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
67,André Biyogo Poko,ga GAB,MF,Al-Khaleej,29,1993,29,29,2440,27.1,2,5,7,2,0,0,1,0,0.07,0.18,0.26,0.07,0.26,Matches
68,Rayan Al Bloushi,sa KSA,FW,Al-Ettifaq,21,2001,2,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Abdulelah Bokhari,sa KSA,DF,Al-Wehda,28,1994,15,13,1079,12.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Ameen Bokhari,sa KSA,GK,Al-Nassr,25,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
71,Alberto Botía,es ESP,DF,Al-Wehda,33,1989,7,7,630,7.0,1,0,1,1,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches
72,Aaron Boupendza,ga GAB,"MF,FW",Al-Shabab,25,1996,17,15,1233,13.7,11,3,14,10,1,2,2,0,0.80,0.22,1.02,0.73,0.95,Matches
73,Nawaf Boushal,sa KSA,MF,Al-Nassr,22,1999,10,1,174,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Nawaf Boushal,sa KSA,DF,Al-Fateh,22,1999,11,11,963,10.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
75,Victor Braga,br BRA,GK,Al-Ta'ee,30,1992,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Mohammed Al-Breik,sa KSA,DF,Al-Hilal,29,1992,17,13,1123,12.5,0,2,2,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches
77,Tawfiq Bu Haymid,sa KSA,DF,Al-Fateh,34,1987,25,21,1770,19.7,1,1,2,1,0,0,4,1,0.05,0.05,0.10,0.05,0.10,Matches
78,André Bukia,cd COD,MF,Al-Batin,27,1995,16,15,1294,14.4,1,2,3,1,0,0,1,0,0.07,0.14,0.21,0.07,0.21,Matches
79,Ali Al-Bulaihi,sa KSA,DF,Al-Hilal,32,1989,22,22,1952,21.7,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
80,Firas Al-Buraikan,sa KSA,FW,Al-Fateh,22,2000,30,24,2292,25.5,17,4,21,16,1,1,3,0,0.67,0.16,0.82,0.63,0.79,Matches
81,Abdulelah Al Burayh,sa KSA,"MF,FW",Al-Batin,25,1997,10,2,224,2.5,0,1,1,0,0,0,0,0,0.00,0.40,0.40,0.00,0.40,Matches
