squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Abha,28,28.8,52.9,30,330,2700,30.0,32,20,52,31,1,3,53,2,1.07,0.67,1.73,1.03,1.7
Al-Adalah,31,28.9,42.5,30,330,2700,30.0,30,17,47,27,3,4,69,5,1.0,0.57,1.57,0.9,1.47
Al-Batin,33,26.0,37.2,30,330,2700,30.0,26,19,45,23,3,3,71,3,0.87,0.63,1.5,0.77,1.4
Al-Ettifaq,28,27.5,45.2,30,330,2700,30.0,27,21,48,24,3,4,39,4,0.9,0.7,1.6,0.8,1.5
Al-Fateh,34,28.9,55.5,30,330,2700,30.0,48,35,83,41,7,10,53,2,1.6,1.17,2.77,1.37,2.53
Al-Fayha,27,30.3,47.4,30,330,2700,30.0,29,24,53,25,4,4,52,0,0.97,0.8,1.77,0.83,1.63
Al-Hilal,32,29.2,64.6,30,330,2700,30.0,54,34,88,46,8,11,56,1,1.8,1.13,2.93,1.53,2.67
Al-Ittihad,24,30.1,51.0,30,330,2700,30.0,60,38,98,47,13,13,54,4,2.0,1.27,3.27,1.57,2.83
Al-Khaleej,29,28.2,45.0,30,330,2700,30.0,28,21,49,23,5,6,54,2,0.93,0.7,1.63,0.77,1.47
Al-Nassr,32,28.4,59.0,30,330,2700,30.0,63,43,106,56,7,7,54,2,2.1,1.43,3.53,1.87,3.3
Al-Raed,26,29.6,42.4,30,330,2700,30.0,41,26,67,36,5,6,62,2,1.37,0.87,2.23,1.2,2.07
Al-Shabab,24,28.2,57.1,30,330,2700,30.0,55,38,93,47,8,10,49,1,1.83,1.27,3.1,1.57,2.83
Al-Ta'ee,25,27.6,48.4,30,330,2700,30.0,40,30,70,38,2,3,55,2,1.33,1.0,2.33,1.27,2.27
Al-Taawoun,30,27.3,52.7,30,330,2700,30.0,45,37,82,42,3,6,60,5,1.5,1.23,2.73,1.4,2.63
Al-Wehda,31,29.7,50.3,30,330,2700,30.0,25,18,43,23,2,2,65,4,0.83,0.6,1.43,0.77,1.37
Damac,29,29.4,50.0,30,330,2700,30.0,32,23,55,31,1,4,62,2,1.07,0.77,1.83,1.03,1.8
