wk,day,date,time,home,score,away,attendance,venue,referee,match_report,notes
1,Thu,2022-08-25,19:05 (18:05),Al-Fayha,0–1,Damac,6291,Al Majma'ah Sport City,Abdullah Zafer Al Shehri,Match Report,
1,Thu,2022-08-25,21:00 (20:00),Al-Khaleej,0–2,Al-Hilal,13218,Prince Mohammed bin Fahad bin Abdulaziz ...,Majed Mohammed Al Shamrani,Match Report,
1,Fri,2022-08-26,18:45 (17:45),Al-Adalah,0–3,Al-Ittihad,16250,Prince Abdullah bin Jalawi Stadium,Slavko Vinčič,Match Report,
1,Fri,2022-08-26,18:45 (17:45),Al-Ettifaq,1–2,Al-Ta'ee,3878,Prince Mohammed bin Fahad bin Abdulaziz ...,Sami Ahmed Al Jurays,Match Report,
1,Fri,2022-08-26,21:00 (20:00),Al-Shabab,3–0,Al-Batin,6041,Prince Faisal bin Fahd Stadium,Faisal Suleiman Al Balawi,Match Report,
1,Sat,2022-08-27,18:45 (17:45),Al-Fateh,0–2,Al-Taawoun,2929,Prince Abdullah bin Jalawi Stadium,Khalid Saleh Al Turais,Match Report,
1,Sat,2022-08-27,21:00 (20:00),Al-Nassr,1–0,Al-Wehda,19312,Al Awwal Park Stadium,Mohammed Khaled Al Hoish,Match Report,
1,Sat,2022-08-27,21:00 (20:00),Abha,2–1,Al-Raed,932,Prince Sultan bin Abdul Aziz Stadium,Sultan Sanat Al Harbi,Match Report,
2,Wed,2022-08-31,18:55 (17:55),Al-Batin,0–5,Al-Fateh,3984,Al-Batin FC Stadium,Ahmed Alromkhani,Match Report,
2,Wed,2022-08-31,21:00 (20:00),Al-Hilal,2–0,Al-Fayha,11215,Prince Faisal bin Fahd Stadium,Sandro Schärer,Match Report,
2,Thu,2022-09-01,19:00 (18:00),Al-Raed,1–0,Al-Wehda,3081,Prince Abdullah bin Abdul Aziz Stadium,Majed Mohammed Al Shamrani,Match Report,
2,Thu,2022-09-01,21:00 (20:00),Abha,0–4,Al-Shabab,6909,Prince Sultan bin Abdul Aziz Stadium,Mohammed Saif Al Harbi,Match Report,
2,Fri,2022-09-02,19:00 (18:00),Al-Ta'ee,1–0,Al-Adalah,6724,Prince Abdul Aziz bin Musa'ed Stadium,Abdullah Khaled Al Kharboush,Match Report,
2,Fri,2022-09-02,21:00 (20:00),Damac,2–1,Al-Khaleej,746,Prince Sultan bin Abdul Aziz Stadium,Abdullah Saleh Al Harbi,Match Report,
2,Sat,2022-09-03,19:00 (18:00),Al-Taawoun,1–0,Al-Nassr,7838,Prince Abdullah bin Abdul Aziz Stadium,Kevin Ortega,Match Report,
2,Sat,2022-09-03,21:00 (20:00),Al-Ittihad,0–0,Al-Ettifaq,33556,King Abdullah Sports City,Daniele Orsato,Match Report,
3,Sun,2022-09-04,18:35 (17:35),Al-Fateh,0–1,Al-Hilal,15483,Prince Abdullah bin Jalawi Stadium,Mohammed Khaled Al Hoish,Match Report,
3,Thu,2022-09-08,18:30 (17:30),Al-Khaleej,0–0,Al-Adalah,1968,Prince Mohammed bin Fahad bin Abdulaziz ...,Mohammed Abdulrahman Al Baridi,Match Report,
3,Thu,2022-09-08,21:00 (20:00),Al-Wehda,1–0,Abha,3118,King Abdul Aziz Stadium,Faisal Suleiman Al Balawi,Match Report,
3,Thu,2022-09-08,21:00 (20:00),Al-Shabab,4–0,Al-Ta'ee,9379,Prince Faisal bin Fahd Stadium,Sami Ahmed Al Jurays,Match Report,
3,Fri,2022-09-09,18:30 (17:30),Al-Ettifaq,3–0,Al-Batin,2608,Prince Mohammed bin Fahad bin Abdulaziz ...,Mamdouh Mufreh Al Shahdan,Match Report,
3,Fri,2022-09-09,21:00 (20:00),Al-Raed,0–1,Al-Ittihad,10856,Prince Abdullah bin Abdul Aziz Stadium,Andrés Matonte,Match Report,
3,Sat,2022-09-10,18:45 (17:45),Al-Fayha,1–1,Al-Taawoun,3184,Al Majma'ah Sport City,Shukri Hussein Al Hunfush,Match Report,
3,Sat,2022-09-10,21:00 (20:00),Al-Nassr,2–1,Damac,14972,Al Awwal Park Stadium,Khalid Saleh Al Turais,Match Report,
