rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,attendance,top_team_scorer,goalkeeper,notes
1,Al-Hilal,30,20,7,3,63,28,35,67,2.23,10397,Moussa Marega - 13,Abdullah Al-Mayouf,
2,Al-Ittihad,30,20,5,5,62,29,33,65,2.17,31263,Romarinho - 20,Marcelo Grohe,
3,Al-Nassr,30,19,4,7,58,36,22,61,2.03,7500,Talisca - 20,Waleed Abdullah,
4,Al-Shabab,30,15,10,5,52,36,16,55,1.83,5645,Carlos - 13,Fawaz Al-Qarni,
5,Damac,30,12,8,10,38,44,-6,44,1.47,4436,Emilio Zelaya - 13,Moustapha Zeghba,
6,Al-Ta'ee,30,11,4,15,33,45,-12,37,1.23,5316,Knowledge Musona - 6,Martin Lukov,
7,Al-Raed,30,10,6,14,35,45,-10,36,1.2,5873,Karim El Berkaoui - 13,Ahmed Al-Rehaili,
8,Al-Fateh,30,9,8,13,45,41,4,35,1.17,7730,Firas Al-Buraikan - 11,Maksym Koval,
9,Abha,30,9,8,13,27,43,-16,35,1.17,2873,Saad Bguir - 7,Abdelali Mhamdi,
10,Al-Fayha,30,8,11,11,21,24,-3,35,1.17,4620,Ramon Lopes - 6,Vladimir Stojković,
11,Al-Ettifaq,30,8,10,12,40,47,-7,34,1.13,6196,Naïm Sliti - 9,Raïs M'Bolhi,
12,Al-Taawoun,30,7,13,10,43,48,-5,34,1.13,5341,Léandre Tawamba - 18,Cássio,
13,Al-Batin,30,8,9,13,31,41,-10,33,1.1,3015,Fábio Abreu - 9,Martín Campaña,
14,Al-Faisaly,30,7,12,11,28,37,-9,33,1.1,4418,Júlio Tavares - 9,Ahmed Al-Kassar,Relegated
15,Al-Ahli,30,6,14,10,38,43,-5,32,1.07,16935,Omar Al Somah - 10,Mohammed Al Yami,Relegated
16,Al-Hazem,30,4,5,21,23,50,-27,17,0.57,1850,Ola John - 8,Ibrahim Zaied,Relegated
