rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,23,1998,22,8,735,8.2,4,0,4,4,0,0,3,0,0.49,0.00,0.49,0.49,0.49,Matches
2,Saleh Al Abbas,sa KSA,MF,Al-Faisaly,27,1993,9,1,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hazem,21,2000,8,3,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Ayoub Abdellaoui,dz ALG,DF,Al-Ettifaq,28,1993,22,19,1598,17.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
5,Saud Abdulhamid,sa KSA,DF,Al-Hilal,22,1999,13,10,970,10.8,0,2,2,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,22,1999,8,8,720,8.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,35,1986,20,19,1649,18.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
8,Nawaf Al Abed,sa KSA,"MF,FW",Al-Shabab,31,1990,13,7,622,6.9,1,2,3,1,0,0,1,0,0.14,0.29,0.43,0.14,0.43,Matches
9,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,30,1991,18,5,445,4.9,0,1,1,0,0,0,0,1,0.00,0.20,0.20,0.00,0.20,Matches
10,Vincent Aboubakar,cm CMR,FW,Al-Nassr,29,1992,23,19,1671,18.6,9,4,13,9,0,0,0,0,0.48,0.22,0.70,0.48,0.70,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,DF",Al-Ittihad,26,1995,26,20,1719,19.1,2,4,6,2,0,0,6,1,0.10,0.21,0.31,0.10,0.31,Matches
12,Mohammed Abousaban,sa KSA,"MF,DF",Al-Taawoun,31,1990,9,2,233,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Fayha,31,1990,10,4,407,4.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
14,Fábio Abreu,ao ANG,FW,Al-Batin,28,1993,28,28,2518,28.0,9,0,9,5,4,5,5,0,0.32,0.00,0.32,0.18,0.18,Matches
15,Khalil Al Absi,sa KSA,MF,Al-Nassr,20,2001,1,1,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
