squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Abha,30,28.3,47.2,30,330,2700,30.0,26,17,43,23,3,5,56,3,0.87,0.57,1.43,0.77,1.33
Al-Ahli,35,27.2,55.2,30,330,2700,30.0,37,21,58,28,9,10,77,3,1.23,0.7,1.93,0.93,1.63
Al-Batin,29,27.8,42.1,30,330,2700,30.0,30,15,45,25,5,6,71,2,1.0,0.5,1.5,0.83,1.33
Al-Ettifaq,28,28.2,48.9,30,330,2700,30.0,39,25,64,35,4,6,56,8,1.3,0.83,2.13,1.17,2.0
Al-Faisaly,31,28.7,51.0,30,330,2700,30.0,28,18,46,26,2,2,73,4,0.93,0.6,1.53,0.87,1.47
Al-Fateh,39,27.8,52.5,30,330,2700,30.0,45,25,70,38,7,8,73,7,1.5,0.83,2.33,1.27,2.1
Al-Fayha,32,29.3,39.6,30,330,2700,30.0,21,18,39,20,1,1,54,2,0.7,0.6,1.3,0.67,1.27
Al-Hazem,37,27.8,49.2,30,330,2700,30.0,21,13,34,18,3,4,70,4,0.7,0.43,1.13,0.6,1.03
Al-Hilal,31,29.2,64.3,30,330,2700,30.0,63,45,108,57,6,8,60,2,2.1,1.5,3.6,1.9,3.4
Al-Ittihad,29,28.7,52.4,30,330,2700,30.0,60,41,101,50,10,12,61,3,2.0,1.37,3.37,1.67,3.03
Al-Nassr,32,27.0,54.8,30,330,2700,30.0,55,29,84,49,6,9,61,4,1.83,0.97,2.8,1.63,2.6
Al-Raed,28,28.7,47.8,30,330,2700,30.0,34,21,55,30,4,6,44,1,1.13,0.7,1.83,1.0,1.7
Al-Shabab,37,27.2,54.1,30,330,2700,30.0,49,39,88,45,4,7,61,6,1.63,1.3,2.93,1.5,2.8
Al-Ta'ee,32,28.7,47.0,30,330,2700,30.0,33,27,60,32,1,2,70,0,1.1,0.9,2.0,1.07,1.97
Al-Taawoun,34,28.5,49.4,30,330,2700,30.0,42,26,68,36,6,8,77,6,1.4,0.87,2.27,1.2,2.07
Damac,32,29.3,46.8,30,330,2700,30.0,37,16,53,28,9,10,57,5,1.23,0.53,1.77,0.93,1.47
