rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,23,1998,8.2,4,24,13,54.2,2.94,1.59,0.17,0.31,,0,0,Matches
2,Saleh Al Abbas,sa KSA,MF,Al-Faisaly,27,1993,2.7,0,6,1,16.7,2.19,0.36,0.00,0.00,,0,0,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hazem,21,2000,3.3,0,6,2,33.3,1.81,0.60,0.00,0.00,,0,0,Matches
4,Ayoub Abdellaoui,dz ALG,DF,Al-Ettifaq,28,1993,17.8,0,11,4,36.4,0.62,0.23,0.00,0.00,,0,0,Matches
5,Saud Abdulhamid,sa KSA,DF,Al-Hilal,22,1999,10.8,0,3,0,0.0,0.28,0.00,0.00,,,0,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,22,1999,8.0,0,1,0,0.0,0.12,0.00,0.00,,,0,0,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,35,1986,18.3,0,0,0,,0.00,0.00,,,,0,0,Matches
8,Nawaf Al Abed,sa KSA,"MF,FW",Al-Shabab,31,1990,6.9,1,10,2,20.0,1.45,0.29,0.10,0.50,,0,0,Matches
9,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,30,1991,4.9,0,8,1,12.5,1.62,0.20,0.00,0.00,,0,0,Matches
10,Vincent Aboubakar,cm CMR,FW,Al-Nassr,29,1992,18.6,9,53,27,50.9,2.85,1.45,0.17,0.33,,0,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,DF",Al-Ittihad,26,1995,19.1,2,32,11,34.4,1.68,0.58,0.06,0.18,,0,0,Matches
12,Mohammed Abousaban,sa KSA,"MF,DF",Al-Taawoun,31,1990,2.6,0,0,0,,0.00,0.00,,,,0,0,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Fayha,31,1990,4.5,0,3,1,33.3,0.66,0.22,0.00,0.00,,0,0,Matches
14,Fábio Abreu,ao ANG,FW,Al-Batin,28,1993,28.0,9,65,31,47.7,2.32,1.11,0.08,0.16,,4,5,Matches
15,Khalil Al Absi,sa KSA,MF,Al-Nassr,20,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,Matches
16,Talal Al-Absi,sa KSA,DF,Al-Ahli,28,1993,2.0,0,0,0,,0.00,0.00,,,,0,0,Matches
17,Afriyie Acquah,gh GHA,MF,Al-Batin,29,1992,5.9,0,2,1,50.0,0.34,0.17,0.00,0.00,,0,0,Matches
18,Abdulfattah Adam,sa KSA,FW,Al-Nassr,26,1995,2.1,0,2,1,50.0,0.96,0.48,0.00,0.00,,0,0,Matches
19,Muath Adnan Afaneh,jo JOR,"FW,MF",Abha,,,3.0,0,3,1,33.3,0.99,0.33,0.00,0.00,,0,0,Matches
20,Waleed Al Ahmad,sa KSA,DF,Al-Faisaly,22,1999,17.3,1,14,2,14.3,0.81,0.12,0.07,0.50,,0,0,Matches
21,Karim El Ahmadi,ma MAR,MF,Al-Ittihad,36,1985,15.2,0,6,2,33.3,0.40,0.13,0.00,0.00,,0,0,Matches
22,Ahmed Alanzy,sa KSA,MF,Al-Faisaly,,,1.1,0,1,0,0.0,0.88,0.00,0.00,,,0,0,Matches
23,Abdulaziz Al Alawi,sa KSA,DF,Al-Batin,23,1998,9.9,0,0,0,,0.00,0.00,,,,0,0,Matches
24,Bader Alhwidy Alshammary,sa KSA,DF,Al-Batin,19,2001,9.3,0,2,0,0.0,0.22,0.00,0.00,,,0,0,Matches
25,Hassan Al Ali,sa KSA,FW,Al-Ahli,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,Matches
