rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Malek Al Abadalmanam,sa KSA,FW,Al-Fayha,23,1998,8.2,3,0,0,27,12,3,1,1,1,,,0,Matches
2,Saleh Al Abbas,sa KSA,MF,Al-Faisaly,27,1993,2.7,0,0,0,5,7,1,1,1,1,,,0,Matches
3,Hamad Al Abdan,sa KSA,MF,Al-Hazem,21,2000,3.3,0,0,0,3,0,0,2,1,2,,,0,Matches
4,Ayoub Abdellaoui,dz ALG,DF,Al-Ettifaq,28,1993,17.8,4,0,0,23,20,1,22,21,11,,,0,Matches
5,Saud Abdulhamid,sa KSA,DF,Al-Hilal,22,1999,10.8,2,0,0,20,15,0,43,7,24,,,0,Matches
6,Saud Abdulhamid,sa KSA,DF,Al-Ittihad,22,1999,8.0,5,0,0,11,10,1,27,12,5,,,0,Matches
7,Waleed Abdullah,sa KSA,GK,Al-Nassr,35,1986,18.3,1,0,0,1,2,0,0,0,0,,,0,Matches
8,Nawaf Al Abed,sa KSA,"MF,FW",Al-Shabab,31,1990,6.9,1,0,0,11,13,0,13,5,4,,,0,Matches
9,Mazen Abo Shararah,sa KSA,"FW,MF",Damac,30,1991,4.9,0,1,0,12,17,2,11,4,4,,,0,Matches
10,Vincent Aboubakar,cm CMR,FW,Al-Nassr,29,1992,18.6,0,0,0,16,19,4,7,2,2,,,0,Matches
11,Abdulrahman Al-Aboud,sa KSA,"MF,DF",Al-Ittihad,26,1995,19.1,6,1,0,18,36,5,69,15,21,,,0,Matches
12,Mohammed Abousaban,sa KSA,"MF,DF",Al-Taawoun,31,1990,2.6,2,0,0,2,2,0,0,3,3,,,0,Matches
13,Mohammed Abousaban,sa KSA,MF,Al-Fayha,31,1990,4.5,1,1,0,15,9,0,3,7,7,,,0,Matches
14,Fábio Abreu,ao ANG,FW,Al-Batin,28,1993,28.0,5,0,0,50,89,8,3,5,6,,,0,Matches
15,Khalil Al Absi,sa KSA,MF,Al-Nassr,20,2001,0.7,0,0,0,0,2,0,1,0,1,,,0,Matches
16,Talal Al-Absi,sa KSA,DF,Al-Ahli,28,1993,2.0,0,0,0,2,1,0,0,1,1,,,0,Matches
17,Afriyie Acquah,gh GHA,MF,Al-Batin,29,1992,5.9,3,0,0,6,2,0,2,9,1,,,0,Matches
